Date,Time,Type,Location,Gm #,White,White Score,Dark,Dark Score,GMID
01-May-2026,3:00 PM,A bracket,MESA COLLEGE,1,A2 - Rain City,7,A3 - 908 Green,12,SDC-14u-boys-division-2-1
01-May-2026,3:00 PM,J bracket,TIERRASANTA COMMUNITY POOL,15,J2 - Carmel WPC,1,J3 - Pasadena,16,SDC-14u-boys-division-2-15
01-May-2026,3:00 PM,E bracket,MEMORIAL POOL,23,E1 - Mission B,21,E3 - Foothill,2,SDC-14u-boys-division-2-23
01-May-2026,3:45 PM,B bracket,MESA COLLEGE,2,B2 - ECA A,13,B3 - Shore Aquatics,3,SDC-14u-boys-division-2-2
01-May-2026,3:45 PM,L bracket,TIERRASANTA COMMUNITY POOL,16,L1 - Temple City,11,L2 - Stanford Black,8,SDC-14u-boys-division-2-16
01-May-2026,4:30 PM,C bracket,MESA COLLEGE,3,C1 - Back Bay,8,C2 - South Coast White,7,SDC-14u-boys-division-2-3
01-May-2026,4:30 PM,F bracket,WEST HILLS HS,9,F2 - Rose Bowl Red,17,F3 - La Jolla United C,1,SDC-14u-boys-division-2-9
01-May-2026,4:30 PM,H bracket,TIERRASANTA COMMUNITY POOL,17,H1 - Greenwich,6,H3 - North Irvine B,5,SDC-14u-boys-division-2-17
01-May-2026,5:15 PM,D bracket,MESA COLLEGE,4,D1 - Newport White,21,D3 - Titans,1,SDC-14u-boys-division-2-4
01-May-2026,5:15 PM,I bracket,WEST HILLS HS,10,I1 - Santa Barbara,10,I2 - 908 Blue,7,SDC-14u-boys-division-2-10
01-May-2026,5:15 PM,K bracket,TIERRASANTA COMMUNITY POOL,18,K2 - Patriots Red,12,K3 - SD Dons D,9,SDC-14u-boys-division-2-18
01-May-2026,5:15 PM,E bracket,MEMORIAL POOL,24,E2 - CCWP,15,E3 - Foothill,1,SDC-14u-boys-division-2-24
01-May-2026,6:00 PM,A bracket,MESA COLLEGE,5,A1 - San Clemente Red,17,A3 - 908 Green,4,SDC-14u-boys-division-2-5
01-May-2026,6:00 PM,G bracket,WEST HILLS HS,11,G2 - Tsunami Black,4,G3 - OCWPC B,6,SDC-14u-boys-division-2-11
01-May-2026,6:00 PM,J bracket,TIERRASANTA COMMUNITY POOL,19,J1 - SD Shores Gold,9,J3 - Pasadena,5,SDC-14u-boys-division-2-19
01-May-2026,6:45 PM,B bracket,MESA COLLEGE,6,B1 - Santa Cruz,11,B3 - Shore Aquatics,5,SDC-14u-boys-division-2-6
01-May-2026,6:45 PM,F bracket,WEST HILLS HS,12,F1 - LOWPO,4,F2 - Rose Bowl Red,19,SDC-14u-boys-division-2-12
01-May-2026,6:45 PM,L bracket,TIERRASANTA COMMUNITY POOL,20,L1 - Temple City,10,L3 - Trilogy,5,SDC-14u-boys-division-2-20
01-May-2026,7:30 PM,C bracket,MESA COLLEGE,7,C2 - South Coast White,5,C3 - SD Dons Gold,14,SDC-14u-boys-division-2-7
01-May-2026,7:30 PM,I bracket,WEST HILLS HS,13,I1 - Santa Barbara,19,I3 - Big Valley,2,SDC-14u-boys-division-2-13
01-May-2026,7:30 PM,H bracket,TIERRASANTA COMMUNITY POOL,21,H2 - SJ Express,5,H3 - North Irvine B,3,SDC-14u-boys-division-2-21
01-May-2026,8:15 PM,D bracket,MESA COLLEGE,8,D2 - Puget Sound,19,D3 - Titans,3,SDC-14u-boys-division-2-8
01-May-2026,8:15 PM,G bracket,WEST HILLS HS,14,G1 - Lamorinda B,13,G2 - Tsunami Black,3,SDC-14u-boys-division-2-14
01-May-2026,8:15 PM,K bracket,TIERRASANTA COMMUNITY POOL,22,K1 - Davis,16,K3 - SD Dons D,4,SDC-14u-boys-division-2-22
02-May-2026,10:15 AM,H bracket,MESA COLLEGE,28,H1 - Greenwich,6,H2 - SJ Express,4,SDC-14u-boys-division-2-28
02-May-2026,10:15 AM,F bracket,STANDLEY AQUATIC CENTER,44,F1 - LOWPO,10,F3 - La Jolla United C,1,SDC-14u-boys-division-2-44
02-May-2026,10:15 AM,K bracket,TIERRASANTA COMMUNITY POOL,60,K1 - Davis,8,K2 - Patriots Red,8,SDC-14u-boys-division-2-60
02-May-2026,11:00 AM,U bracket,MESA COLLEGE,29,U1 - Rain City,11,U3 - Big Valley,7,SDC-14u-boys-division-2-29
