Date,Time,Type,Location,Gm #,White,White Score,Dark,Dark Score,GMID
01-May-2026,3:00 PM,A bracket,STANDLEY AQUATIC CENTER,1,A2 - Laguna Beach,3,A3 - SD Dons,11,SDC-14u-girls-division-1-1
01-May-2026,3:00 PM,G bracket,COGGAN FAMILY AQUATIC COMPLEX 1,10,G2 - Greenwich,12,G3 - Rose Bowl Red,7,SDC-14u-girls-division-1-10
01-May-2026,3:45 PM,C bracket,STANDLEY AQUATIC CENTER,2,C1 - 908 Yellow,17,C3 - Socal Black,2,SDC-14u-girls-division-1-2
01-May-2026,3:45 PM,H bracket,COGGAN FAMILY AQUATIC COMPLEX 1,11,H1 - Santa Barbara,16,H4 - PAC Premier,3,SDC-14u-girls-division-1-11
01-May-2026,4:30 PM,D bracket,STANDLEY AQUATIC CENTER,3,D2 - South Coast Red,4,D3 - Shore Aquatics,7,SDC-14u-girls-division-1-3
01-May-2026,4:30 PM,B bracket,COGGAN FAMILY AQUATIC COMPLEX 1,12,B1 - Patriots A,18,B2 - Shores Gold,2,SDC-14u-girls-division-1-12
01-May-2026,5:15 PM,E bracket,STANDLEY AQUATIC CENTER,4,E1 - Santa Cruz,13,E4 - Los Al Garnet,3,SDC-14u-girls-division-1-4
01-May-2026,5:15 PM,F bracket,COGGAN FAMILY AQUATIC COMPLEX 1,13,F2 - Commerce,8,F3 - Davis,5,SDC-14u-girls-division-1-13
01-May-2026,6:00 PM,A bracket,STANDLEY AQUATIC CENTER,5,A1 - Newport Blue,11,A3 - SD Dons,3,SDC-14u-girls-division-1-5
01-May-2026,6:00 PM,G bracket,COGGAN FAMILY AQUATIC COMPLEX 1,14,G1 - Lamorinda A,14,G4 - Del Mar,5,SDC-14u-girls-division-1-14
01-May-2026,6:45 PM,C bracket,STANDLEY AQUATIC CENTER,6,C2 - CDM,7,C3 - Socal Black,2,SDC-14u-girls-division-1-6
01-May-2026,6:45 PM,F bracket,COGGAN FAMILY AQUATIC COMPLEX 1,15,F1 - Shores Black,9,F4 - Foothill Red,2,SDC-14u-girls-division-1-15
01-May-2026,7:30 PM,D bracket,STANDLEY AQUATIC CENTER,7,D1 - San Clemente Red,8,D3 - Shore Aquatics,4,SDC-14u-girls-division-1-7
01-May-2026,7:30 PM,H bracket,COGGAN FAMILY AQUATIC COMPLEX 1,16,H2 - Stanford,12,H3 - La Jolla United,3,SDC-14u-girls-division-1-16
01-May-2026,8:15 PM,E bracket,STANDLEY AQUATIC CENTER,8,E2 - CHAWP,11,E3 - SJ Express,4,SDC-14u-girls-division-1-8
01-May-2026,8:15 PM,B bracket,COGGAN FAMILY AQUATIC COMPLEX 1,9,B2 - Shores Gold,9,B3 - CC United,6,SDC-14u-girls-division-1-9
02-May-2026,10:15 AM,C bracket,BBMAC 1,20,C1 - 908 Yellow,10,C2 - CDM,6,SDC-14u-girls-division-1-20
02-May-2026,10:15 AM,E bracket,BBMAC 2,37,E1 - Santa Cruz,8,E2 - CHAWP,7,SDC-14u-girls-division-1-37
02-May-2026,11:00 AM,F bracket,BBMAC 1,21,F4 - Foothill Red,7,F3 - Davis,9,SDC-14u-girls-division-1-21
02-May-2026,11:00 AM,G bracket,BBMAC 2,38,G4 - Del Mar,9,G3 - Rose Bowl Red,8,SDC-14u-girls-division-1-38
02-May-2026,11:45 AM,F bracket,BBMAC 1,22,F1 - Shores Black,13,F2 - Commerce,5,SDC-14u-girls-division-1-22
02-May-2026,11:45 AM,E bracket,BBMAC 2,39,E4 - Los Al Garnet,6,E3 - SJ Express,7,SDC-14u-girls-division-1-39
02-May-2026,12:30 PM,Q bracket,BBMAC 1,23,Q1 - SD Dons,2,Q2 - Stanford,3,SDC-14u-girls-division-1-23
02-May-2026,12:30 PM,R bracket,BBMAC 2,40,R1 - Shores Gold,5,R2 - Greenwich,4,SDC-14u-girls-division-1-40
02-May-2026,1:15 PM,U bracket,BBMAC 1,24,U1 - Laguna Beach,8,U2 - PAC Premier,3,SDC-14u-girls-division-1-24
02-May-2026,1:15 PM,N bracket,BBMAC 2,41,N1 - Patriots A,9,N2 - Lamorinda A,5,SDC-14u-girls-division-1-41
02-May-2026,2:00 PM,W bracket,BBMAC 1,25,W1 - Socal Black,2,W2 - Davis,9,SDC-14u-girls-division-1-25
02-May-2026,2:00 PM,V bracket,BBMAC 2,42,V1 - CC United,3,V2 - Del Mar,8,SDC-14u-girls-division-1-42
02-May-2026,2:45 PM,M bracket,BBMAC 1,26,M1 - Newport Blue,14,M2 - Santa Barbara,2,SDC-14u-girls-division-1-26
02-May-2026,2:45 PM,X bracket,BBMAC 2,43,X1 - South Coast Red,5,X2 - SJ Express,6,SDC-14u-girls-division-1-43
02-May-2026,3:30 PM,O bracket,BBMAC 1,27,O1 - 908 Yellow,14,O2 - Shores Black,10,SDC-14u-girls-division-1-27
02-May-2026,3:30 PM,Y bracket,BBMAC 2,44,Y3 - Rose Bowl Red,3,Y4 - La Jolla United,8,SDC-14u-girls-division-1-44
02-May-2026,4:15 PM,S bracket,BBMAC 1,28,S1 - CDM,9,S2 - Commerce,4,SDC-14u-girls-division-1-28
02-May-2026,4:15 PM,Y bracket,BBMAC 2,45,Y1 - Los Al Garnet,3,Y2 - Foothill Red,7,SDC-14u-girls-division-1-45
02-May-2026,5:00 PM,Tournament game,BBMAC 1,29,CC United,4,Socal Black,3,SDC-14u-girls-division-1-29
02-May-2026,5:00 PM,P bracket,BBMAC 2,46,P1 - San Clemente Red,11,P2 - Santa Cruz,8,SDC-14u-girls-division-1-46
02-May-2026,5:45 PM,Tournament game,BBMAC 1,30,Del Mar,9,Davis,6,SDC-14u-girls-division-1-30
02-May-2026,5:45 PM,T bracket,BBMAC 2,47,T1 - Shore Aquatics,4,T2 - CHAWP,7,SDC-14u-girls-division-1-47
02-May-2026,6:30 PM,Tournament game,BBMAC 1,31,PAC Premier,6,South Coast Red,10,SDC-14u-girls-division-1-31
02-May-2026,6:30 PM,Y bracket,BBMAC 2,48,Y1 - Los Al Garnet,3,Y4 - La Jolla United,12,SDC-14u-girls-division-1-48
02-May-2026,7:15 PM,Tournament game,BBMAC 1,32,Laguna Beach,13,SJ Express,2,SDC-14u-girls-division-1-32
02-May-2026,7:15 PM,Y bracket,BBMAC 2,49,Y2 - Foothill Red,7,Y3 - Rose Bowl Red,8,SDC-14u-girls-division-1-49
