Date,Time,Type,Location,Gm #,White,White Score,Dark,Dark Score,GMID
01-May-2026,3:00 PM,B bracket,SOUTHWESTERN COLLEGE 1,1,B1 - Newport,9,B2 - South Coast,4,SDC-14u-boys-division-1-1
01-May-2026,3:00 PM,C bracket,SOUTHWESTERN COLLEGE 2,9,C2 - Shore Aquatics,12,C3 - Titans,2,SDC-14u-boys-division-1-9
01-May-2026,3:00 PM,I bracket,SOUTHWESTERN COLLEGE 3,17,I1 - 908,9,I2 - CDM,4,SDC-14u-boys-division-1-17
01-May-2026,3:45 PM,K bracket,SOUTHWESTERN COLLEGE 1,2,K2 - North Irvine,4,K3 - SD Dons Red,2,SDC-14u-boys-division-1-2
01-May-2026,3:45 PM,D bracket,SOUTHWESTERN COLLEGE 2,10,D1 - Mission,14,D2 - Devil's Gate,2,SDC-14u-boys-division-1-10
01-May-2026,3:45 PM,F bracket,SOUTHWESTERN COLLEGE 3,18,F2 - OCWPC,17,F3 - Kingsburg Kings,5,SDC-14u-boys-division-1-18
01-May-2026,4:30 PM,G bracket,SOUTHWESTERN COLLEGE 1,3,G2 - SOCAL,6,G3 - Los Al Opal,5,SDC-14u-boys-division-1-3
01-May-2026,4:30 PM,L bracket,SOUTHWESTERN COLLEGE 2,11,L2 - Commerce,10,L3 - La Jolla United B,5,SDC-14u-boys-division-1-11
01-May-2026,4:30 PM,J bracket,SOUTHWESTERN COLLEGE 3,19,J1 - SD Shores Black,10,J2 - Stanford,9,SDC-14u-boys-division-1-19
01-May-2026,5:15 PM,E bracket,SOUTHWESTERN COLLEGE 1,4,E1 - Greenwich,12,E2 - ORWP,9,SDC-14u-boys-division-1-4
01-May-2026,5:15 PM,A bracket,SOUTHWESTERN COLLEGE 2,12,A1 - La Jolla United A,18,A2 - Tsunami,2,SDC-14u-boys-division-1-12
01-May-2026,5:15 PM,H bracket,SOUTHWESTERN COLLEGE 3,20,H2 - SHAQ,9,H3 - Foothill,7,SDC-14u-boys-division-1-20
01-May-2026,6:00 PM,B bracket,SOUTHWESTERN COLLEGE 1,5,B1 - Newport,14,B3 - Northwest,2,SDC-14u-boys-division-1-5
01-May-2026,6:00 PM,C bracket,SOUTHWESTERN COLLEGE 2,13,C1 - SD Dons Black,11,C3 - Titans,1,SDC-14u-boys-division-1-13
01-May-2026,6:00 PM,I bracket,SOUTHWESTERN COLLEGE 3,21,I2 - CDM,14,I3 - CC United Blue,8,SDC-14u-boys-division-1-21
01-May-2026,6:45 PM,K bracket,SOUTHWESTERN COLLEGE 1,6,K1 - Lamorinda,7,K3 - SD Dons Red,3,SDC-14u-boys-division-1-6
01-May-2026,6:45 PM,D bracket,SOUTHWESTERN COLLEGE 2,14,D1 - Mission,13,D3 - Carlsbad,0,SDC-14u-boys-division-1-14
01-May-2026,6:45 PM,F bracket,SOUTHWESTERN COLLEGE 3,22,F1 - LA Premier,18,F3 - Kingsburg Kings,13,SDC-14u-boys-division-1-22
01-May-2026,7:30 PM,G bracket,SOUTHWESTERN COLLEGE 1,7,G1 - Norcal,12,G3 - Los Al Opal,2,SDC-14u-boys-division-1-7
01-May-2026,7:30 PM,L bracket,SOUTHWESTERN COLLEGE 2,15,L1 - CC United Black,6,L2 - Commerce,7,SDC-14u-boys-division-1-15
01-May-2026,7:30 PM,J bracket,SOUTHWESTERN COLLEGE 3,23,J1 - SD Shores Black,18,J3 - CHAWP,2,SDC-14u-boys-division-1-23
01-May-2026,8:15 PM,E bracket,SOUTHWESTERN COLLEGE 1,8,E1 - Greenwich,10,E3 - Sharks,5,SDC-14u-boys-division-1-8
01-May-2026,8:15 PM,A bracket,SOUTHWESTERN COLLEGE 2,16,A2 - Tsunami,14,A3 - SJA,1,SDC-14u-boys-division-1-16
01-May-2026,8:15 PM,H bracket,SOUTHWESTERN COLLEGE 3,24,H1 - Patriot Navy,23,H3 - Foothill,10,SDC-14u-boys-division-1-24
02-May-2026,10:15 AM,I bracket,SOUTHWESTERN COLLEGE 1,28,I1 - 908,6,I3 - CC United Blue,1,SDC-14u-boys-division-1-28
02-May-2026,10:15 AM,J bracket,SOUTHWESTERN COLLEGE 2,44,J2 - Stanford,19,J3 - CHAWP,3,SDC-14u-boys-division-1-44
02-May-2026,10:15 AM,D bracket,SOUTHWESTERN COLLEGE 3,60,D2 - Devil's Gate,13,D3 - Carlsbad,1,SDC-14u-boys-division-1-60
02-May-2026,11:00 AM,O bracket,SOUTHWESTERN COLLEGE 1,29,O1 - Newport,4,O2 - Norcal,4,SDC-14u-boys-division-1-29
02-May-2026,11:00 AM,S bracket,SOUTHWESTERN COLLEGE 2,45,S1 - South Coast,7,S2 - SOCAL,5,SDC-14u-boys-division-1-45
02-May-2026,11:00 AM,W bracket,SOUTHWESTERN COLLEGE 3,61,W1 - Northwest,10,W2 - Los Al Opal,14,SDC-14u-boys-division-1-61
02-May-2026,11:45 AM,P bracket,SOUTHWESTERN COLLEGE 1,30,P2 - LA Premier,10,P3 - North Irvine,4,SDC-14u-boys-division-1-30
02-May-2026,11:45 AM,T bracket,SOUTHWESTERN COLLEGE 2,46,T2 - OCWPC,7,T3 - Lamorinda,10,SDC-14u-boys-division-1-46
02-May-2026,11:45 AM,X bracket,SOUTHWESTERN COLLEGE 3,62,X2 - Kingsburg Kings,4,X3- SD Dons Red,6,SDC-14u-boys-division-1-62
02-May-2026,12:30 PM,N bracket,SOUTHWESTERN COLLEGE 1,31,N2 - Greenwich,8,N3 - Commerce,10,SDC-14u-boys-division-1-31
02-May-2026,12:30 PM,R bracket,SOUTHWESTERN COLLEGE 2,47,R2 - ORWP,7,R3 - CC United Black,10,SDC-14u-boys-division-1-47
02-May-2026,12:30 PM,V bracket,SOUTHWESTERN COLLEGE 3,63,V2 - Sharks,8,V3 - La Jolla United B,12,SDC-14u-boys-division-1-63
02-May-2026,1:15 PM,M bracket,SOUTHWESTERN COLLEGE 1,32,M1 - La Jolla United A,15,M2 - Patriot Navy,5,SDC-14u-boys-division-1-32
02-May-2026,1:15 PM,Q bracket,SOUTHWESTERN COLLEGE 2,48,Q1 - Tsunami,6,Q2 - SHAQ,7,SDC-14u-boys-division-1-48
02-May-2026,1:15 PM,U bracket,SOUTHWESTERN COLLEGE 3,64,U1 - SJA,5,U2 - Foothill,6,SDC-14u-boys-division-1-64
02-May-2026,2:00 PM,O bracket,SOUTHWESTERN COLLEGE 1,33,O2 - Norcal,9,O3 - SD Shores Black,1,SDC-14u-boys-division-1-33
02-May-2026,2:00 PM,S bracket,SOUTHWESTERN COLLEGE 2,49,S2 - SOCAL,4,S3 - Stanford,10,SDC-14u-boys-division-1-49
02-May-2026,2:00 PM,W bracket,SOUTHWESTERN COLLEGE 3,65,W2 - Los Al Opal,10,W3 - CHAWP,12,SDC-14u-boys-division-1-65
02-May-2026,2:45 PM,P bracket,SOUTHWESTERN COLLEGE 1,34,P1 - SD Dons Black,11,P3 - North Irvine,3,SDC-14u-boys-division-1-34
02-May-2026,2:45 PM,T bracket,SOUTHWESTERN COLLEGE 2,50,T1 - Shore Aquatics,7,T3 - Lamorinda,5,SDC-14u-boys-division-1-50
02-May-2026,2:45 PM,X bracket,SOUTHWESTERN COLLEGE 3,66,X1 - Titans,4,X3- SD Dons Red,13,SDC-14u-boys-division-1-66
02-May-2026,3:30 PM,N bracket,SOUTHWESTERN COLLEGE 1,35,N1 - Mission,8,N3 - Commerce,3,SDC-14u-boys-division-1-35
02-May-2026,3:30 PM,R bracket,SOUTHWESTERN COLLEGE 2,51,R1 - Devil's Gate,8,R3 - CC United Black,7,SDC-14u-boys-division-1-51
02-May-2026,3:30 PM,V bracket,SOUTHWESTERN COLLEGE 3,67,V1 - Carlsbad,3,V3 - La Jolla United B,11,SDC-14u-boys-division-1-67
02-May-2026,4:15 PM,M bracket,SOUTHWESTERN COLLEGE 1,36,M2 - Patriot Navy,7,M3 - 908,6,SDC-14u-boys-division-1-36
02-May-2026,4:15 PM,Q bracket,SOUTHWESTERN COLLEGE 2,52,Q2 - SHAQ,3,Q3 - CDM,8,SDC-14u-boys-division-1-52
02-May-2026,4:15 PM,U bracket,SOUTHWESTERN COLLEGE 3,68,U2 - Foothill,10,U3 - CC United Blue,5,SDC-14u-boys-division-1-68
02-May-2026,5:00 PM,O bracket,SOUTHWESTERN COLLEGE 1,37,O1 - Newport,9,O3 - SD Shores Black,5,SDC-14u-boys-division-1-37
02-May-2026,5:00 PM,S bracket,SOUTHWESTERN COLLEGE 2,53,S1 - South Coast,5,S3 - Stanford,7,SDC-14u-boys-division-1-53
02-May-2026,5:00 PM,W bracket,SOUTHWESTERN COLLEGE 3,69,W1 - Northwest,16,W3 - CHAWP,15,SDC-14u-boys-division-1-69
02-May-2026,5:45 PM,P bracket,SOUTHWESTERN COLLEGE 1,38,P1 - SD Dons Black,6,P2 - LA Premier,9,SDC-14u-boys-division-1-38
02-May-2026,5:45 PM,T bracket,SOUTHWESTERN COLLEGE 2,54,T1 - Shore Aquatics,6,T2 - OCWPC,7,SDC-14u-boys-division-1-54
02-May-2026,5:45 PM,X bracket,SOUTHWESTERN COLLEGE 3,70,X1 - Titans,8,X2 - Kingsburg Kings,12,SDC-14u-boys-division-1-70
02-May-2026,6:30 PM,N bracket,SOUTHWESTERN COLLEGE 1,39,N1 - Mission,7,N2 - Greenwich,4,SDC-14u-boys-division-1-39
02-May-2026,6:30 PM,R bracket,SOUTHWESTERN COLLEGE 2,55,R1 - Devil's Gate,2,R2 - ORWP,6,SDC-14u-boys-division-1-55
02-May-2026,6:30 PM,V bracket,SOUTHWESTERN COLLEGE 3,71,V1 - Carlsbad,6,V2 - Sharks,7,SDC-14u-boys-division-1-71
02-May-2026,7:15 PM,M bracket,SOUTHWESTERN COLLEGE 1,40,M1 - La Jolla United A,9,M3 - 908,5,SDC-14u-boys-division-1-40
02-May-2026,7:15 PM,Q bracket,SOUTHWESTERN COLLEGE 2,56,Q1 - Tsunami,7,Q3 - CDM,10,SDC-14u-boys-division-1-56
02-May-2026,7:15 PM,U bracket,SOUTHWESTERN COLLEGE 3,72,U1 - SJA,6,U3 - CC United Blue,15,SDC-14u-boys-division-1-72
02-May-2026,8:00 AM,G bracket,SOUTHWESTERN COLLEGE 1,25,G1 - Norcal,15,G2 - SOCAL,2,SDC-14u-boys-division-1-25
02-May-2026,8:00 AM,B bracket,SOUTHWESTERN COLLEGE 2,41,B2 - South Coast,12,B3 - Northwest,7,SDC-14u-boys-division-1-41
02-May-2026,8:00 AM,L bracket,SOUTHWESTERN COLLEGE 3,57,L1 - CC United Black,9,L3 - La Jolla United B,4,SDC-14u-boys-division-1-57
02-May-2026,8:45 AM,K bracket,SOUTHWESTERN COLLEGE 1,26,K1 - Lamorinda,9,K2 - North Irvine,11,SDC-14u-boys-division-1-26
02-May-2026,8:45 AM,F bracket,SOUTHWESTERN COLLEGE 2,42,F1 - LA Premier,8,F2 - OCWPC,5,SDC-14u-boys-division-1-42
02-May-2026,8:45 AM,E bracket,SOUTHWESTERN COLLEGE 3,58,E2 - ORWP,13,E3 - Sharks,10,SDC-14u-boys-division-1-58
