Date,Time,Type,Location,Gm #,White,White Score,Dark,Dark Score,GMID
01-May-2026,3:00 PM,D bracket,PARKWAY AQUATIC CENTER,5,D1 - Shore Aquatics,22,D3 - CCWP,3,SDC-12u-girls-division-2-5
01-May-2026,3:45 PM,B bracket,MEMORIAL POOL,1,B1 - 908,18,B2 - Santa Barbara,3,SDC-12u-girls-division-2-1
01-May-2026,3:45 PM,E bracket,PARKWAY AQUATIC CENTER,6,E2 - San Clemente,10,E3 - Tsunami,12,SDC-12u-girls-division-2-6
01-May-2026,4:30 PM,C bracket,MEMORIAL POOL,2,C1 - Temple City,7,C2 - CHAWP,9,SDC-12u-girls-division-2-2
01-May-2026,4:30 PM,A bracket,PARKWAY AQUATIC CENTER,7,A1 - Newport White,4,A2 - Rose Bowl,10,SDC-12u-girls-division-2-7
01-May-2026,5:15 PM,F bracket,PARKWAY AQUATIC CENTER,8,F1 - North Irvine,14,F2 - Laguna Beach,5,SDC-12u-girls-division-2-8
01-May-2026,6:00 PM,B bracket,MEMORIAL POOL,3,B2 - Santa Barbara,3,B3 - Seaside,9,SDC-12u-girls-division-2-3
01-May-2026,6:00 PM,D bracket,PARKWAY AQUATIC CENTER,9,D2 - Patriots,12,D3 - CCWP,4,SDC-12u-girls-division-2-9
01-May-2026,6:45 PM,C bracket,MEMORIAL POOL,4,C2 - CHAWP,16,C3 - AG Polo,11,SDC-12u-girls-division-2-4
01-May-2026,6:45 PM,E bracket,PARKWAY AQUATIC CENTER,10,E1 - Lamorinda B,5,E3 - Tsunami,13,SDC-12u-girls-division-2-10
01-May-2026,7:30 PM,A bracket,PARKWAY AQUATIC CENTER,11,A2 - Rose Bowl,14,A3 - CC United,4,SDC-12u-girls-division-2-11
01-May-2026,8:15 PM,F bracket,PARKWAY AQUATIC CENTER,12,F2 - Laguna Beach,6,F3 - Davis,10,SDC-12u-girls-division-2-12
02-May-2026,11:45 AM,L bracket,MEMORIAL POOL,16,L1 - Santa Barbara,9,L2 - AG Polo,15,SDC-12u-girls-division-2-16
02-May-2026,11:45 AM,K bracket,PARKWAY AQUATIC CENTER,28,K2 - CCWP,12,K3 - San Clemente,13,SDC-12u-girls-division-2-28
02-May-2026,12:30 PM,J bracket,MEMORIAL POOL,17,J1 - Seaside,3,J2 - Temple City,14,SDC-12u-girls-division-2-17
02-May-2026,12:30 PM,I bracket,PARKWAY AQUATIC CENTER,29,I2 - Patriots,7,I3 - Lamorinda B,11,SDC-12u-girls-division-2-29
02-May-2026,1:15 PM,H bracket,MEMORIAL POOL,18,H1 - 908,12,H2 - CHAWP,10,SDC-12u-girls-division-2-18
02-May-2026,1:15 PM,G bracket,PARKWAY AQUATIC CENTER,30,G2 - Shore Aquatics,11,G3 - Tsunami,1,SDC-12u-girls-division-2-30
02-May-2026,2:00 PM,L bracket,MEMORIAL POOL,19,L1 - Santa Barbara,7,L3 - Laguna Beach,10,SDC-12u-girls-division-2-19
02-May-2026,2:00 PM,K bracket,PARKWAY AQUATIC CENTER,31,K1 - CC United,6,K3 - San Clemente,12,SDC-12u-girls-division-2-31
02-May-2026,2:45 PM,J bracket,MEMORIAL POOL,20,J1 - Seaside,6,J3 - Davis,13,SDC-12u-girls-division-2-20
02-May-2026,2:45 PM,I bracket,PARKWAY AQUATIC CENTER,32,I1 - Newport White,7,I3 - Lamorinda B,3,SDC-12u-girls-division-2-32
02-May-2026,3:30 PM,H bracket,MEMORIAL POOL,21,H1 - 908,18,H3 - North Irvine,7,SDC-12u-girls-division-2-21
02-May-2026,3:30 PM,G bracket,PARKWAY AQUATIC CENTER,33,G1 - Rose Bowl,8,G3 - Tsunami,6,SDC-12u-girls-division-2-33
02-May-2026,4:15 PM,L bracket,MEMORIAL POOL,22,L2 - AG Polo,15,L3 - Laguna Beach,8,SDC-12u-girls-division-2-22
02-May-2026,4:15 PM,K bracket,PARKWAY AQUATIC CENTER,34,K1 - CC United,8,K2 - CCWP,14,SDC-12u-girls-division-2-34
02-May-2026,5:00 PM,J bracket,MEMORIAL POOL,23,J2 - Temple City,8,J3 - Davis,0,SDC-12u-girls-division-2-23
02-May-2026,5:00 PM,I bracket,PARKWAY AQUATIC CENTER,35,I1 - Newport White,9,I2 - Patriots,6,SDC-12u-girls-division-2-35
02-May-2026,5:45 PM,H bracket,MEMORIAL POOL,24,H2 - CHAWP,12,H3 - North Irvine,9,SDC-12u-girls-division-2-24
02-May-2026,5:45 PM,G bracket,PARKWAY AQUATIC CENTER,36,G1 - Rose Bowl,10,G2 - Shore Aquatics,15,SDC-12u-girls-division-2-36
02-May-2026,8:00 AM,C bracket,MEMORIAL POOL,13,C1 - Temple City,14,C3 - AG Polo,7,SDC-12u-girls-division-2-13
02-May-2026,8:00 AM,D bracket,PARKWAY AQUATIC CENTER,25,D1 - Shore Aquatics,12,D2 - Patriots,6,SDC-12u-girls-division-2-25
02-May-2026,8:45 AM,B bracket,MEMORIAL POOL,14,B1 - 908,17,B3 - Seaside,1,SDC-12u-girls-division-2-14
02-May-2026,8:45 AM,E bracket,PARKWAY AQUATIC CENTER,26,E1 - Lamorinda B,11,E2 - San Clemente,7,SDC-12u-girls-division-2-26
02-May-2026,9:30 AM,F bracket,MEMORIAL POOL,15,F1 - North Irvine,14,F3 - Davis,2,SDC-12u-girls-division-2-15
02-May-2026,9:30 AM,A bracket,PARKWAY AQUATIC CENTER,27,A1 - Newport White,14,A3 - CC United,3,SDC-12u-girls-division-2-27
03-May-2026,10:15 AM,11th,MEMORIAL POOL,40,R1 - Patriots,15,R2 - Seaside,2,SDC-12u-girls-division-2-40
03-May-2026,10:15 AM,17th,PARKWAY AQUATIC CENTER,47,U1 - CC United,10,U2 - Santa Barbara,9,SDC-12u-girls-division-2-47
03-May-2026,11:00 AM,15th,MEMORIAL POOL,41,T1 - CCWP,3,T2 - Laguna Beach,10,SDC-12u-girls-division-2-41
03-May-2026,11:45 AM,3rd,MEMORIAL POOL,42,CHAWP,9,Rose Bowl,10,SDC-12u-girls-division-2-42
03-May-2026,12:30 PM,1st,MEMORIAL POOL,43,Shore Aquatics,10,908,11,SDC-12u-girls-division-2-43
03-May-2026,8:00 AM,Semifinal,MEMORIAL POOL,37,M1 - Shore Aquatics,12,M2 - CHAWP,6,SDC-12u-girls-division-2-37
03-May-2026,8:00 AM,5th,PARKWAY AQUATIC CENTER,44,O1 - Tsunami,10,O2 - North Irvine,9,SDC-12u-girls-division-2-44
03-May-2026,8:45 AM,Semifinal,MEMORIAL POOL,38,N1 - 908,15,N2 - Rose Bowl,6,SDC-12u-girls-division-2-38
03-May-2026,8:45 AM,7th,PARKWAY AQUATIC CENTER,45,P1 - Newport White,7,P2 - Temple City,8,SDC-12u-girls-division-2-45
03-May-2026,9:30 AM,9th,MEMORIAL POOL,39,Q1 - Lamorinda B,5,Q2 - Davis,3,SDC-12u-girls-division-2-39
03-May-2026,9:30 AM,13th,PARKWAY AQUATIC CENTER,46,S1 - San Clemente,9,S2 - AG Polo,14,SDC-12u-girls-division-2-46
