Date,Time,Type,Location,Gm #,White,White Score,Dark,Dark Score,GMID
01-May-2026,3:00 PM,C bracket,NED BAUMER 1,1,C2 - La Jolla United B,12,C3 - OCWPC,6,SDC-12u-boys-division-2-1
01-May-2026,3:00 PM,D bracket,NED BAUMER 2,9,D1 - Mission B,12,D3 - North Irvine Red,4,SDC-12u-boys-division-2-9
01-May-2026,3:00 PM,J bracket,ALLIED GARDENS POOL,17,J1 - Stanford Black,20,J3 - San Clemente White,3,SDC-12u-boys-division-2-17
01-May-2026,3:45 PM,B bracket,NED BAUMER 1,2,B2 - ECA,16,B3 - Laguna Beach,9,SDC-12u-boys-division-2-2
01-May-2026,3:45 PM,F bracket,NED BAUMER 2,10,F1 - Greenwich White,23,F3 - NSD Stars B,4,SDC-12u-boys-division-2-10
01-May-2026,3:45 PM,L bracket,ALLIED GARDENS POOL,18,L1 - Newport White,12,L2 - Back Bay,10,SDC-12u-boys-division-2-18
01-May-2026,4:30 PM,A bracket,NED BAUMER 1,3,A1 - SD Dons Gold,5,A2 - Shore Aquatics,12,SDC-12u-boys-division-2-3
01-May-2026,4:30 PM,I bracket,NED BAUMER 2,11,I1 - Patriot Red,10,I3 - Trilogy,9,SDC-12u-boys-division-2-11
01-May-2026,4:30 PM,H bracket,ALLIED GARDENS POOL,19,H1 - Elite,6,H2 - Titans,12,SDC-12u-boys-division-2-19
01-May-2026,5:15 PM,E bracket,NED BAUMER 1,4,E2 - Foothill,10,E3 - NGen,12,SDC-12u-boys-division-2-4
01-May-2026,5:15 PM,G bracket,NED BAUMER 2,12,G2 - 908 Blue,13,G3 - Innis Arden,11,SDC-12u-boys-division-2-12
01-May-2026,5:15 PM,K bracket,ALLIED GARDENS POOL,20,K2 - Santa Barbara,10,K3 - Lamorinda C,5,SDC-12u-boys-division-2-20
01-May-2026,6:00 PM,C bracket,NED BAUMER 1,5,C1 - San Clemente Black,14,C2 - La Jolla United B,2,SDC-12u-boys-division-2-5
