Date,Time,Type,Location,Gm #,White,White Score,Dark,Dark Score,GMID
01-May-2026,4:30 PM,A bracket,STEELE CANYON HS,1,A1 - San Clemente Black,4,A2 - Santa Barbara,5,SDC-14u-girls-division-2-1
01-May-2026,4:30 PM,D bracket,MONTE VISTA HS,7,D1 - Newport White,9,D2 - Northwest,6,SDC-14u-girls-division-2-7
01-May-2026,5:15 PM,B bracket,STEELE CANYON HS,2,B1 - Rogue 619,10,B3 - Innis Arden,1,SDC-14u-girls-division-2-2
01-May-2026,5:15 PM,G bracket,MONTE VISTA HS,8,G1 - Back Bay,5,G4 - ECA,11,SDC-14u-girls-division-2-8
01-May-2026,6:00 PM,C bracket,STEELE CANYON HS,3,C2 - North Irvine,21,C3 - Trilogy,2,SDC-14u-girls-division-2-3
01-May-2026,6:00 PM,H bracket,MONTE VISTA HS,9,H1 - Lamorinda Gold,17,H4 - CV Premier,7,SDC-14u-girls-division-2-9
01-May-2026,6:00 PM,E bracket,SANTANA HS,14,E1 - Clovis,6,E2 - SET,10,SDC-14u-girls-division-2-14
01-May-2026,6:45 PM,A bracket,STEELE CANYON HS,4,A2 - Santa Barbara,14,A3 - Big Valley,3,SDC-14u-girls-division-2-4
01-May-2026,6:45 PM,F bracket,MONTE VISTA HS,10,F1 - Seaside,3,F4 - Elite,11,SDC-14u-girls-division-2-10
01-May-2026,6:45 PM,F bracket,SANTANA HS,15,F2 - Stanford,9,F3 - Viking Aquatics,10,SDC-14u-girls-division-2-15
01-May-2026,7:30 PM,B bracket,STEELE CANYON HS,5,B1 - Rogue 619,13,B2 - CCWP,3,SDC-14u-girls-division-2-5
01-May-2026,7:30 PM,D bracket,MONTE VISTA HS,11,D1 - Newport White,8,D3 - Lamorinda C,7,SDC-14u-girls-division-2-11
01-May-2026,7:30 PM,H bracket,VALHALLA HS,13,H2 - LOWPO,4,H3 - Shores White,9,SDC-14u-girls-division-2-13
01-May-2026,8:15 PM,C bracket,STEELE CANYON HS,6,C1 - Patriots Red,16,C3 - Trilogy,2,SDC-14u-girls-division-2-6
01-May-2026,8:15 PM,G bracket,MONTE VISTA HS,12,G2 - Sharks,8,G3 - Foothill Black,7,SDC-14u-girls-division-2-12
01-May-2026,8:15 PM,E bracket,SANTANA HS,16,E1 - Clovis,5,E3 - Norcal,5,SDC-14u-girls-division-2-16
02-May-2026,10:15 AM,G bracket,STEELE CANYON HS,20,G4 - ECA,3,G2 - Sharks,4,SDC-14u-girls-division-2-20
