Date,Time,Type,Location,Gm #,White,White Score,Dark,Dark Score,GMID
01-May-2026,3:00 PM,A bracket,LOMA VERDE AQUATIC CENTER 1,1,A1 - Mission,17,A2 - OCWPC Blue,1,SDC-12u-boys-division-1-1
01-May-2026,3:00 PM,E bracket,LOMA VERDE AQUATIC CENTER 2,9,E1 - Stanford,17,E2 - Temple City,3,SDC-12u-boys-division-1-9
01-May-2026,3:00 PM,I bracket,LOMA VERDE AQUATIC CENTER 3,17,I1 - 908,7,I2 - ORWP,7,SDC-12u-boys-division-1-17
01-May-2026,3:45 PM,B bracket,LOMA VERDE AQUATIC CENTER 1,2,B1 - Greenwich,21,B3 - Los Al Opal,4,SDC-12u-boys-division-1-2
01-May-2026,3:45 PM,F bracket,LOMA VERDE AQUATIC CENTER 2,10,F1 - Patriot Navy,12,F3 - Carlsbad,6,SDC-12u-boys-division-1-10
01-May-2026,3:45 PM,L bracket,LOMA VERDE AQUATIC CENTER 3,18,L1 - Tsunami Blue,3,L2 - San Clemente,10,SDC-12u-boys-division-1-18
01-May-2026,4:30 PM,C bracket,LOMA VERDE AQUATIC CENTER 1,3,C1 - SD Dons Black,7,C2 - Santa Barbara,1,SDC-12u-boys-division-1-3
01-May-2026,4:30 PM,J bracket,LOMA VERDE AQUATIC CENTER 2,11,J1 - North Irvine,16,J2 - SD Shores,8,SDC-12u-boys-division-1-11
01-May-2026,4:30 PM,H bracket,LOMA VERDE AQUATIC CENTER 3,19,H2 - CDM,16,H3 - Commerce,3,SDC-12u-boys-division-1-19
01-May-2026,5:15 PM,D bracket,LOMA VERDE AQUATIC CENTER 1,4,D1 - SOCAL,10,D2 - La Jolla United,3,SDC-12u-boys-division-1-4
01-May-2026,5:15 PM,G bracket,LOMA VERDE AQUATIC CENTER 2,12,G2 - Rose Bowl Red,16,G3 - CV Premier,1,SDC-12u-boys-division-1-12
01-May-2026,5:15 PM,K bracket,LOMA VERDE AQUATIC CENTER 3,20,K1 - Newport,17,K3 - LACUWP,2,SDC-12u-boys-division-1-20
01-May-2026,6:00 PM,A bracket,LOMA VERDE AQUATIC CENTER 1,5,A1 - Mission,12,A3 - YOLO Black,5,SDC-12u-boys-division-1-5
01-May-2026,6:00 PM,E bracket,LOMA VERDE AQUATIC CENTER 2,13,E1 - Stanford,11,E3 - Foothill Red,5,SDC-12u-boys-division-1-13
01-May-2026,6:00 PM,I bracket,LOMA VERDE AQUATIC CENTER 3,21,I1 - 908,16,I3 - Lamorinda Gold,2,SDC-12u-boys-division-1-21
01-May-2026,6:45 PM,B bracket,LOMA VERDE AQUATIC CENTER 1,6,B2 - NSD Stars,6,B3 - Los Al Opal,7,SDC-12u-boys-division-1-6
01-May-2026,6:45 PM,F bracket,LOMA VERDE AQUATIC CENTER 2,14,F1 - Patriot Navy,15,F2 - Davis,7,SDC-12u-boys-division-1-14
01-May-2026,6:45 PM,L bracket,LOMA VERDE AQUATIC CENTER 3,22,L1 - Tsunami Blue,19,L3 - Carmel WPC,0,SDC-12u-boys-division-1-22
01-May-2026,7:30 PM,C bracket,LOMA VERDE AQUATIC CENTER 1,7,C2 - Santa Barbara,10,C3 - LA Premier,6,SDC-12u-boys-division-1-7
01-May-2026,7:30 PM,J bracket,LOMA VERDE AQUATIC CENTER 2,15,J2 - SD Shores,13,J3 - Santa Cruz,8,SDC-12u-boys-division-1-15
01-May-2026,7:30 PM,H bracket,LOMA VERDE AQUATIC CENTER 3,23,H1 - CC United Black,19,H3 - Commerce,3,SDC-12u-boys-division-1-23
01-May-2026,8:15 PM,D bracket,LOMA VERDE AQUATIC CENTER 1,8,D2 - La Jolla United,12,D3 - CC United Blue,4,SDC-12u-boys-division-1-8
01-May-2026,8:15 PM,G bracket,LOMA VERDE AQUATIC CENTER 2,16,G1 - SJ Express,12,G2 - Rose Bowl Red,7,SDC-12u-boys-division-1-16
01-May-2026,8:15 PM,K bracket,LOMA VERDE AQUATIC CENTER 3,24,K2 - Lamorinda Blue,21,K3 - LACUWP,3,SDC-12u-boys-division-1-24
02-May-2026,10:15 AM,D bracket,LOMA VERDE AQUATIC CENTER 1,27,D1 - SOCAL,8,D3 - CC United Blue,2,SDC-12u-boys-division-1-27
02-May-2026,10:15 AM,G bracket,LOMA VERDE AQUATIC CENTER 2,43,G1 - SJ Express,12,G3 - CV Premier,1,SDC-12u-boys-division-1-43
02-May-2026,10:15 AM,H bracket,LOMA VERDE AQUATIC CENTER 3,59,H1 - CC United Black,12,H2 - CDM,12,SDC-12u-boys-division-1-59
02-May-2026,11:00 AM,M bracket,LOMA VERDE AQUATIC CENTER 1,28,M1 - Mission,11,M3 - ORWP,3,SDC-12u-boys-division-1-28
02-May-2026,11:00 AM,Q bracket,LOMA VERDE AQUATIC CENTER 2,44,Q1 - OCWPC Blue,8,Q3 - 908,8,SDC-12u-boys-division-1-44
02-May-2026,11:00 AM,U bracket,LOMA VERDE AQUATIC CENTER 3,60,U1 - YOLO Black,6,U3 - Lamorinda Gold,3,SDC-12u-boys-division-1-60
02-May-2026,11:45 AM,P bracket,LOMA VERDE AQUATIC CENTER 1,29,P1 - SD Dons Black,6,P2 - Patriot Navy,6,SDC-12u-boys-division-1-29
02-May-2026,11:45 AM,T bracket,LOMA VERDE AQUATIC CENTER 2,45,T1 - Santa Barbara,4,T2 - Davis,9,SDC-12u-boys-division-1-45
02-May-2026,11:45 AM,X bracket,LOMA VERDE AQUATIC CENTER 3,61,X1 - LA Premier,8,X3 - LACUWP,6,SDC-12u-boys-division-1-61
02-May-2026,12:30 PM,O bracket,LOMA VERDE AQUATIC CENTER 1,30,O1 - Greenwich,9,O3 - North Irvine,4,SDC-12u-boys-division-1-30
02-May-2026,12:30 PM,S bracket,LOMA VERDE AQUATIC CENTER 2,46,S1 - Los Al Opal,11,S3 - SD Shores,10,SDC-12u-boys-division-1-46
02-May-2026,12:30 PM,W bracket,LOMA VERDE AQUATIC CENTER 3,62,W1 - NSD Stars,11,W3 - Santa Cruz,4,SDC-12u-boys-division-1-62
02-May-2026,1:15 PM,N bracket,LOMA VERDE AQUATIC CENTER 1,31,N1 - SOCAL,2,N2 - Stanford,12,SDC-12u-boys-division-1-31
02-May-2026,1:15 PM,R bracket,LOMA VERDE AQUATIC CENTER 2,47,R1 - La Jolla United,9,R2 - Foothill Red,4,SDC-12u-boys-division-1-47
02-May-2026,1:15 PM,V bracket,LOMA VERDE AQUATIC CENTER 3,63,V1 - CC United Blue,8,V2 - Temple City,13,SDC-12u-boys-division-1-63
02-May-2026,2:00 PM,M bracket,LOMA VERDE AQUATIC CENTER 1,32,M2 - CC United Black,8,M3 - ORWP,6,SDC-12u-boys-division-1-32
02-May-2026,2:00 PM,Q bracket,LOMA VERDE AQUATIC CENTER 2,48,Q2 - CDM,7,Q3 - 908,8,SDC-12u-boys-division-1-48
02-May-2026,2:00 PM,U bracket,LOMA VERDE AQUATIC CENTER 3,64,U2 - Commerce,8,U3 - Lamorinda Gold,4,SDC-12u-boys-division-1-64
02-May-2026,2:45 PM,P bracket,LOMA VERDE AQUATIC CENTER 1,33,P2 - Patriot Navy,5,P3 - Newport,9,SDC-12u-boys-division-1-33
02-May-2026,2:45 PM,T bracket,LOMA VERDE AQUATIC CENTER 2,49,T2 - Davis,6,T3 - Lamorinda Blue,10,SDC-12u-boys-division-1-49
02-May-2026,2:45 PM,X bracket,LOMA VERDE AQUATIC CENTER 3,65,X2 - Carlsbad,11,X3 - LACUWP,8,SDC-12u-boys-division-1-65
02-May-2026,3:30 PM,N bracket,LOMA VERDE AQUATIC CENTER 1,34,N2 - Stanford,9,N3 - San Clemente,3,SDC-12u-boys-division-1-34
02-May-2026,3:30 PM,R bracket,LOMA VERDE AQUATIC CENTER 2,50,R2 - Foothill Red,3,R3 - Tsunami Blue,12,SDC-12u-boys-division-1-50
02-May-2026,3:30 PM,W bracket,LOMA VERDE AQUATIC CENTER 3,66,W2 - CV Premier,5,W3 - Santa Cruz,15,SDC-12u-boys-division-1-66
02-May-2026,4:15 PM,O bracket,LOMA VERDE AQUATIC CENTER 1,35,O2 - SJ Express,13,O3 - North Irvine,19,SDC-12u-boys-division-1-35
02-May-2026,4:15 PM,S bracket,LOMA VERDE AQUATIC CENTER 2,51,S2 - Rose Bowl Red,11,S3 - SD Shores,7,SDC-12u-boys-division-1-51
02-May-2026,4:15 PM,V bracket,LOMA VERDE AQUATIC CENTER 3,67,V2 - Temple City,12,V3 - Carmel WPC,0,SDC-12u-boys-division-1-67
02-May-2026,5:00 PM,M bracket,LOMA VERDE AQUATIC CENTER 1,36,M1 - Mission,12,M2 - CC United Black,7,SDC-12u-boys-division-1-36
02-May-2026,5:00 PM,Q bracket,LOMA VERDE AQUATIC CENTER 2,52,Q1 - OCWPC Blue,5,Q2 - CDM,11,SDC-12u-boys-division-1-52
02-May-2026,5:00 PM,U bracket,LOMA VERDE AQUATIC CENTER 3,68,U1 - YOLO Black,6,U2 - Commerce,3,SDC-12u-boys-division-1-68
02-May-2026,5:45 PM,P bracket,LOMA VERDE AQUATIC CENTER 1,37,P1 - SD Dons Black,3,P3 - Newport,10,SDC-12u-boys-division-1-37
02-May-2026,5:45 PM,T bracket,LOMA VERDE AQUATIC CENTER 2,53,T1 - Santa Barbara,8,T3 - Lamorinda Blue,6,SDC-12u-boys-division-1-53
02-May-2026,5:45 PM,X bracket,LOMA VERDE AQUATIC CENTER 3,69,X1 - LA Premier,10,X2 - Carlsbad,8,SDC-12u-boys-division-1-69
02-May-2026,6:30 PM,N bracket,LOMA VERDE AQUATIC CENTER 1,38,N1 - SOCAL,6,N3 - San Clemente,7,SDC-12u-boys-division-1-38
