"18U BOYS D2 HOT! RESULTS BRACKETS A A1-SANTA CRUZ A2-THUNDER A3-ORWP SEEDING A","24 TEAMS GOOGLE SCHEDULES LIVE STREAMS B B1-CT PREMIER B2-MISSION B3-CENTRAL COAST B","60 GAMES SUBMIT SCORES LOGIN C C1-FOOTHILL CLUB A C2-CLOVIS RED C3-BIG VALLEY C","24+24+12 TICKETS D D1-ALAMEDA D2-SET D3-ROSE BOWL D","7 minute quarters OFFICIAL MERCHANDISE E E1-OLYMPUS E2-FARALLON E3-TSM E","CUSTOM SUITS F F1-SJ FOUNDATION F2-RAIN CITY F3-VANGUARD A F","G G1-PEGASUS G2-CARLSBAD G3-COMMERCE G","H H1-SUPREME H2-CVU H3-LONGHORN ORANGE H","","","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"27-Jun","8:00 AM","WOOLLETT LEFT","18BD225","J4(1stD)-SET","7","J5(1stE)-OLYMPUS","20","4v5 QF","18U_BOYS_D2","","","","","","","","","","","","","","","",""
"27-Jun","9:00 AM","WOOLLETT LEFT","18BD227","J1(1stA)-SANTA CRUZ","13","J8(1stH)-LONGHORN ORANGE","11","1v8 QF","18U_BOYS_D2","","","","","","","","","","","","","","","",""
"27-Jun","10:00 AM","WOOLLETT LEFT","18BD229","J2(1stB)-MISSION","6","J7(1stG)-CARLSBAD","10","2v7 QF","18U_BOYS_D2","","","","","","","","","","","","","","","",""
"27-Jun","11:00 AM","WOOLLETT LEFT","18BD231","J3(1stC)-FOOTHILL CLUB A","10","J6(1stF)-VANGUARD A","14","3v6 QF","18U_BOYS_D2","","","","","","","","","","","","","","","",""
"27-Jun","12:00 PM","WOOLLETT LEFT","18BD233","M1(3rdA)-THUNDER","10","M8(3rdH)-CVU","9","17v24 QF","18U_BOYS_D2","","","","","","","","","","","","","","","",""
"27-Jun","1:00 PM","WOOLLETT LEFT","18BD235","M4(3rdD)-ROSE BOWL","16","M5(3rdE)-FARALLON","17","20v21 QF","18U_BOYS_D2","","","","","","","","","","","","","","","",""
"27-Jun","2:00 PM","WOOLLETT LEFT","18BD237","L#J4/J5-SET","8","L#J1/J8-LONGHORN ORANGE","12","5v8 semi","18U_BOYS_D2","","","","","","","","","","","","","","","",""
"27-Jun","3:00 PM","WOOLLETT LEFT","18BD239","W#J1/J8-SANTA CRUZ","7","W#J4/J5-OLYMPUS","12","1v4 semi","18U_BOYS_D2","","","","","","","","","","","","","","","",""
"27-Jun","4:00 PM","WOOLLETT LEFT","18BD241","L#J3/J6-FOOTHILL CLUB A","9","L#J2/J7-MISSION","7","6v7 semi","18U_BOYS_D2","","","","","","","","","","","","","","","",""
