"14U BOYS D2 HOT! RESULTS BRACKETS A A1-MISSION B A2-TROJAN A3-DEVILS GATE SEEDING A","24 TEAMS GOOGLE SCHEDULES LIVE STREAMS B B1-RANCHO TSUNAMI B2-ROSE BOWL B3-STANFORD B B","60 GAMES SUBMIT SCORES LOGIN C C1-SHORE AQUATICS C2-BACK BAY C3-SAN JOSE EXPRESS C","24+24+12 TICKETS D D1-PRIDE D2-NEWPORT BEACH B D3-AMERICAN RIVER A D","7 minute quarters OFFICIAL MERCHANDISE E E1-TEMPLE CITY E2-LOS ALAMITOS E3-SAN FRANCISCO E","CUSTOM SUITS F F1-PATRIOT B F2-FOOTHILL CLUB F3-CLOVIS RED F","G G1-LA JOLLA UNITED B G2-680 A G3-NORTHWEST G","H H1-SANTA BARBARA H2-CCU B H3-KINGSBURG H","","","","","","","","","","","","","","","","","",""
"","","M5(3rdE)-SAN FRANCISCO","","","","","","","","","","","","","","","","","","","","","","",""
"","","M6(3rdF)-PATRIOT B","","","","","","","","","","","","","","","","","","","","","","",""
"","","M7(3rdG)-680 A","","","","","","","","","","","","","","","","","","","","","","",""
"","","M8(3rdH)-KINGSBURG","","","","","","","","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"27-Jun","8:00 AM","LA SERNA HS","14BD225","J4(1stD)-PRIDE","15","J5(1stE)-TEMPLE CITY","10","4v5 QF","14U_BOYS_D2","","","","","","","","","","","","","","","",""
"27-Jun","9:00 AM","LA SERNA HS","14BD227","J1(1stA)-DEVILS GATE","13","J8(1stH)-CCU B","7","1v8 QF","14U_BOYS_D2","","","","","","","","","","","","","","","",""
"27-Jun","10:00 AM","LA SERNA HS","14BD229","J2(1stB)-RANCHO TSUNAMI","19","J7(1stG)-NORTHWEST","9","2v7 QF","14U_BOYS_D2","","","","","","","","","","","","","","","",""
"27-Jun","11:00 AM","LA SERNA HS","14BD231","J3(1stC)-SHORE AQUATICS","11","J6(1stF)-FOOTHILL CLUB","3","3v6 QF","14U_BOYS_D2","","","","","","","","","","","","","","","",""
"27-Jun","12:00 PM","LA SERNA HS","14BD233","M1(3rdA)-TROJAN","8","M8(3rdH)-KINGSBURG","9","17v24 QF","14U_BOYS_D2","","","","","","","","","","","","","","","",""
"27-Jun","1:00 PM","LA SERNA HS","14BD235","M4(3rdD)-AMERICAN RIVER A","11","M5(3rdE)-SAN FRANCISCO","5","20v21 QF","14U_BOYS_D2","","","","","","","","","","","","","","","",""
"27-Jun","2:00 PM","LA SERNA HS","14BD237","L#J4/J5-TEMPLE CITY","11","L#J1/J8-CCU B","8","5v8 semi","14U_BOYS_D2","","","","","","","","","","","","","","","",""
"27-Jun","3:00 PM","LA SERNA HS","14BD239","W#J1/J8-DEVILS GATE","10","W#J4/J5-PRIDE","6","1v4 semi","14U_BOYS_D2","","","","","","","","","","","","","","","",""
"27-Jun","4:00 PM","LA SERNA HS","14BD241","L#J3/J6-FOOTHILL CLUB","6.3","L#J2/J7-NORTHWEST","6.2","6v7 semi","14U_BOYS_D2","","","","","","","","","","","","","","","",""
"27-Jun","5:00 PM","LA SERNA HS","14BD243","W#J2/J7-RANCHO TSUNAMI","11","W#J3/J6-SHORE AQUATICS","8","2v3 semi","14U_BOYS_D2","","","","","","","","","","","","","","","",""
"27-Jun","6:00 PM","LA SERNA HS","14BD245","L#M4/M5-SAN FRANCISCO","6","L#M1/M8-TROJAN","10","21v24 semi","14U_BOYS_D2","","","","","","","","","","","","","","","",""
"27-Jun","7:00 PM","LA SERNA HS","14BD247","W#M1/M8-KINGSBURG","16","W#M4/M5-AMERICAN RIVER A","5","17v20 semi","14U_BOYS_D2","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"27-Jun","8:00 AM","SONORA HS","14BD226","K5(2ndE)-LOS ALAMITOS","10","K4(2ndD)-NEWPORT BEACH B","8","12v13 QF","14U_BOYS_D2","","","","","","","","","","","","","","","",""
"27-Jun","9:00 AM","SONORA HS","14BD228","K8(2ndH)-SANTA BARBARA","5","K1(2ndA)-MISSION B","12","9v16 QF","14U_BOYS_D2","","","","","","","","","","","","","","","",""
"27-Jun","10:00 AM","SONORA HS","14BD230","K6(2ndF)-CLOVIS RED","9","K3(2ndC)-BACK BAY","15","11v14 QF","14U_BOYS_D2","","","","","","","","","","","","","","","",""
"27-Jun","11:00 AM","SONORA HS","14BD232","K7(2ndG)-LA JOLLA UNITED B","16","K2(2ndB)-STANFORD B","15","10v15 QF","14U_BOYS_D2","","","","","","","","","","","","","","","",""
"27-Jun","12:00 PM","SONORA HS","14BD234","M3(3rdC)-SAN JOSE EXPRESS","8","M6(3rdF)-PATRIOT B","12","19v22 QF","14U_BOYS_D2","","","","","","","","","","","","","","","",""
"27-Jun","1:00 PM","SONORA HS","14BD236","M2(3rdB)-ROSE BOWL","12","M7(3rdG)-680 A","18","18v23 QF","14U_BOYS_D2","","","","","","","","","","","","","","","",""
"27-Jun","2:00 PM","SONORA HS","14BD238","L#K5/K4-NEWPORT BEACH B","13","L#K8/K1-SANTA BARBARA","10","13v16 semi","14U_BOYS_D2","","","","","","","","","","","","","","","",""
"27-Jun","3:00 PM","SONORA HS","14BD240","W#K8/K1-MISSION B","16","W#K5/K4-LOS ALAMITOS","8","9v12 semi","14U_BOYS_D2","","","","","","","","","","","","","","","",""
"27-Jun","4:00 PM","SONORA HS","14BD242","L#K6/K3-CLOVIS RED","13","L#K7/K2-STANFORD B","15","14v15 semi","14U_BOYS_D2","","","","","","","","","","","","","","","",""
"27-Jun","5:00 PM","SONORA HS","14BD244","W#K7/K2-LA JOLLA UNITED B","15","W#K6/K3-BACK BAY","23","10v11 semi","14U_BOYS_D2","","","","","","","","","","","","","","","",""
"27-Jun","6:00 PM","SONORA HS","14BD246","L#M3/M6-SAN JOSE EXPRESS","6","L#M2/M7-ROSE BOWL","11","22v23 semi","14U_BOYS_D2","","","","","","","","","","","","","","","",""
"27-Jun","7:00 PM","SONORA HS","14BD248","W#M2/M7-680 A","14","W#M3/M6-PATRIOT B","10","18v19 semi","14U_BOYS_D2","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"28-Jun","8:00 AM","LA SERNA HS","14BD249","L#44-LA JOLLA UNITED B","7","L#40-LOS ALAMITOS","11","11th","14U_BOYS_D2","","","","","","","","","","","","","","","",""
"28-Jun","9:00 AM","LA SERNA HS","14BD251","W#40-MISSION B","20","W#44-BACK BAY","15","9th","14U_BOYS_D2","","","","","","","","","","","","","","","",""
"28-Jun","10:00 AM","LA SERNA HS","14BD253","L#41-NORTHWEST","9","L#37-CCU B","11","7th","14U_BOYS_D2","","","","","","","","","","","","","","","",""
"28-Jun","11:00 AM","LA SERNA HS","14BD255","W#37-TEMPLE CITY","9","W#41-FOOTHILL CLUB","5","5th","14U_BOYS_D2","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"28-Jun","8:00 AM","SONORA HS","14BD250","L#46-SAN JOSE EXPRESS","18","L#45-SAN FRANCISCO","5","23rd","14U_BOYS_D2","","","","","","","","","","","","","","","",""
"28-Jun","9:00 AM","SONORA HS","14BD252","W#45-TROJAN","16","W#46-ROSE BOWL","15","21st","14U_BOYS_D2","","","","","","","","","","","","","","","",""
"28-Jun","10:00 AM","SONORA HS","14BD254","L#48-PATRIOT B","14","L#47-AMERICAN RIVER A","13","19th","14U_BOYS_D2","","","","","","","","","","","","","","","",""
"28-Jun","11:00 AM","SONORA HS","14BD256","W#47-KINGSBURG","9","W#48-680 A","16","17th","14U_BOYS_D2","","","","","","","","","","","","","","","",""
"28-Jun","12:00 PM","SONORA HS","14BD258","L#42-CLOVIS RED","9","L#38-SANTA BARBARA","13","15th","14U_BOYS_D2","","","","","","","","","","","","","","","",""
"28-Jun","1:00 PM","SONORA HS","14BD260","W#38-NEWPORT BEACH B","11","W#42-STANFORD B","8","13th","14U_BOYS_D2","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"28-Jun","10:00 AM","FULLERTON HS","14BD257","L#43-SHORE AQUATICS","10","L#39-PRIDE","6","3rd","14U_BOYS_D2","","","","","","","","","","","","","","","",""
"28-Jun","11:00 AM","FULLERTON HS","14BD259","W#39-DEVILS GATE","5","W#43-RANCHO TSUNAMI","6","1st","14U_BOYS_D2","","","","","","","","","","","","","","","",""
"","","","","","","RANCHO TSUNAMI","","","","","","","","","","","","","","","","","","",""
"","","","","","","DEVILS GATE","","","","","","","","","","","","","","","","","","",""
"","","","","","","SHORE AQUATICS","","","","","","","","","","","","","","","","","","",""
"","","","","","","PRIDE","","","","","","","","","","","","","","","","","","",""
"","","","","","","TEMPLE CITY","","","","","","","","","","","","","","","","","","",""
"","","","","","","FOOTHILL CLUB","","","","","","","","","","","","","","","","","","",""
"","","","","","","CCU B","","","","","","","","","","","","","","","","","","",""
"","","","","","","NORTHWEST","","","","","","","","","","","","","","","","","","",""
"","","","","","","MISSION B","","","","","","","","","","","","","","","","","","",""
"","","","","","","BACK BAY","","","","","","","","","","","","","","","","","","",""
"","","","","","","LOS ALAMITOS","","","","","","","","","","","","","","","","","","",""
"","","","","","","LA JOLLA UNITED B","","","","","","","","","","","","","","","","","","",""
"","","","","","","NEWPORT BEACH B","","","","","","","","","","","","","","","","","","",""
"","","","","","","STANFORD B","","","","","","","","","","","","","","","","","","",""
"","","","","","","SANTA BARBARA","","","","","","","","","","","","","","","","","","",""
"","","","","","","CLOVIS RED","","","","","","","","","","","","","","","","","","",""
"","","","","","","680 A","","","","","","","","","","","","","","","","","","",""
"","","","","","","KINGSBURG","","","","","","","","","","","","","","","","","","",""
"","","","","","","PATRIOT B","","","","","","","","","","","","","","","","","","",""
"","","","","","","AMERICAN RIVER A","","","","","","","","","","","","","","","","","","",""
"","","","","","","TROJAN","","","","","","","","","","","","","","","","","","",""
"","","","","","","ROSE BOWL","","","","","","","","","","","","","","","","","","",""
"","","","","","","SAN JOSE EXPRESS","","","","","","","","","","","","","","","","","","",""
"","","","","","","SAN FRANCISCO","","","","","","","","","","","","","","","","","","",""
