"16U BOYS D1 HOT! RESULTS BRACKETS A A1-BERKELEY A2-PATRIOT A A3-680 A SEEDING A","24 TEAMS GOOGLE SCHEDULES LIVE STREAMS B B1-MISSION B2-LAMORINDA B3-NEWPORT BEACH A B","64 GAMES SUBMIT SCORES LOGIN C C1-STANFORD A C2-LA PREMIER C3-AMERICAN RIVER A C","24+22+18 TICKETS D D1-LA JOLLA UNITED D2-CCU A D3-SAN DIEGO SHORES A D","7 minute quarters OFFICIAL MERCHANDISE E E1-CLOVIS E2-IMPERIAL E3-SANTA BARBARA E","CUSTOM SUITS F F1-VANGUARD A F2-SD DONS F3-CARLSBAD F","G G1-SJ FOUNDATION G2-THUNDER G3-TROJAN CARDINAL G","H H1-CIU H2-GREENWICH H3-SAND CANYON A H","","","","","","","","","","","","","","","","","",""
"27-Jun","9:00 AM","JSERRA CHS","16BD127","3rdD-CCU A","9.3","1stE-IMPERIAL","9.1","Cross4 12v13","16U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","10:00 AM","JSERRA CHS","16BD129","3rdB-NEWPORT BEACH A","14","1stG-TROJAN CARDINAL","7","Cross2 10v15","16U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","11:00 AM","JSERRA CHS","16BD131","3rdC-AMERICAN RIVER A","10","1stF-SD DONS","9","Cross3 11v14","16U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","12:00 PM","JSERRA CHS","16BD133","2ndB-LAMORINDA","14","W#Cross1-680 A","6","Playin3","16U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","1:00 PM","JSERRA CHS","16BD135","2ndC-LA PREMIER","16","W#Cross4-CCU A","13","Playin2","16U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","2:00 PM","JSERRA CHS","16BD137","2ndA-PATRIOT A","7","W#Cross2-NEWPORT BEACH A","11","Playin4","16U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","3:00 PM","JSERRA CHS","16BD139","2ndD-LA JOLLA UNITED","14","W#Cross3-AMERICAN RIVER A","3","Playin1","16U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","4:00 PM","JSERRA CHS","16BD141","1stD-SAN DIEGO SHORES A","13","W#Playin13-LAMORINDA","15","Qtr1","16U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","5:00 PM","JSERRA CHS","16BD143","1stA-BERKELEY","12.4","W#Playin2-LA PREMIER","12.5","Qtr2","16U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","6:00 PM","JSERRA CHS","16BD145","1stC-STANFORD A","9","W#Playin4-NEWPORT BEACH A","8","Qtr3","16U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","7:00 PM","JSERRA CHS","16BD146","1stB-MISSION","11","W#Playin1-LA JOLLA UNITED","8","Qtr4","16U_BOYS_D1","","","","","","","","","","","","","","","",""
"","","","","J 13th-16th","","M 21st-24th","","P 5,6,7,8","","","","","","","","","","","","","","","","",""
"","","","","J1(L#Cross1)-CIU","","M1(3rdE)-CLOVIS","","P1(L#Qtr4)-LA JOLLA UNITED","","","","","","","","","","","","","","","","",""
"","","","","J2(L#Cross2)-TROJAN CARDINAL","","M2(3rdF)-CARLSBAD","","P2(L#Qtr2)-BERKELEY","","","","","","","","","","","","","","","","",""
"","","","","J3(L#Cross3)-SD DONS","","M3(3rdG)-THUNDER","","P3(L#Qtr1)-SAN DIEGO SHORES A","","","","","","","","","","","","","","","","",""
"","","","","J4(L#Cross4)-IMPERIAL","","M4(3rdH)-SAND CANYON A","","P4(L#Qtr3)-NEWPORT BEACH A","","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"27-Jun","8:00 AM","WOOLLETT NEAR RIGHT","16BD126","K1(2ndE)-SANTA BARBARA","11","K4(2ndH)-GREENWICH","15","17-20 RR K1,K4","16U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","9:00 AM","WOOLLETT NEAR RIGHT","16BD128","K2(2ndF)-VANGUARD A","17","K3(2ndG)-SJ FOUNDATION","3","17-20 RR K2,K3","16U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","10:00 AM","WOOLLETT NEAR RIGHT","16BD130","M1(3rdE)-CLOVIS","11","M4(3rdH)-SAND CANYON A","18","21-24 RR M1,M4","16U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","11:00 AM","WOOLLETT NEAR RIGHT","16BD132","M2(3rdF)-CARLSBAD","8","M3(3rdG)-THUNDER","9","21-24 RR M2,M3","16U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","12:00 PM","WOOLLETT NEAR RIGHT","16BD134","K1(2ndE)-SANTA BARBARA","12","K3(2ndG)-SJ FOUNDATION","7","17-20 RR K1,K3","16U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","1:00 PM","WOOLLETT NEAR RIGHT","16BD136","K2(2ndF)-VANGUARD A","12","K4(2ndH)-GREENWICH","3","17-20 RR K2,K4","16U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","2:00 PM","WOOLLETT NEAR RIGHT","16BD138","M1(3rdE)-CLOVIS","5","M3(3rdG)-THUNDER","11","21-24 RR M1,M3","16U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","3:00 PM","WOOLLETT NEAR RIGHT","16BD140","M2(3rdF)-CARLSBAD","10.4","M4(3rdH)-SAND CANYON A","10.3","21-24 RR M2,M4","16U_BOYS_D1","","","","","","","","","","","","","","","",""
