"DIVISION HOT! RESULTS BRACKETS A A1-NEWPORT BEACH GIRLS A A2-STANFORD BOYS A3-TROJAN CARDINAL A SEEDING A","14 TEAMS GOOGLE SCHEDULES LIVE STREAMS B B1-ORWP B2-PATRIOT GIRLS NAVY A B3-LA PREMIER B4-NEWPORT BEACH GIRLS B B","39 GAMES SUBMIT SCORES LOGIN C C1-PATRIOT RED B C2-SANTA BARBARA C3-COMMERCE GIRLS C","14+14+11 TICKETS D D1-SD DONS B D2-VANGUARD D3-CDM BOYS B D4-LAMORINDA D","OFFICIAL MERCHANDISE ","CUSTOM SUITS ","","","","","","","","","","","","","","","","","","","",""
"","","3","4","","","","","","","","","","","","","","","","","","","","","",""
"","","6","5","","","","","","","","","","","","","","","","","","","","","",""
"","","11","12","","","","","","","","","","","","","","","","","","","","","",""
"","","","13","","","","","","","","","","","","","","","","","","","","","",""
"27-Jun","1:50 PM","EL TORO HS 1","10UD223","G2(L#16)-SANTA BARBARA","15","G3(4thB)(L#7)-NEWPORT BEACH GIRLS B","4","9th-14th (12 v 14)","10U_OPEN_D2","","","","","","","","","","","","","","","",""
"27-Jun","4:20 PM","EL TORO HS 1","10UD227","G1(L#15)-TROJAN CARDINAL A","15","G2(L#16)-SANTA BARBARA","18","9th-14th (9 v 12)","10U_OPEN_D2","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"27-Jun","8:00 AM","EL TORO HS 2","10UD217","2ndA-STANFORD BOYS","12","3rdB(W#7)-LA PREMIER","3","QF playin (8v10)","10U_OPEN_D2","","","","","","","","","","","","","","","",""
"27-Jun","8:50 AM","EL TORO HS 2","10UD218","2ndD(L#12)-LAMORINDA","9","3rdC-COMMERCE GIRLS","1","QF playin (5v11)","10U_OPEN_D2","","","","","","","","","","","","","","","",""
"27-Jun","11:20 AM","EL TORO HS 2","10UD220","H1(L#17)-LA PREMIER","18","H3(4thD)(L#11)-CDM BOYS B","5","9th-14th (10 v 13)","10U_OPEN_D2","","","","","","","","","","","","","","","",""
"27-Jun","1:00 PM","EL TORO HS 2","10UD222","E2(1stD)(W#12)-VANGUARD","11","E3(W#16)-SD DONS B","5","1-8 QF(4v6)","10U_OPEN_D2","","","","","","","","","","","","","","","",""
"27-Jun","1:50 PM","EL TORO HS 2","10UD224","H2(L#18)-COMMERCE GIRLS","9.1","H3(4thD)(L#11)-CDM BOYS B","9.2","9th-14th (11 v 13)","10U_OPEN_D2","","","","","","","","","","","","","","","",""
"27-Jun","2:40 PM","EL TORO HS 2","10UD225","F1(1stB)(W#10)-PATRIOT GIRLS NAVY A","4","F4(W#17)(8)-STANFORD BOYS","11","1-8 QF(2v8)","10U_OPEN_D2","","","","","","","","","","","","","","","",""
"27-Jun","3:30 PM","EL TORO HS 2","10UD226","F2(1stC)-PATRIOT RED B","19","F3(W#18)(5)-LAMORINDA","8","1-8 QF(3v5)","10U_OPEN_D2","","","","","","","","","","","","","","","",""
"27-Jun","4:20 PM","EL TORO HS 2","10UD228","H1(L#17)-LA PREMIER","11","H2(L#18)-COMMERCE GIRLS","8","9th-14th (10 v 11)","10U_OPEN_D2","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"28-Jun","8:00 AM","EL TORO HS 1","10UD229","2ndG-TROJAN CARDINAL A","13","2ndH-CDM BOYS B","5","11th","10U_OPEN_D2","","","","","","","","","","","","","","","",""
"28-Jun","8:50 AM","EL TORO HS 1","10UD230","3rdG-NEWPORT BEACH GIRLS B","9","3rdH-COMMERCE GIRLS","15","13th","10U_OPEN_D2","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"28-Jun","8:00 AM","EL TORO HS 2","10UD231","1stG-SANTA BARBARA","9","1stH-LA PREMIER","10","9th","10U_OPEN_D2","","","","","","","","","","","","","","","",""
"28-Jun","8:50 AM","EL TORO HS 2","10UD232","L#26-LAMORINDA","11","L#25-PATRIOT GIRLS NAVY A","18","5-8 semi 5v8","10U_OPEN_D2","","","","","","","","","","","","","","","",""
"28-Jun","9:40 AM","EL TORO HS 2","10UD233","L#22-SD DONS B","10","L#21-ORWP","2","5-8 semi 6v7","10U_OPEN_D2","","","","","","","","","","","","","","","",""
"28-Jun","10:30 AM","EL TORO HS 2","10UD234","W#21-NEWPORT BEACH GIRLS A","5","W#22-VANGUARD","9","1-4 semi 1v4","10U_OPEN_D2","","","","","","","","","","","","","","","",""
"28-Jun","11:20 AM","EL TORO HS 2","10UD235","W#25-STANFORD BOYS","7.3","W#26-PATRIOT RED B","7.2","1-4 semi 2v3","10U_OPEN_D2","","","","","","","","","","","","","","","",""
"28-Jun","12:10 PM","EL TORO HS 2","10UD236","W#32-PATRIOT GIRLS NAVY A","4","W#33-SD DONS B","3","5th","10U_OPEN_D2","","","","","","","","","","","","","","","",""
"28-Jun","1:00 PM","EL TORO HS 2","10UD237","L#33-ORWP","12","L#32-LAMORINDA","11","7th","10U_OPEN_D2","","","","","","","","","","","","","","","",""
"28-Jun","1:50 PM","EL TORO HS 2","10UD238","L#35-PATRIOT RED B","8.1","L#34-NEWPORT BEACH GIRLS A","8.2","3rd","10U_OPEN_D2","","","","","","","","","","","","","","","",""
"28-Jun","2:40 PM","EL TORO HS 2","10UD239","W#34-VANGUARD","5","W#35-STANFORD BOYS","4","1st","10U_OPEN_D2","","","","","","","","","","","","","","","",""
"","","","","","","VANGUARD","","","","","","","","","","","","","","","","","","",""
"","","","","","","STANFORD BOYS","","","","","","","","","","","","","","","","","","",""
"","","","","","","NEWPORT BEACH GIRLS A","","","","","","","","","","","","","","","","","","",""
"","","","","","","PATRIOT RED B","","","","","","","","","","","","","","","","","","",""
"","","","","","","PATRIOT GIRLS NAVY A","","","","","","","","","","","","","","","","","","",""
"","","","","","","SD DONS B","","","","","","","","","","","","","","","","","","",""
"","","","","","","ORWP","","","","","","","","","","","","","","","","","","",""
"","","","","","","LAMORINDA","","","","","","","","","","","","","","","","","","",""
"","","","","","","LA PREMIER","","","","","","","","","","","","","","","","","","",""
"","","","","","","SANTA BARBARA","","","","","","","","","","","","","","","","","","",""
"","","","","","","TROJAN CARDINAL A","","","","","","","","","","","","","","","","","","",""
"","","","","","","CDM BOYS B","","","","","","","","","","","","","","","","","","",""
"","","","","","","COMMERCE GIRLS","","","","","","","","","","","","","","","","","","",""
"","","","","","","NEWPORT BEACH GIRLS B","","","","","","","","","","","","","","","","","","",""
