"18U BOYS D3 HOT! RESULTS BRACKETS A A1-TROJAN GOLD A2-PASADENA A3-FOOTHILL CLUB B SEEDING A","18 TEAMS GOOGLE SCHEDULES LIVE STREAMS B B1-MID PEN B2-LA JOLLA UNITED B B3-NAVY B","45 GAMES SUBMIT SCORES LOGIN C C1-RANCHO TSUNAMI C2-TRILOGY C3-ASPHALT GREEN C","18+18+9 TICKETS D D1-99 ALLIANCE D2-CHULA VISTA D3-ROUTE 66 D","7 minute quarters OFFICIAL MERCHANDISE E E1-LA VERNE E2-HYDRA E3-SACRAMENTO E","CUSTOM SUITS F F1-AMERICAN RIVER B F2-VIPER PIGEON F3-RENEGADES F","","","","","","","","","","","","","","","","","","","",""
"","","3","4","5","6","","","","","","","","","","","","","","","","","","","",""
"","","10","9","8","7","","","","","","","","","","","","","","","","","","","",""
"","","15","16","17","18","","","","","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"26-Jun","8:00 AM","SERVITE HS","18BD301","A1-TROJAN GOLD","19","A3-FOOTHILL CLUB B","8","A bracket A1,A3","18U_BOYS_D3","","","","","","","","","","","","","","","",""
"26-Jun","9:00 AM","SERVITE HS","18BD302","D1-99 ALLIANCE","14","D3-ROUTE 66","16","D bracket D1,D3","18U_BOYS_D3","","","","","","","","","","","","","","","",""
"26-Jun","10:00 AM","SERVITE HS","18BD303","E1-LA VERNE","15","E3-SACRAMENTO","8","E bracket E1,E3","18U_BOYS_D3","","","","","","","","","","","","","","","",""
"26-Jun","11:00 AM","SERVITE HS","18BD304","A2-PASADENA","11","A3-FOOTHILL CLUB B","14","A bracket A2,A3","18U_BOYS_D3","","","","","","","","","","","","","","","",""
"26-Jun","12:00 PM","SERVITE HS","18BD305","D2-CHULA VISTA","20","D3-ROUTE 66","14","D bracket D2,D3","18U_BOYS_D3","","","","","","","","","","","","","","","",""
"26-Jun","1:00 PM","SERVITE HS","18BD306","E2-HYDRA","5","E3-SACRAMENTO","17","E bracket E2,E3","18U_BOYS_D3","","","","","","","","","","","","","","","",""
"26-Jun","2:00 PM","SERVITE HS","18BD307","A1-TROJAN GOLD","15","A2-PASADENA","6","A bracket A1,A2","18U_BOYS_D3","","","","","","","","","","","","","","","",""
"26-Jun","3:00 PM","SERVITE HS","18BD308","D1-99 ALLIANCE","10","D2-CHULA VISTA","20","D bracket D1,D2","18U_BOYS_D3","","","","","","","","","","","","","","","",""
"26-Jun","4:00 PM","SERVITE HS","18BD309","E1-LA VERNE","13","E2-HYDRA","9","E bracket E1,E2","18U_BOYS_D3","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"26-Jun","8:00 AM","SAN JUAN HILLS HS","18BD310","B1-MID PEN","9","B3-NAVY","7","B bracket B1,B3","18U_BOYS_D3","","","","","","","","","","","","","","","",""
"26-Jun","9:00 AM","SAN JUAN HILLS HS","18BD311","C1-RANCHO TSUNAMI","11","C3-ASPHALT GREEN","7","C bracket C1,C3","18U_BOYS_D3","","","","","","","","","","","","","","","",""
"26-Jun","10:00 AM","SAN JUAN HILLS HS","18BD312","F1-AMERICAN RIVER B","9","F3-RENEGADES","6","F bracket F1,F3","18U_BOYS_D3","","","","","","","","","","","","","","","",""
"26-Jun","11:00 AM","SAN JUAN HILLS HS","18BD313","B2-LA JOLLA UNITED B","15","B3-NAVY","6","B bracket B2,B3","18U_BOYS_D3","","","","","","","","","","","","","","","",""
"26-Jun","12:00 PM","SAN JUAN HILLS HS","18BD314","C2-TRILOGY","7.5","C3-ASPHALT GREEN","7.4","C bracket C2,C3","18U_BOYS_D3","","","","","","","","","","","","","","","",""
"26-Jun","1:00 PM","SAN JUAN HILLS HS","18BD315","F2-VIPER PIGEON","12","F3-RENEGADES","9","F bracket F2,F3","18U_BOYS_D3","","","","","","","","","","","","","","","",""
