"14U BOYS D3 HOT! RESULTS BRACKETS A A1-VEGAS RENEGADES A2-CVU A3-NORCAL B A","18 TEAMS GOOGLE SCHEDULES LIVE STREAMS B B1-680 B B2-SKIP B3-NORTH IRVINE B B","45 GAMES SUBMIT SCORES LOGIN C C1-VANGUARD B C2-SJ FOUNDATION C3-STANFORD C C","18+18+9 TICKETS D D1-LAWPC D2-DIABLO ALLIANCE B D3-680 C D","7 minute quarters OFFICIAL MERCHANDISE E E1-ALAMEDA E2-TITANS E3-SUPREME E","CUSTOM SUITS F F1-LAMORINDA B F2-SOUTH COAST WHITE F3-AMERICAN RIVER B F","","","","","","","","","","","","","","","","","","","",""
"","","3","4","5","6","","","","","","","","","","","","","","","","","","","",""
"","","10","9","8","7","","","","","","","","","","","","","","","","","","","",""
"","","15","16","17","18","","","","","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"26-Jun","8:00 AM","FULLERTON HS","14BD301","A1-VEGAS RENEGADES","15","A3-NORCAL B","7","A bracket A1,A3","14U_BOYS_D3","","","","","","","","","","","","","","","",""
"26-Jun","9:00 AM","FULLERTON HS","14BD302","D1-LAWPC","17","D3-680 C","5","D bracket D1,D3","14U_BOYS_D3","","","","","","","","","","","","","","","",""
"26-Jun","10:00 AM","FULLERTON HS","14BD303","E1-ALAMEDA","9","E2-TITANS","8","E bracket E1,E2","14U_BOYS_D3","","","","","","","","","","","","","","","",""
"26-Jun","11:00 AM","FULLERTON HS","14BD304","A2-CVU","14","A3-NORCAL B","7","A bracket A2,A3","14U_BOYS_D3","","","","","","","","","","","","","","","",""
"26-Jun","12:00 PM","FULLERTON HS","14BD305","D2-DIABLO ALLIANCE B","15","D3-680 C","6","D bracket D2,D3","14U_BOYS_D3","","","","","","","","","","","","","","","",""
"26-Jun","1:00 PM","FULLERTON HS","14BD306","E2-TITANS","20","E3-SUPREME","8","E bracket E2,E3","14U_BOYS_D3","","","","","","","","","","","","","","","",""
"26-Jun","2:00 PM","FULLERTON HS","14BD307","A1-VEGAS RENEGADES","15","A2-CVU","9","A bracket A1,A2","14U_BOYS_D3","","","","","","","","","","","","","","","",""
"26-Jun","3:00 PM","FULLERTON HS","14BD308","D1-LAWPC","16","D2-DIABLO ALLIANCE B","3","D bracket D1,D2","14U_BOYS_D3","","","","","","","","","","","","","","","",""
"26-Jun","4:00 PM","FULLERTON HS","14BD309","E1-ALAMEDA","16","E3-SUPREME","8","E bracket E1,E3","14U_BOYS_D3","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"26-Jun","8:00 AM","ESPERANZA HS","14BD310","B1-680 B","17","B3-NORTH IRVINE B","7","B bracket B1,B3","14U_BOYS_D3","","","","","","","","","","","","","","","",""
"26-Jun","9:00 AM","ESPERANZA HS","14BD311","C1-VANGUARD B","13","C3-STANFORD C","4","C bracket C1,C3","14U_BOYS_D3","","","","","","","","","","","","","","","",""
"26-Jun","10:00 AM","ESPERANZA HS","14BD312","F1-LAMORINDA B","22","F3-AMERICAN RIVER B","3","F bracket F1,F3","14U_BOYS_D3","","","","","","","","","","","","","","","",""
"26-Jun","11:00 AM","ESPERANZA HS","14BD313","B2-SKIP","21","B3-NORTH IRVINE B","10","B bracket B2,B3","14U_BOYS_D3","","","","","","","","","","","","","","","",""
"26-Jun","12:00 PM","ESPERANZA HS","14BD314","C2-SJ FOUNDATION","14","C3-STANFORD C","6","C bracket C2,C3","14U_BOYS_D3","","","","","","","","","","","","","","","",""
"26-Jun","1:00 PM","ESPERANZA HS","14BD315","F2-SOUTH COAST WHITE","15","F3-AMERICAN RIVER B","2","F bracket F2,F3","14U_BOYS_D3","","","","","","","","","","","","","","","",""
"26-Jun","2:00 PM","ESPERANZA HS","14BD316","B1-680 B","11","B2-SKIP","13","B bracket B1,B2","14U_BOYS_D3","","","","","","","","","","","","","","","",""
