"14U BOYS D1 HOT! RESULTS BRACKETS A A1-PATRIOT A A2-VANGUARD A A3-CIU SEEDING A","24 TEAMS GOOGLE SCHEDULES LIVE STREAMS B B1-LA JOLLA UNITED A B2-NEWPORT BEACH A B3-LAMORINDA B","64 GAMES SUBMIT SCORES LOGIN C C1-SD DONS C2-OVAC C3-NORCAL A C","24+22+18 TICKETS D D1-LA PREMIER D2-MISSION A D3-SAN DIEGO SHORES D","7 minute quarters OFFICIAL MERCHANDISE E E1-908 E2-STANFORD A E3-SAN CLEMENTE E","CUSTOM SUITS F F1-COMMERCE F2-SOUTH COAST RED F3-DIABLO ALLIANCE A F","G G1-NORTH IRVINE A G2-SOCAL G3-DAVIS G","H H1-CDM H2-CCU A H3-PEGASUS H","","","","","","","","","","","","","","","","","",""
"27-Jun","10:00 AM","BECKMAN HS","14BD129","3rdB-LAMORINDA","15","1stG-NORTH IRVINE A","8","Cross2 10v15","14U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","11:00 AM","BECKMAN HS","14BD131","3rdC-OVAC","11","1stF-COMMERCE","6","Cross3 11v14","14U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","12:00 PM","BECKMAN HS","14BD133","2ndB-NEWPORT BEACH A","14","W#Cross1-CCU A","4","Playin3","14U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","1:00 PM","BECKMAN HS","14BD135","2ndC-SD DONS","9","W#Cross4-908","8","Playin2","14U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","2:00 PM","BECKMAN HS","14BD137","2ndA-PATRIOT A","13","W#Cross2-LAMORINDA","12","Playin4","14U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","3:00 PM","BECKMAN HS","14BD139","2ndD-LA PREMIER","12","W#Cross3-OVAC","10","Playin1","14U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","4:00 PM","BECKMAN HS","14BD141","1stD-MISSION A","9","W#Playin13-NEWPORT BEACH A","8","Qtr1","14U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","5:00 PM","BECKMAN HS","14BD143","1stA-CIU","12","W#Playin2-SD DONS","13","Qtr2","14U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","6:00 PM","BECKMAN HS","14BD145","1stC-NORCAL A","12","W#Playin4-PATRIOT A","6","Qtr3","14U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","7:00 PM","BECKMAN HS","14BD146","1stB-LA JOLLA UNITED A","15","W#Playin1-LA PREMIER","13","Qtr4","14U_BOYS_D1","","","","","","","","","","","","","","","",""
