"16U BOYS D2 HOT! RESULTS BRACKETS A A1-CT PREMIER A2-DAVIS A A3-SAN CLEMENTE SEEDING A","24 TEAMS GOOGLE SCHEDULES LIVE STREAMS B B1-NORTHWEST B2-NEWPORT BEACH B B3-CAL REPUBLIC B","60 GAMES SUBMIT SCORES LOGIN C C1-AETOS C2-STANFORD B C3-CLOVIS RED C","24+24+12 TICKETS D D1-PEGASUS D2-DIABLO ALLIANCE A D3-CVU D","7 minute quarters OFFICIAL MERCHANDISE E E1-CCU B E2-SOUTH COAST RED E3-CENTRAL COAST E","CUSTOM SUITS F F1-SHAQ F2-ROSE BOWL F3-TROJAN GOLD F","G G1-NORCAL G2-COMMERCE G3-FOOTHILL CLUB A G","H H1-OVAC A H2-SAN JOSE EXPRESS A H3-SAN MATEO H","","","","","","","","","","","","","","","","","",""
"","","M3(3rdC)-CLOVIS RED","","","","","","","","","","","","","","","","","","","","","","",""
"","","M4(3rdD)-CVU","","","","","","","","","","","","","","","","","","","","","","",""
"","","M5(3rdE)-CCU B","","","","","","","","","","","","","","","","","","","","","","",""
"","","M6(3rdF)-TROJAN GOLD","","","","","","","","","","","","","","","","","","","","","","",""
"","","M7(3rdG)-FOOTHILL CLUB A","","","","","","","","","","","","","","","","","","","","","","",""
"","","M8(3rdH)-SAN JOSE EXPRESS A","","","","","","","","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"27-Jun","8:00 AM","CHAPMAN UNIVERSITY","16BD225","J4(1stD)-DIABLO ALLIANCE A","11","J5(1stE)-CENTRAL COAST","9","4v5 QF","16U_BOYS_D2","","","","","","","","","","","","","","","",""
"27-Jun","9:00 AM","CHAPMAN UNIVERSITY","16BD227","J1(1stA)-SAN CLEMENTE","11","J8(1stH)-OVAC A","14","1v8 QF","16U_BOYS_D2","","","","","","","","","","","","","","","",""
"27-Jun","10:00 AM","CHAPMAN UNIVERSITY","16BD229","J2(1stB)-NORTHWEST","11","J7(1stG)-NORCAL","10","2v7 QF","16U_BOYS_D2","","","","","","","","","","","","","","","",""
"27-Jun","11:00 AM","CHAPMAN UNIVERSITY","16BD231","J3(1stC)-AETOS","11","J6(1stF)-ROSE BOWL","19","3v6 QF","16U_BOYS_D2","","","","","","","","","","","","","","","",""
"27-Jun","12:00 PM","CHAPMAN UNIVERSITY","16BD233","M1(3rdA)-DAVIS","17","M8(3rdH)-SAN JOSE EXPRESS A","6","17v24 QF","16U_BOYS_D2","","","","","","","","","","","","","","","",""
"27-Jun","1:00 PM","CHAPMAN UNIVERSITY","16BD235","M4(3rdD)-CVU","12","M5(3rdE)-CCU B","21","20v21 QF","16U_BOYS_D2","","","","","","","","","","","","","","","",""
"27-Jun","2:00 PM","CHAPMAN UNIVERSITY","16BD237","L#J4/J5-CENTRAL COAST","9.4","L#J1/J8-SAN CLEMENTE","9.5","5v8 semi","16U_BOYS_D2","","","","","","","","","","","","","","","",""
"27-Jun","3:00 PM","CHAPMAN UNIVERSITY","16BD239","W#J1/J8-OVAC A","9.3","W#J4/J5-DIABLO ALLIANCE A","9.1","1v4 semi","16U_BOYS_D2","","","","","","","","","","","","","","","",""
"27-Jun","4:00 PM","CHAPMAN UNIVERSITY","16BD241","L#J3/J6-AETOS","9","L#J2/J7-NORCAL","13","6v7 semi","16U_BOYS_D2","","","","","","","","","","","","","","","",""
"27-Jun","5:00 PM","CHAPMAN UNIVERSITY","16BD243","W#J2/J7-NORTHWEST","6","W#J3/J6-ROSE BOWL","4","2v3 semi","16U_BOYS_D2","","","","","","","","","","","","","","","",""
"27-Jun","6:00 PM","CHAPMAN UNIVERSITY","16BD245","L#M4/M5-CVU","9","L#M1/M8-SAN JOSE EXPRESS A","5","21v24 semi","16U_BOYS_D2","","","","","","","","","","","","","","","",""
"27-Jun","7:00 PM","CHAPMAN UNIVERSITY","16BD247","W#M1/M8-DAVIS","4","W#M4/M5-CCU B","19","17v20 semi","16U_BOYS_D2","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"27-Jun","8:00 AM","CAPISTRANO VALLEY HS","16BD226","K5(2ndE)-SOUTH COAST RED","5","K4(2ndD)-PEGASUS","6","12v13 QF","16U_BOYS_D2","","","","","","","","","","","","","","","",""
"27-Jun","9:00 AM","CAPISTRANO VALLEY HS","16BD228","K8(2ndH)-SAN MATEO","8","K1(2ndA)-CT PREMIER","14","9v16 QF","16U_BOYS_D2","","","","","","","","","","","","","","","",""
"27-Jun","10:00 AM","CAPISTRANO VALLEY HS","16BD230","K6(2ndF)-SHAQ","8.2","K3(2ndC)-STANFORD B","8.3","11v14 QF","16U_BOYS_D2","","","","","","","","","","","","","","","",""
"27-Jun","11:00 AM","CAPISTRANO VALLEY HS","16BD232","K7(2ndG)-COMMERCE","13","K2(2ndB)-NEWPORT BEACH B","12","10v15 QF","16U_BOYS_D2","","","","","","","","","","","","","","","",""
"27-Jun","12:00 PM","CAPISTRANO VALLEY HS","16BD234","M3(3rdC)-CLOVIS RED","5","M6(3rdF)-TROJAN GOLD","12","19v22 QF","16U_BOYS_D2","","","","","","","","","","","","","","","",""
"27-Jun","1:00 PM","CAPISTRANO VALLEY HS","16BD236","M2(3rdB)-CAL REPUBLIC","7.4","M7(3rdG)-FOOTHILL CLUB A","7.3","18v23 QF","16U_BOYS_D2","","","","","","","","","","","","","","","",""
"27-Jun","2:00 PM","CAPISTRANO VALLEY HS","16BD238","L#K5/K4-SOUTH COAST RED","16","L#K8/K1-SAN MATEO","2","13v16 semi","16U_BOYS_D2","","","","","","","","","","","","","","","",""
"27-Jun","3:00 PM","CAPISTRANO VALLEY HS","16BD240","W#K8/K1-CT PREMIER","9","W#K5/K4-PEGASUS","5","9v12 semi","16U_BOYS_D2","","","","","","","","","","","","","","","",""
"27-Jun","4:00 PM","CAPISTRANO VALLEY HS","16BD242","L#K6/K3-SHAQ","9","L#K7/K2-NEWPORT BEACH B","12","14v15 semi","16U_BOYS_D2","","","","","","","","","","","","","","","",""
"27-Jun","5:00 PM","CAPISTRANO VALLEY HS","16BD244","W#K7/K2-COMMERCE","11","W#K6/K3-STANFORD B","10","10v11 semi","16U_BOYS_D2","","","","","","","","","","","","","","","",""
"27-Jun","6:00 PM","CAPISTRANO VALLEY HS","16BD246","L#M3/M6-CLOVIS RED","10","L#M2/M7-FOOTHILL CLUB A","15","22v23 semi","16U_BOYS_D2","","","","","","","","","","","","","","","",""
"27-Jun","7:00 PM","CAPISTRANO VALLEY HS","16BD248","W#M2/M7-CAL REPUBLIC","11.3","W#M3/M6-TROJAN GOLD","11.1","18v19 semi","16U_BOYS_D2","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"28-Jun","10:00 AM","CORONA DEL MAR HS","16BD257","L#43-ROSE BOWL","7","L#39-DIABLO ALLIANCE A","10","3rd","16U_BOYS_D2","","","","","","","","","","","","","","","",""
"28-Jun","11:00 AM","CORONA DEL MAR HS","16BD259","W#39-OVAC A","6","W#43-NORTHWEST","7","1st","16U_BOYS_D2","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"28-Jun","8:00 AM","CAPISTRANO VALLEY HS","16BD249","L#44-STANFORD B","11","L#40-PEGASUS","10","11th","16U_BOYS_D2","","","","","","","","","","","","","","","",""
"28-Jun","9:00 AM","CAPISTRANO VALLEY HS","16BD251","W#40-CT PREMIER","14","W#44-COMMERCE","16","9th","16U_BOYS_D2","","","","","","","","","","","","","","","",""
"28-Jun","10:00 AM","CAPISTRANO VALLEY HS","16BD253","L#41-AETOS","12","L#37-CENTRAL COAST","11","7th","16U_BOYS_D2","","","","","","","","","","","","","","","",""
"28-Jun","11:00 AM","CAPISTRANO VALLEY HS","16BD255","W#37-SAN CLEMENTE","12","W#41-NORCAL","10","5th","16U_BOYS_D2","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"28-Jun","8:00 AM","SAN JUAN HILLS HS","16BD250","L#46-CLOVIS RED","7","L#45-SAN JOSE EXPRESS A","5","23rd","16U_BOYS_D2","","","","","","","","","","","","","","","",""
"28-Jun","9:00 AM","SAN JUAN HILLS HS","16BD252","W#45-CVU","6","W#46-FOOTHILL CLUB A","13","21st","16U_BOYS_D2","","","","","","","","","","","","","","","",""
"28-Jun","10:00 AM","SAN JUAN HILLS HS","16BD254","L#48-TROJAN GOLD","10","L#47-DAVIS","14","19th","16U_BOYS_D2","","","","","","","","","","","","","","","",""
"28-Jun","11:00 AM","SAN JUAN HILLS HS","16BD256","W#47-CCU B","8","W#48-CAL REPUBLIC","5","17th","16U_BOYS_D2","","","","","","","","","","","","","","","",""
"28-Jun","12:00 PM","SAN JUAN HILLS HS","16BD258","L#42-SHAQ","10","L#38-SAN MATEO","5","15th","16U_BOYS_D2","","","","","","","","","","","","","","","",""
"28-Jun","1:00 PM","SAN JUAN HILLS HS","16BD260","W#38-SOUTH COAST RED","8","W#42-NEWPORT BEACH B","7","13th","16U_BOYS_D2","","","","","","","","","","","","","","","",""
"","","","","","","NORTHWEST","","","","","","","","","","","","","","","","","","",""
"","","","","","","OVAC A","","","","","","","","","","","","","","","","","","",""
"","","","","","","DIABLO ALLIANCE A","","","","","","","","","","","","","","","","","","",""
"","","","","","","ROSE BOWL","","","","","","","","","","","","","","","","","","",""
"","","","","","","SAN CLEMENTE","","","","","","","","","","","","","","","","","","",""
"","","","","","","NORCAL","","","","","","","","","","","","","","","","","","",""
"","","","","","","AETOS","","","","","","","","","","","","","","","","","","",""
"","","","","","","CENTRAL COAST","","","","","","","","","","","","","","","","","","",""
"","","","","","","COMMERCE","","","","","","","","","","","","","","","","","","",""
"","","","","","","CT PREMIER","","","","","","","","","","","","","","","","","","",""
"","","","","","","STANFORD B","","","","","","","","","","","","","","","","","","",""
"","","","","","","PEGASUS","","","","","","","","","","","","","","","","","","",""
"","","","","","","SOUTH COAST RED","","","","","","","","","","","","","","","","","","",""
