"10U OPEN D1 HOT! RESULTS BRACKETS A","9 TEAMS GOOGLE SCHEDULES LIVE STREAMS B","25 GAMES SUBMIT SCORES LOGIN ","10+8+7 TICKETS SEEDING A","5 minute quarters OFFICIAL MERCHANDISE B","CUSTOM SUITS ","","","","","","","","","","","","","","","","","","","",""
"","","","1","2","","","","","","","","","","","","","","","","","","","","",""
"","","","4","3","","","","","","","","","","","","","","","","","","","","",""
"","","","5","6","","","","","","","","","","","","","","","","","","","","",""
"","","","8","7","","","","","","","","","","","","","","","","","","","","",""
"","","","9","","","","","","","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","recorded","","","","","","","","","","","","","","",""
"26-Jun","9:40 AM","EL TORO HS 1","10UD101","A1-SD DONS A","12","A4-NEWPORT BEACH BOYS B","5","A bracket A1,A4","10U_OPEN_D1","x","","","","","","","","","","","","","","",""
"26-Jun","10:30 AM","EL TORO HS 1","10UD102","A2-908","15","A3-COMMERCE BOYS","9","A bracket A2,A3","10U_OPEN_D1","x","","","","","","","","","","","","","","",""
"26-Jun","11:20 AM","EL TORO HS 1","10UD103","B1-PATRIOT NAVY A","13","B4-CDM BOYS A","3","B bracket B1,B4","10U_OPEN_D1","x","","","","","","","","","","","","","","",""
"26-Jun","12:10 PM","EL TORO HS 1","10UD104","B2-NEWPORT BEACH BOYS A","20","B3-LOS ALAMITOS","2","B bracket B2,B3","10U_OPEN_D1","x","","","","","","","","","","","","","","",""
"26-Jun","1:00 PM","EL TORO HS 1","10UD105","A1-SD DONS A","13","A5-FOOTHILL CLUB","2","A bracket A1,A5","10U_OPEN_D1","x","","","","","","","","","","","","","","",""
"26-Jun","1:50 PM","EL TORO HS 1","10UD106","A2-908","12","A4-NEWPORT BEACH BOYS B","8","A bracket A2,A4","10U_OPEN_D1","x","B Place","","","","","","B","SCORES--->","","","","","","",""
"26-Jun","2:40 PM","EL TORO HS 1","10UD107","B1-PATRIOT NAVY A","15","B3-LOS ALAMITOS","2","B bracket B1,B3","10U_OPEN_D1","x","2nd","9","","1","4","4","B1-PATRIOT NAVY A","(13,3)","(15,2)","(1,9)","","","","",""
"26-Jun","3:30 PM","EL TORO HS 1","10UD108","B2-NEWPORT BEACH BOYS A","23","B4-CDM BOYS A","5","B bracket B2,B4","10U_OPEN_D1","x","1st","12","","4","4","4","B2-NEWPORT BEACH BOYS A","(20,2)","(23,5)","(9,1)","","","","",""
"26-Jun","4:20 PM","EL TORO HS 1","10UD109","A1-SD DONS A","9","A3-COMMERCE BOYS","14","A bracket A1,A3","10U_OPEN_D1","x","4th","3","","1","1","1","B3-LOS ALAMITOS","(2,20)","(2,15)","(8,9)","","","","",""
"26-Jun","5:10 PM","EL TORO HS 1","10UD110","A2-908","14","A5-FOOTHILL CLUB","8","A bracket A2,A5","10U_OPEN_D1","x","3rd","6","","4","1","1","B4-CDM BOYS A","(3,13)","(5,23)","(9,8)","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","A Place","","","","","","A","SCORES--->","","","","","","",""
"27-Jun","9:40 AM","EL TORO HS 1","10UD111","A4-NEWPORT BEACH BOYS B","16","A5-FOOTHILL CLUB","1","A bracket A4,A5","10U_OPEN_D1","x","","13","4","1","4","4","A1-SD DONS A","(12,5)","(13,2)","(8,14)","(10,9)","","","",""
"27-Jun","9:40 AM","EL TORO HS 2","10UD112","A1-SD DONS A","10","A2-908","9","A bracket A1,A2","10U_OPEN_D1","x","","13","1","4","4","4","A2-908","(15,9)","(12,8)","(14,8)","(9,10)","","","",""
"","","","","","","","","","","","","13","4","4","4","1","A3-COMMERCE BOYS","(9,15)","(14,9)","(11,4)","(11,7)","","","",""
"27-Jun","10:30 AM","EL TORO HS 1","10UD114","B1-PATRIOT NAVY A","1","B2-NEWPORT BEACH BOYS A","9","B bracket B1,B2","10U_OPEN_D1","x","4th","7","1","4","1","1","A4-NEWPORT BEACH BOYS B","(5,12)","(8,12)","(16,1)","(4,11)","","","",""
"27-Jun","10:30 AM","EL TORO HS 2","10UD115","B3-LOS ALAMITOS","8","B4-CDM BOYS A","9","B bracket B3,B4","10U_OPEN_D1","x","5th","4","1","1","1","1","A5-FOOTHILL CLUB","(2,13)","(9,14)","(1,16)","(7,11)","","","",""
"27-Jun","12:10 PM","EL TORO HS 1","10UD113","A3-COMMERCE BOYS","11","A4-NEWPORT BEACH BOYS B","4","A bracket A3,A4","10U_OPEN_D1","x","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","4","","","A1-SD DONS A","","9,14","(10,9)","","-4","3rd","",""
"27-Jun","2:40 PM","EL TORO HS 1","10UD116","A3-COMMERCE BOYS","11","A5-FOOTHILL CLUB","7","A bracket A3,A5","10U_OPEN_D1","x","","","","1","","4","A2-908","(15,9)","","(9,10)","","+5","1st","",""
"","","","","","","","","","","","","","","","","1","A3-COMMERCE BOYS","(9,15)","14,9","","","-1","2nd","",""
"27-Jun","5:10 PM","EL TORO HS 1","10UD117","2ndB-PATRIOT NAVY A","2","3rdA-SD DONS A","14","3v5 cross","10U_OPEN_D1","","","","","","","","","","","","","","","",""
"27-Jun","5:10 PM","EL TORO HS 2","10UD118","2ndA-COMMERCE BOYS","20","3rdB-CDM BOYS A","8","4v6 cross","10U_OPEN_D1","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","","","","","","DIVISION","","","","","","","","","","","","","","","",""
"28-Jun","9:40 AM","EL TORO HS 1","10UD119","5thA-FOOTHILL CLUB","10","4thB-LOS ALAMITOS","12","7th-9th","10U_OPEN_D1","","","","","","","","","","","","","","","",""
"28-Jun","10:30 AM","EL TORO HS 1","10UD120","1stA-908","5","W#2B/3A-SD DONS A","14","1-4 semi 1v3","10U_OPEN_D1","","","","","","","","","","","","","","","",""
"28-Jun","11:20 AM","EL TORO HS 1","10UD121","1stB-NEWPORT BEACH BOYS A","11","W#2A/3B-COMMERCE BOYS","7","1-4 semi 2v4","10U_OPEN_D1","","","","","","","","","","","","","","","",""
"28-Jun","12:10 PM","EL TORO HS 1","10UD122","4thA-NEWPORT BEACH BOYS B","17","4thB-LOS ALAMITOS","4","7th-9th","10U_OPEN_D1","","","","","","","","","","","","","","","",""
"28-Jun","1:00 PM","EL TORO HS 1","10UD123","L#2B/3A-PATRIOT NAVY A","14","L#2A/3B-CDM BOYS A","8","5th","10U_OPEN_D1","","","","","","","","","","","","","","","",""
"28-Jun","1:50 PM","EL TORO HS 1","10UD124","L#20-908","9","L#21-COMMERCE BOYS","4","3rd","10U_OPEN_D1","","","","","","","","","","","","","","","",""
"28-Jun","2:40 PM","EL TORO HS 1","10UD125","W#20-SD DONS A","4","W#21-NEWPORT BEACH BOYS A","11","1st","10U_OPEN_D1","","","","","","","","","","","","","","","",""
"","","","","","","NEWPORT BEACH BOYS A","","","","","","","","","","","","","","","","","","",""
"","","","","","","SD DONS A","","","","","","","","","","","","","","","","","","",""
"","","","","","","908","","","","","","","","","","","","","","","","","","",""
"","","","","","","COMMERCE BOYS","","","","","","","","","","","","","","","","","","",""
"","","","","","","PATRIOT NAVY A","","","","","","","","","","","","","","","","","","",""
"","","","","","","CDM BOYS A","","","","","","","","","","","","","","","","","","",""
"","","","","","","NEWPORT BEACH BOYS B","","","","","","","","","","","","","","","","","","",""
"","","","","","","LOS ALAMITOS","","","","","","","","","","","","","","","","","","",""
"","","","","","","FOOTHILL CLUB","","","","","","","","","","","","","","","","","","",""
