"18U BOYS D1 HOT! RESULTS BRACKETS A A1-STANFORD A A2-CIU A3-SD DONS SEEDING A","24 TEAMS GOOGLE SCHEDULES LIVE STREAMS B B1-SAN DIEGO SHORES B2-ATHERTON B3-SHAQ B","64 GAMES SUBMIT SCORES LOGIN C C1-LAMORINDA C2-TROJAN CARDINAL A C3-AETOS C","24+22+18 TICKETS D D1-LA JOLLA UNITED A D2-CCU A D3-NEWPORT BEACH D","7 minute quarters OFFICIAL MERCHANDISE E E1-LA PREMIER E2-SAN JOSE EXPRESS E3-SAN FRANCISCO E","CUSTOM SUITS F F1-IMPERIAL F2-DIABLO ALLIANCE F3-SOUTH COAST F","G G1-CLOVIS G2-NORTH IRVINE G3-SAND CANYON G","H H1-NORCAL H2-GREENWICH H3-AMERICAN RIVER H","","","","","","","","","","","","","","","","","",""
"27-Jun","9:00 AM","NEWPORT HARBOR HS","18BD127","3rdD-LA JOLLA UNITED A","14","1stE-LA PREMIER","9","Cross4 12v13","18U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","10:00 AM","NEWPORT HARBOR HS","18BD129","3rdB-SHAQ","13","1stG-CLOVIS","12","Cross2 10v15","18U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","11:00 AM","NEWPORT HARBOR HS","18BD131","3rdC-TROJAN CARDINAL A","7","1stF-IMPERIAL","8","Cross3 11v14","18U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","12:00 PM","NEWPORT HARBOR HS","18BD133","2ndB-SAN DIEGO SHORES","19","W#Cross1-GREENWICH","10","Playin3","18U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","1:00 PM","NEWPORT HARBOR HS","18BD135","2ndC-AETOS","12","W#Cross4-LA JOLLA UNITED A","7","Playin2","18U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","2:00 PM","NEWPORT HARBOR HS","18BD137","2ndA-SD DONS","10","W#Cross2-SHAQ","6","Playin4","18U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","3:00 PM","NEWPORT HARBOR HS","18BD139","2ndD-NEWPORT BEACH","16","W#Cross3-IMPERIAL","7","Playin1","18U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","4:00 PM","NEWPORT HARBOR HS","18BD141","1stD-CCU A","14","W#Playin3-SAN DIEGO SHORES","9","Qtr1","18U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","5:00 PM","NEWPORT HARBOR HS","18BD143","1stA-STANFORD A","12","W#Playin2-AETOS","11","Qtr2","18U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","6:00 PM","NEWPORT HARBOR HS","18BD145","1stC-LAMORINDA","7","W#Playin4-SD DONS","10","Qtr3","18U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","7:00 PM","NEWPORT HARBOR HS","18BD146","1stB-ATHERTON","11","W#Playin1-NEWPORT BEACH","10","Qtr4","18U_BOYS_D1","","","","","","","","","","","","","","","",""
"","","","","J 13th-16th","","M 21st-24th","","P 5,6,7,8","","","","","","","","","","","","","","","","",""
"","","","","J1(L#Cross1)-CIU","","M1(3rdE)-SAN JOSE EXPRESS","","P1(L#Qtr4)-NEWPORT BEACH","","","","","","","","","","","","","","","","",""
"","","","","J2(L#Cross2)-CLOVIS","","M2(3rdF)-SOUTH COAST","","P2(L#Qtr2)-AETOS","","","","","","","","","","","","","","","","",""
