"12U BOYS D1 HOT! RESULTS BRACKETS A A1-MISSION A A2-SAN JOSE EXPRESS A3-908 SEEDING A","24 TEAMS GOOGLE SCHEDULES LIVE STREAMS B B1-VANGUARD B2-CCU A B3-RANCHO TSUNAMI B","64 GAMES SUBMIT SCORES LOGIN C C1-SD DONS A C2-NORTH IRVINE C3-PATRIOT A C","24+22+18 TICKETS D D1-STANFORD A D2-SOCAL D3-NEWPORT BEACH A D","6 minute quarters OFFICIAL MERCHANDISE E E1-SAN DIEGO SHORES E2-LA JOLLA UNITED E3-DAVIS E","CUSTOM SUITS F F1-SAN CLEMENTE A F2-SD DONS B F3-SANTA BARBARA F","G G1-LAMORINDA A G2-CDM G3-LA PREMIER G","H H1-680 A H2-TEMPLE CITY H3-ROSE BOWL H","","","","","","","","","","","","","","","","","",""
"27-Jun","8:55 AM","WOOLLETT FAR RIGHT","12BD127","3rdD-SOCAL","10","1stE-SAN DIEGO SHORES","7","Cross4 12v13","12U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","9:50 AM","WOOLLETT FAR RIGHT","12BD129","3rdB-CCU A","11","1stG-CDM","4","Cross2 10v15","12U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","10:45 AM","WOOLLETT FAR RIGHT","12BD131","3rdC-PATRIOT A","1","1stF-SAN CLEMENTE A","8","Cross3 11v14","12U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","11:40 AM","WOOLLETT FAR RIGHT","12BD133","2ndB-RANCHO TSUNAMI","8","W#Cross1-ROSE BOWL","4","Playin3","12U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","12:35 PM","WOOLLETT FAR RIGHT","12BD135","2ndC-NORTH IRVINE","10","W#Cross4-SOCAL","3","Playin2","12U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","1:30 PM","WOOLLETT FAR RIGHT","12BD137","2ndA-SAN JOSE EXPRESS","14","W#Cross2-CCU A","13","Playin4","12U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","2:25 PM","WOOLLETT FAR RIGHT","12BD139","2ndD-NEWPORT BEACH A","7.5","W#Cross3-SAN CLEMENTE A","7.6","Playin1","12U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","3:20 PM","WOOLLETT FAR RIGHT","12BD141","1stD-STANFORD A","9","W#Playin3-RANCHO TSUNAMI","2","Qtr1","12U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","4:15 PM","WOOLLETT FAR RIGHT","12BD143","1stA-MISSION A","6.8","W#Playin2-NORTH IRVINE","6.7","Qtr2","12U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","5:10 PM","WOOLLETT FAR RIGHT","12BD145","1stC-SD DONS A","15","W#Playin4-SAN JOSE EXPRESS","5","Qtr3","12U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","6:05 PM","WOOLLETT FAR RIGHT","12BD146","1stB-VANGUARD","16","W#Playin1-SAN CLEMENTE A","4","Qtr4","12U_BOYS_D1","","","","","","","","","","","","","","","",""
"","","","","J 13th-16th","","M 21st-24th","","P 5,6,7,8","","","","","","","","","","","","","","","","",""
"","","","","J1(L#Cross1)-908","","M1(3rdE)-DAVIS","","P1(L#Qtr4)-SAN CLEMENTE A","","","","","","","","","","","","","","","","",""
"","","","","J2(L#Cross2)-CDM","","M2(3rdF)-SANTA BARBARA","","P2(L#Qtr2)-NORTH IRVINE","","","","","","","","","","","","","","","","",""
"","","","","J3(L#Cross3)-PATRIOT A","","M3(3rdG)-LA PREMIER","","P3(L#Qtr1)-RANCHO TSUNAMI","","","","","","","","","","","","","","","","",""
"","","","","J4(L#Cross4)-SAN DIEGO SHORES","","M4(3rdH)-TEMPLE CITY","","P4(L#Qtr3)-SAN JOSE EXPRESS","","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"27-Jun","8:00 AM","ALISO NIGUEL HS","12BD126","K1(2ndE)-LA JOLLA UNITED","10","K4(2ndH)-680 A","12","17-20 RR K1,K4","12U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","8:55 AM","ALISO NIGUEL HS","12BD128","K2(2ndF)-SD DONS B","12","K3(2ndG)-LAMORINDA A","6","17-20 RR K2,K3","12U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","9:50 AM","ALISO NIGUEL HS","12BD130","M1(3rdE)-DAVIS","5","M4(3rdH)-TEMPLE CITY","7","21-24 RR M1,M4","12U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","10:45 AM","ALISO NIGUEL HS","12BD132","M2(3rdF)-SANTA BARBARA","8","M3(3rdG)-LA PREMIER","10","21-24 RR M2,M3","12U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","11:40 AM","ALISO NIGUEL HS","12BD134","K1(2ndE)-LA JOLLA UNITED","12","K3(2ndG)-LAMORINDA A","9","17-20 RR K1,K3","12U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","12:35 PM","ALISO NIGUEL HS","12BD136","K2(2ndF)-SD DONS B","2.5","K4(2ndH)-680 A","2.4","17-20 RR K2,K4","12U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","1:30 PM","ALISO NIGUEL HS","12BD138","M1(3rdE)-DAVIS","15.3","M3(3rdG)-LA PREMIER","15.1","21-24 RR M1,M3","12U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","2:25 PM","ALISO NIGUEL HS","12BD140","M2(3rdF)-SANTA BARBARA","9","M4(3rdH)-TEMPLE CITY","10","21-24 RR M2,M4","12U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","3:20 PM","ALISO NIGUEL HS","12BD142","J1(L#Cross1)-908","13","J4(L#Cross4)-SAN DIEGO SHORES","14","13-16 semi 16v13","12U_BOYS_D1","","","","","","","","","","","","","","","",""
"27-Jun","4:15 PM","ALISO NIGUEL HS","12BD144","J2(L#Cross2)-CDM","13","J3(L#Cross3)-PATRIOT A","11","13-16 semi 15v14","12U_BOYS_D1","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"28-Jun","8:00 AM","WOOLLETT FAR RIGHT","12BD147","W#Qtr2-MISSION A","10","W#Qtr1-STANFORD A","11","Semi1 1v4","12U_BOYS_D1","","","","","","","","","","","","","","","",""
"28-Jun","8:55 AM","WOOLLETT FAR RIGHT","12BD150","W#Qtr4-VANGUARD","12.4","W#Qtr3-SD DONS A","12.5","Semi2 2v3","12U_BOYS_D1","","","","","","","","","","","","","","","",""
