slug,displayName,region,website,logo,rankedTeams,bestRank,avgCPI,topTeam,topTeamGroup
arroyo-grande,Arroyo Grande,Central Coast,,assets/logos/canonical/arroyo-grande.webp,2,14,1876.4,Arroyo Grande,12U Girls
palos-verdes,Palos Verdes,Los Angeles,,assets/logos/canonical/palos-verdes.webp,5,14,1639.8,Palos Verdes,18U Girls
supreme,Supreme,Los Angeles,,assets/logos/canonical/supreme.webp,3,14,1662.6,Supreme,18U Boys
club-daygo,Club Daygo,San Diego,,assets/logos/canonical/club-daygo.webp,1,15,1735.9,Club Daygo,16U Girls
sand-canyon,Sand Canyon,Orange County,,assets/logos/canonical/sand-canyon.webp,7,15,1603.6,Sand Canyon Black,18U Boys
carlsbad,Carlsbad,San Diego,,assets/logos/canonical/carlsbad.webp,2,16,1751.7,Carlsbad,16U Boys
ocwpc,Orange County Water Polo Club,Orange County,https://ocwpc.com/,assets/logos/canonical/ocwpc.webp,5,16,1650.1,OCWPC Blue,12U Girls
laguna-beach,Laguna Beach,Orange County,,assets/logos/canonical/laguna-beach.webp,3,17,1689.1,Laguna Beach,14U Girls
los-alamitos,Los Alamitos,Orange County,,assets/logos/canonical/los-alamitos.webp,6,17,1594.5,Los Alamitos,12U Boys
shaq,SHAQ,Peninsula / San Francisco,,assets/logos/canonical/shaq.webp,7,17,1598.3,SHAQ,12U Girls
tsm,TSM,Los Angeles,,assets/logos/canonical/tsm.webp,1,18,1733.3,TSM,18U Boys
davis,Davis Water Polo Club,Sacramento,https://www.daviswaterpolo.org/,assets/logos/canonical/davis.webp,5,19,1746.0,Davis,12U Girls
seaside,Seaside,Central Coast,,assets/logos/canonical/seaside.webp,2,19,1715.8,Seaside,18U Girls
mid-valley,Mid Valley,Los Angeles,,assets/logos/canonical/mid-valley.webp,3,22,1571.8,Mid Valley,18U Girls
foothill-club,Foothill Club Water Polo,Orange County,https://foothillclubwaterpolo.org/,assets/logos/canonical/foothill-club.webp,5,23,1666.2,Foothill Red,14U Girls
nsd-stars,Nsd Stars,San Diego,,assets/logos/canonical/nsd-stars.webp,2,23,1525.1,NSD Stars,12U Boys
thunder,Thunder,Out of State,,assets/logos/canonical/thunder.webp,3,23,1650.9,Thunder,16U Boys
clovis,Clovis,Central Valley,,assets/logos/canonical/clovis.webp,3,24,1481.0,Clovis,18U Girls
set,SET Water Polo Club,Orange County,https://www.setwaterpolo.com/,assets/logos/canonical/set.webp,4,24,1609.5,SET,18U Boys
hieland,Hieland,Orange County,,assets/logos/canonical/hieland.webp,3,25,1574.8,Hieland,18U Boys
long-beach-shore,Long Beach Shore,Los Angeles,,assets/logos/canonical/long-beach-shore.webp,3,25,1606.9,Long Beach Shore,14U Girls
pride,Pride Water Polo,Inland Empire,https://www.pridewaterpolo.com/page/home,assets/logos/canonical/pride.webp,3,26,1615.8,Pride A,14U Boys
arroyogrande,Arroyo Grande,Central Coast,,assets/logos/canonical/arroyogrande.webp,1,27,1558.1,Arroyo Grande,16U Girls
bulldog,Bulldog,Central Valley,,assets/logos/canonical/bulldog.webp,2,27,1517.4,Bulldog,18U Girls
pv-wpc,PV WPC,Los Angeles,,assets/logos/canonical/pv-wpc.webp,4,27,1658.6,PV Black,14U Girls
