group,rank,team,slug,club,latest_record,old_rank,new_rank,movement,quiksilver_weight,movement_cap_note,flags,review_question,manual_decision,notes
16U Boys,66,Big Valley,big-valley-16u-boys,Big Valley,1-2,,,-1,,,manual_review_d2_tier_guardrail|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,67,CHAWP,chawp-16u-boys,CHAWP,0-3,,,-1,,,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,68,San Jose Express B,san-jose-express-b-16u-boys,San Jose Express,1-3,,,-1,,,manual_review_depth_guardrail|manual_review_d2_tier_guardrail|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,69,Devils Gate,devils-gate-16u-boys,Devil's Gate,1-2,,,-1,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,70,Tsunami,tsunami-16u-boys,Rancho Tsunami,0-3,,,-1,,,manual_review_d2_tier_guardrail|manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,71,Clovis,clovis-16u-boys,Clovis,0-5,,,-1,,,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,72,San Jose Express,san-jose-express-16u-boys,San Jose Express,0-4,,,-1,,,manual_review_d2_tier_guardrail|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,73,Wcac United,wcac-united-16u-boys,Wcac United,0-4,,,-1,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,74,Elite,elite-16u-boys,Elite,0-3,,,-1,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,75,Titans,titans-16u-boys,Titans,0-1,,,-1,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,76,Vanguard White,vanguard-white-16u-boys,Vanguard,0-3,,,-1,,,manual_review_depth_guardrail|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,77,South Coast C,south-coast-c-16u-boys,South Coast,0-2,,,-1,,,manual_review_depth_guardrail|manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,78,LA Jolla United Silver,la-jolla-united-silver-16u-boys,LA Jolla United,0-2,,,-1,,,manual_review_depth_guardrail|manual_review_d2_tier_guardrail|manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,79,Trojan C,trojan-c-16u-boys,Trojan,0-2,,,-1,,,manual_review_depth_guardrail|manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,80,Long Beach Shore,long-beach-shore-16u-boys,Long Beach Shore,16 of 18,,,0,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_new_team_candidate|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,81,NSD Stars,nsd-stars-16u-boys,NSD Stars,18 of 18,,,0,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_new_team_candidate|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Boys,82,San Diego Shores Gold,san-diego-shores-gold-16u-boys,San Diego Shores,14 of 18,,,0,,,quiksilver_cup_2026_new_team_candidate|depth_team_review|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Girls,14,Tsunami,tsunami-16u-girls,Rancho Tsunami,3 of 6,,,0,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Girls,17,Commerce,commerce-16u-girls,Commerce,6 of 6,,,0,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Girls,18,LB Viking,lb-viking-16u-girls,Viking,1 of 6,,,0,,,manual_review_14u_girls_same_team_alias_merge|quiksilver_cup_2026_new_team_candidate|quiksilver_cup_2026_champion|a_team_identity_review|small_field_weight_cap|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Girls,19,CHAWP B,chawp-b-16u-girls,CHAWP,1-1,,,-1,,,manual_review_depth_guardrail|manual_review_top25_depth_team|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Girls,20,OVAC,ovac-16u-girls,OVAC,2 of 6,,,0,,,quiksilver_cup_2026_new_team_candidate|quiksilver_cup_2026_runner_up|small_field_weight_cap|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Girls,21,Palos Verdes,palos-verdes-16u-girls,Palos Verdes,3-2,,,-2,,,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Girls,22,SoCal,socal-16u-girls,SoCal,2-2,,,-2,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Girls,23,Legacy,legacy-16u-girls,Legacy,4 of 6,,,0,,,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Girls,24,Temple City,temple-city-16u-girls,Temple City,3-1,,,-3,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Girls,25,SBWPC B,sbwpc-b-16u-girls,SBWPC,1-3,,,-3,,,manual_review_depth_guardrail|manual_review_top25_depth_team|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Girls,26,CIU,ciu-16u-girls,CIU,1-2,,,-2,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Girls,27,Arroyo Grande,arroyo-grande-16u-girls,Arroyo Grande,2-3,,,-2,,,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Girls,28,Mid Valley,mid-valley-16u-girls,Mid Valley,5 of 6,,,0,,,quiksilver_cup_2026_new_team_candidate|small_field_weight_cap|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Girls,29,Asphalt Green,asphalt-green-16u-girls,Asphalt Green,2-3,,,-3,,,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Girls,30,Rose Bowl,rose-bowl-16u-girls,Rose Bowl,0-2,,,-3,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Girls,31,Viking White,viking-white-16u-girls,Viking,3-2,,,-3,,,manual_review_depth_guardrail|manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Girls,32,Bulldog,bulldog-16u-girls,Bulldog,0-2,,,-3,,,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Girls,33,Clovis,clovis-16u-girls,Clovis,1-4,,,-3,,,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Girls,34,CDM,cdm-16u-girls,CDM,2-2,,,-3,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Girls,35,South Coast B,south-coast-b-16u-girls,South Coast,1-3,,,-3,,,manual_review_depth_guardrail|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap,Confirm alias/team identity and whether lightweight movement should stand.,,
16U Girls,36,Lamorinda B,lamorinda-b-16u-girls,Lamorinda,0-2,,,-3,,,manual_review_depth_guardrail|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap,Confirm alias/team identity and whether lightweight movement should stand.,,
18U Boys,2,CC United,cc-united-18u-boys,CC United,Final placement pending source score,,,0,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_final_score_pending|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail,Confirm alias/team identity and whether lightweight movement should stand.,,
18U Boys,3,Mission,mission-18u-boys,Mission,Final placement pending source score,,,0,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_final_score_pending|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail,Confirm alias/team identity and whether lightweight movement should stand.,,
18U Boys,4,Imperial,imperial-18u-boys,Imperial,7 of 16,,,0,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail,Confirm alias/team identity and whether lightweight movement should stand.,,
18U Boys,5,North Irvine,north-irvine-18u-boys,North Irvine,Final placement pending source score,,,0,,,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_final_score_pending|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail,Confirm alias/team identity and whether lightweight movement should stand.,,
18U Boys,12,South Coast,south-coast-18u-boys,South Coast,3-2,,,1,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail,Confirm alias/team identity and whether lightweight movement should stand.,,
18U Boys,13,Tsunami,tsunami-18u-boys,Rancho Tsunami,4-0,,,1,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail,Confirm alias/team identity and whether lightweight movement should stand.,,
18U Boys,14,Supreme,supreme-18u-boys,Supreme,16 of 16,,,-2,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail,Confirm alias/team identity and whether lightweight movement should stand.,,
18U Boys,15,Sand Canyon Black,sand-canyon-black-18u-boys,Sand Canyon,12 of 16,,,0,,,manual_review_depth_guardrail|manual_review_low_game_count|manual_review_top25_depth_team|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail,Confirm alias/team identity and whether lightweight movement should stand.,,
18U Boys,20,Commerce,commerce-18u-boys,Commerce,14 of 16,,,0,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail,Confirm alias/team identity and whether lightweight movement should stand.,,
18U Boys,21,San Diego Shores,san-diego-shores-18u-boys,San Diego Shores,6 of 16,,,3,,,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail,Confirm alias/team identity and whether lightweight movement should stand.,,
18U Boys,22,Sand Canyon Red,sand-canyon-red-18u-boys,Sand Canyon,3-2,,,-1,,,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail,Confirm alias/team identity and whether lightweight movement should stand.,,
18U Boys,23,Greenwich,greenwich-18u-boys,Greenwich,5 of 16,,,0,,,manual_priority_out_of_region_elite_result|quiksilver_cup_2026_new_team_candidate|medium_large_field_weight_cap|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail,Confirm alias/team identity and whether lightweight movement should stand.,,
18U Boys,24,SET,set-18u-boys,SET,3-1,,,-2,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail,Confirm alias/team identity and whether lightweight movement should stand.,,
18U Boys,25,Hieland,hieland-18u-boys,Hieland,2-2,,,-2,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail,Confirm alias/team identity and whether lightweight movement should stand.,,
18U Boys,26,CHAWP B,chawp-b-18u-boys,CHAWP,2-2,,,-1,,,manual_review_depth_guardrail|manual_review_low_game_count|manual_review_top25_depth_team|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail,Confirm alias/team identity and whether lightweight movement should stand.,,
18U Boys,27,San Francisco,san-francisco-18u-boys,San Francisco,2-3,,,-1,,,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail,Confirm alias/team identity and whether lightweight movement should stand.,,
18U Boys,28,CIU,ciu-18u-boys,CIU,8 of 16,,,0,,,quiksilver_cup_2026_new_team_candidate|medium_large_field_weight_cap|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail,Confirm alias/team identity and whether lightweight movement should stand.,,
18U Boys,29,PAC Orange,pac-orange-18u-boys,PAC Orange,1-1,,,-2,,,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail,Confirm alias/team identity and whether lightweight movement should stand.,,
18U Boys,30,Sand Canyon,sand-canyon-18u-boys,Sand Canyon,2-3,,,-2,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail,Confirm alias/team identity and whether lightweight movement should stand.,,
18U Boys,31,Trojan B,trojan-b-18u-boys,Trojan,4-0,,,-2,,,manual_review_depth_guardrail|manual_review_d2_tier_guardrail|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail,Confirm alias/team identity and whether lightweight movement should stand.,,
18U Boys,32,Long Beach Shore,long-beach-shore-18u-boys,Long Beach Shore,9 of 16,,,0,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_new_team_candidate|medium_large_field_weight_cap|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail,Confirm alias/team identity and whether lightweight movement should stand.,,
18U Boys,33,Diablo Alliance A,diablo-alliance-a-18u-boys,Diablo Alliance,10 of 16,,,-3,,,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail,Confirm alias/team identity and whether lightweight movement should stand.,,
18U Boys,34,Route 66,route-66-18u-boys,Route 66,2-2,,,-3,,,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail,Confirm alias/team identity and whether lightweight movement should stand.,,
18U Boys,35,Olympus,olympus-18u-boys,Olympus,11 of 16,,,0,,,quiksilver_cup_2026_new_club_candidate|quiksilver_cup_2026_provisional_entry|medium_large_field_weight_cap|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail,Confirm alias/team identity and whether lightweight movement should stand.,,
18U Boys,36,American River,american-river-18u-boys,American River,1-4,,,-4,,,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail,Confirm alias/team identity and whether lightweight movement should stand.,,
18U Boys,37,La Jolla United B,la-jolla-united-b-18u-boys,La Jolla United,Final placement pending source score,,,-4,,,manual_review_depth_guardrail|manual_review_d2_tier_guardrail|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_final_score_pending|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail,Confirm alias/team identity and whether lightweight movement should stand.,,
18U Boys,38,Foothill,foothill-18u-boys,Foothill,13 of 16,,,0,,,quiksilver_cup_2026_new_team_candidate|medium_large_field_weight_cap|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail,Confirm alias/team identity and whether lightweight movement should stand.,,
18U Boys,39,Alameda WPC,alameda-wpc-18u-boys,Alameda,15 of 16,,,0,,,quiksilver_cup_2026_new_team_candidate|club_identity_review|medium_large_field_weight_cap|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail,Confirm alias/team identity and whether lightweight movement should stand.,,
18U Boys,40,San Jose Express,san-jose-express-18u-boys,San Jose Express,1-4,,,-6,,,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail,Confirm alias/team identity and whether lightweight movement should stand.,,
18U Boys,41,Vanguard Silver,vanguard-silver-18u-boys,Vanguard,2-3,,,-6,,,manual_review_depth_guardrail|manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail,Confirm alias/team identity and whether lightweight movement should stand.,,
18U Boys,42,SFV,sfv-18u-boys,SFV,0-2,,,-6,,,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail,Confirm alias/team identity and whether lightweight movement should stand.,,
18U Boys,43,CHAWP,chawp-18u-boys,CHAWP,1-4,,,-6,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail,Confirm alias/team identity and whether lightweight movement should stand.,,
18U Boys,44,Rose Bowl,rose-bowl-18u-boys,Rose Bowl,1-3,,,-6,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail,Confirm alias/team identity and whether lightweight movement should stand.,,
18U Boys,45,Yeti,yeti-18u-boys,Yeti,0-5,,,-6,,,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail,Confirm alias/team identity and whether lightweight movement should stand.,,
18U Girls,7,Mission,mission-18u-girls,Mission,4 of 12,,,2,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
18U Girls,8,Rose Bowl,rose-bowl-18u-girls,Rose Bowl,1-2,,,-1,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
18U Girls,9,LB Viking Blue,lb-viking-blue-18u-girls,Viking,1 of 12,,,6,,,manual_review_depth_guardrail|manual_review_low_game_count|manual_review_top25_depth_team|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
18U Girls,10,Foothill,foothill-18u-girls,Foothill,9 of 12,,,-2,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
18U Girls,11,Legacy,legacy-18u-girls,Legacy,7 of 12,,,-1,,,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
18U Girls,12,Stanford A,stanford-a-18u-girls,Stanford,2-2,,,-1,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
18U Girls,13,Santa Cruz,santa-cruz-18u-girls,Santa Cruz,3-2,,,-1,,,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
18U Girls,14,Palos Verdes,palos-verdes-18u-girls,Palos Verdes,3-2,,,-1,,,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
18U Girls,15,680,680-18u-girls,680,2 of 12,,,0,,,quiksilver_cup_2026_new_team_candidate|quiksilver_cup_2026_runner_up|medium_field_weight_cap|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
18U Girls,16,San Diego Shores,san-diego-shores-18u-girls,San Diego Shores,3 of 12,,,0,,,quiksilver_cup_2026_new_team_candidate|medium_field_weight_cap|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
18U Girls,17,SBWPC B,sbwpc-b-18u-girls,SBWPC,3-1,,,-3,,,manual_review_depth_guardrail|manual_review_top25_depth_team|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
18U Girls,18,Tsunami,tsunami-18u-girls,Rancho Tsunami,6 of 12,,,0,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
18U Girls,19,Seaside,seaside-18u-girls,Seaside,8 of 12,,,0,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
18U Girls,20,CHAWP B,chawp-b-18u-girls,CHAWP,2-2,,,-4,,,manual_review_depth_guardrail|manual_review_top25_depth_team|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
18U Girls,21,Davis,davis-18u-girls,Davis,1-1,,,-4,,,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
18U Girls,22,Mid Valley,mid-valley-18u-girls,Mid Valley,5 of 12,,,0,,,quiksilver_cup_2026_new_team_candidate|medium_field_weight_cap|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
18U Girls,23,SoCal Gold,socal-gold-18u-girls,SoCal,1-1,,,-3,,,manual_review_depth_guardrail|manual_review_low_game_count|manual_review_top25_depth_team|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
18U Girls,24,Clovis,clovis-18u-girls,Clovis,1-3,,,-3,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
18U Girls,25,OVAC,ovac-18u-girls,OVAC,2-3,,,-3,,,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
18U Girls,26,San Clemente,san-clemente-18u-girls,San Clemente,2-3,,,-3,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
18U Girls,27,Bulldog,bulldog-18u-girls,Bulldog,10 of 12,,,-3,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
18U Girls,28,South Coast,south-coast-18u-girls,South Coast,2-2,,,-3,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
18U Girls,29,Patriot,patriot-18u-girls,Patriot,11 of 12,,,-3,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
18U Girls,30,LB Viking White,lb-viking-white-18u-girls,Viking,5-0,,,-3,,,manual_review_depth_guardrail|manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
18U Girls,31,CHAWP,chawp-18u-girls,CHAWP,0-2,,,-3,,,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
18U Girls,32,SBWPC C,sbwpc-c-18u-girls,SBWPC,0-2,,,-3,,,manual_review_depth_guardrail|manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
18U Girls,33,Asphalt Green,asphalt-green-18u-girls,Asphalt Green,1-4,,,-3,,,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
18U Girls,34,Commerce,commerce-18u-girls,Commerce,0-2,,,-3,,,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
18U Girls,35,North Irvine,north-irvine-18u-girls,North Irvine,12 of 12,,,-3,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
18U Girls,36,Thunder,thunder-18u-girls,Thunder,0-5,,,-3,,,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
18U Girls,37,Sand Canyon,sand-canyon-18u-girls,Sand Canyon,0-4,,,-3,,,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment,Confirm alias/team identity and whether lightweight movement should stand.,,
