group,club_slug,club,teams_ranked_order,issue_types,manual_decision,notes
14U Boys,pride,Pride,#26 Pride A depth=1 cpi=1849.8 | #85 Pride B depth=2 cpi=1500.2,color_or_depth_names_present,,
14U Boys,pv-wpc,PV WPC,#57 PV WPC A depth=1 cpi=1625.4 | #83 PV WPC B depth=2 cpi=1504.9,color_or_depth_names_present,,
14U Boys,sd-dons,SD Dons,#7 SD Dons A depth=1 cpi=2000.9 | #65 SD Dons B depth=2 cpi=1571.6,color_or_depth_names_present,,
14U Boys,shaq,SHAQ,#75 SHAQ A depth=1 cpi=1529.1 | #84 SHAQ B depth=2 cpi=1500.7,color_or_depth_names_present,,
14U Boys,sj-foundation,SJ Foundation,#56 SJ Foundation A depth=1 cpi=1626.0 | #105 SJ Foundation B depth=2 cpi=1452.9,color_or_depth_names_present,,
14U Boys,south-coast,South Coast,#16 South Coast A depth=1 cpi=1920.2 | #53 South Coast B depth=2 cpi=1656.6 | #91 South Coast C depth=3 cpi=1482.3,color_or_depth_names_present,,
14U Boys,stanford,Stanford,#13 Stanford A depth=1 cpi=1948.9 | #44 Stanford B depth=2 cpi=1710.0 | #64 Stanford C depth=3 cpi=1572.6,color_or_depth_names_present,,
14U Boys,vanguard,Vanguard,#14 Vanguard A depth=1 cpi=1936.4 | #43 Vanguard B depth=2 cpi=1711.4 | #66 Vanguard C depth=3 cpi=1551.6,color_or_depth_names_present,,
14U Girls,clovis-red,Clovis,#40 Clovis A depth=1 cpi=1830.7 | #73 Clovis B depth=2 cpi=1419.0,color_or_depth_names_present,,
14U Girls,foothill-club,Foothill Club,#23 Foothill Red depth=1 cpi=1961.3 | #72 Foothill Black depth=2 cpi=1426.5,color_or_depth_names_present,,
14U Girls,lamorinda,Lamorinda,#4 Lamorinda A depth=1 cpi=2118.8 | #35 Lamorinda B depth=2 cpi=1868.8 | #63 Lamorinda C depth=3 cpi=1560.4,color_or_depth_names_present,,
14U Girls,los-alamitos,Los Alamitos,#69 Los Alamitos Garnet depth=2 cpi=1485.9 | #71 Los Alamitos depth=1 cpi=1463.6,lower_depth_above_primary,,
14U Girls,newport-beach,Newport Beach,#11 Newport Blue depth=1 cpi=2057.2 | #57 Newport White depth=2 cpi=1627.6,color_or_depth_names_present,,
14U Girls,patriot,Patriot,#1 Patriot Navy depth=1 cpi=2151.7 | #64 Patriot Red depth=2 cpi=1545.5,color_or_depth_names_present,,
14U Girls,san-clemente,San Clemente,#8 San Clemente Red depth=1 cpi=2082.5 | #24 San Clemente Black depth=2 cpi=1953.5,color_or_depth_names_present,,
14U Girls,santa-barbara,Santa Barbara,#7 SBWPC A depth=1 cpi=2091.2 | #58 SBWPC B depth=2 cpi=1612.6,color_or_depth_names_present,,
14U Girls,sd-shores,San Diego Shores,#5 San Diego Shores Black depth=1 cpi=2109.3 | #21 San Diego Shores Gold depth=2 cpi=1976.9 | #61 San Diego Shores White depth=2 cpi=1582.8,color_or_depth_names_present|duplicate_depth_values,,
14U Girls,south-coast,South Coast,#20 South Coast Red depth=1 cpi=1984.8 | #75 South Coast White depth=2 cpi=1396.8,color_or_depth_names_present,,
14U Girls,stanford,Stanford,#2 Stanford A depth=1 cpi=2139.5 | #34 Stanford B depth=2 cpi=1876.4,color_or_depth_names_present,,
16U Boys,cc-united,CC United,#32 CC United depth=1 cpi=1699.1 | #43 CC United Blue depth=2 cpi=1648.5,color_or_depth_names_present,,
16U Boys,chawp,CHAWP,#44 CHAWP B depth=2 cpi=1648.3 | #67 CHAWP depth=1 cpi=1500.9,color_or_depth_names_present|lower_depth_above_primary,,
16U Boys,ciu,CIU,#15 CIU Gold depth=2 cpi=1817.5 | #63 CIU Blue depth=2 cpi=1518.9,color_or_depth_names_present|duplicate_depth_values,,
16U Boys,la-jolla-united,La Jolla United,#20 La Jolla United depth=1 cpi=1785.0 | #46 La Jolla United Gold depth=2 cpi=1637.4 | #55 LA Jolla United White depth=3 cpi=1572.0 | #78 LA Jolla United Silver depth=3 cpi=1360.0,color_or_depth_names_present|duplicate_depth_values,,
16U Boys,palos-verdes,Palos Verdes,#29 Palos Verdes depth=1 cpi=1716.2 | #54 Palos Verdes B depth=2 cpi=1580.4,color_or_depth_names_present,,
16U Boys,patriot,Patriot,#1 Patriot depth=1 cpi=2150.0 | #61 Patriot Red depth=1 cpi=1546.7,color_or_depth_names_present|duplicate_depth_values,,
16U Boys,rose-bowl,Rose Bowl,#17 Rose Bowl depth=1 cpi=1809.2 | #57 Rose Bowl B depth=2 cpi=1559.2,color_or_depth_names_present,,
16U Boys,san-diego-shores,San Diego Shores,#4 San Diego Shores depth=1 cpi=1985.2 | #82 San Diego Shores Gold depth=1 cpi=1360.0,color_or_depth_names_present|duplicate_depth_values,,
16U Boys,sand-canyon,Sand Canyon,#31 Sand Canyon A depth=1 cpi=1709.5 | #41 Sand Canyon depth=1 cpi=1650.1,duplicate_depth_values,,
16U Boys,sj-express,San Jose Express,#68 San Jose Express B depth=2 cpi=1495.3 | #72 San Jose Express depth=1 cpi=1480.2,color_or_depth_names_present|lower_depth_above_primary,,
16U Boys,south-coast,South Coast,#13 South Coast depth=1 cpi=1865.7 | #51 South Coast B depth=2 cpi=1605.5 | #77 South Coast C depth=3 cpi=1394.5,color_or_depth_names_present,,
16U Boys,stanford,Stanford,#6 Stanford A depth=1 cpi=1934.7 | #42 Stanford B depth=2 cpi=1650.1,color_or_depth_names_present,,
16U Boys,trojan,Trojan,#8 Trojan depth=1 cpi=1918.8 | #26 Trojan B depth=2 cpi=1752.8 | #79 Trojan C depth=3 cpi=1360.0,color_or_depth_names_present,,
16U Boys,vanguard,Vanguard,#3 Vanguard depth=1 cpi=2009.9 | #25 Vanguard Blue depth=2 cpi=1754.5 | #53 Vanguard Silver depth=3 cpi=1587.6 | #76 Vanguard White depth=3 cpi=1428.3,color_or_depth_names_present|duplicate_depth_values,,
16U Girls,lamorinda,Lamorinda,#16 Lamorinda A depth=1 cpi=1732.3 | #36 Lamorinda B depth=2 cpi=1360.0,color_or_depth_names_present,,
16U Girls,sbwpc,SBWPC,#1 SBWPC A depth=1 cpi=2150.0 | #25 SBWPC B depth=2 cpi=1647.0,color_or_depth_names_present,,
16U Girls,south-coast,South Coast,#3 South Coast depth=1 cpi=2039.4 | #35 South Coast B depth=2 cpi=1360.0,color_or_depth_names_present,,
16U Girls,viking,Viking,#18 LB Viking depth=1 cpi=1693.3 | #31 Viking White depth=3 cpi=1510.8,color_or_depth_names_present,,
18U Boys,chawp,CHAWP,#26 CHAWP B depth=2 cpi=1648.2 | #43 CHAWP depth=1 cpi=1360.0,color_or_depth_names_present|lower_depth_above_primary,,
18U Boys,imperial,Imperial,#4 Imperial depth=1 cpi=1920.0 | #16 Imperial B depth=2 cpi=1747.2,color_or_depth_names_present,,
18U Boys,sand-canyon,Sand Canyon,#15 Sand Canyon Black depth=2 cpi=1747.2 | #22 Sand Canyon Red depth=1 cpi=1676.9 | #30 Sand Canyon depth=1 cpi=1555.5,color_or_depth_names_present|duplicate_depth_values|lower_depth_above_primary,,
18U Boys,trojan,Trojan,#8 Trojan depth=1 cpi=1866.1 | #31 Trojan B depth=2 cpi=1528.5,color_or_depth_names_present,,
18U Boys,vanguard,Vanguard,#17 Vanguard Blue depth=2 cpi=1738.9 | #41 Vanguard Silver depth=3 cpi=1360.0,color_or_depth_names_present,,
18U Girls,chawp,CHAWP,#20 CHAWP B depth=2 cpi=1654.7 | #31 CHAWP depth=1 cpi=1499.6,color_or_depth_names_present|lower_depth_above_primary,,
18U Girls,sbwpc,SBWPC,#2 SBWPC A depth=1 cpi=2040.1 | #17 SBWPC B depth=2 cpi=1706.8 | #32 SBWPC C depth=3 cpi=1449.9,color_or_depth_names_present,,
18U Girls,socal,SoCal,#4 SoCal depth=1 cpi=2000.7 | #23 SoCal Gold depth=2 cpi=1613.5,color_or_depth_names_present,,
18U Girls,viking,Viking,#9 LB Viking Blue depth=2 cpi=1788.3 | #30 LB Viking White depth=3 cpi=1506.0,color_or_depth_names_present,,
