group,rank,team,slug,club,club_slug,region,logo
18U Girls,34,Sand Canyon,sand-canyon-18u-girls,Sand Canyon,sand-canyon,Orange County,assets/logos/canonical/sand-canyon.webp
12U Boys,3,Greenwich,greenwich,Greenwich,greenwich,Out of State,assets/logos/canonical/greenwich.webp
12U Boys,42,Greenwich White,greenwich-white,Greenwich,greenwich,Out of State,assets/logos/canonical/greenwich.webp
14U Boys,40,Vegas Renegades A,vegas-renegades-a,Vegas Renegades,vegas-renegades,Out of State,assets/logos/canonical/vegas-renegades.webp
14U Boys,46,Northwest A,northwest-a,Northwest,northwest,Out of State,assets/logos/canonical/northwest.webp
14U Boys,88,CT Premier A,ct-premier-a,CT Premier,ct-premier,Out of State,assets/logos/canonical/ct-premier.webp
14U Boys,98,Honolulu Green A,honolulu-green-a,Honolulu Green,honolulu-green,Out of State,assets/logos/canonical/honolulu-green.webp
14U Boys,100,Honolulu Blue,honolulu-blue,Honolulu Blue,honolulu-blue,Out of State,assets/logos/canonical/honolulu-blue.webp
14U Girls,32,Greenwich,greenwich-14u-girls,Greenwich,greenwich,Out of State,assets/logos/canonical/greenwich.webp
14U Girls,36,Asphalt Green,asphalt-green-14u-girls,Asphalt Green,asphalt-green,Out of State,assets/logos/canonical/asphalt-green.webp
14U Girls,39,Thunder,thunder-14u-girls,Thunder,thunder,Out of State,assets/logos/canonical/thunder.webp
14U Girls,55,Honolulu Water Polo,honolulu-water-polo-14u-girls,Honolulu Water Polo,honolulu-water-polo,Out of State,assets/logos/canonical/honolulu-water-polo.webp
14U Girls,56,Innis Arden,innis-arden-14u-girls,Innis Arden,innis-arden,Out of State,assets/logos/canonical/innis-arden.webp
14U Girls,60,LOWPO,lowpo-14u-girls,LOWPO,lowpo,Out of State,assets/logos/canonical/lowpo.webp
14U Girls,68,Northwest,northwest-14u-girls,Northwest,northwest,Out of State,assets/logos/canonical/northwest.webp
16U Boys,18,Greenwich,greenwich-16u-boys,Greenwich,greenwich,Out of State,assets/logos/canonical/greenwich.webp
16U Boys,21,Thunder,thunder-16u-boys,Thunder,thunder,Out of State,assets/logos/canonical/thunder.webp
16U Boys,33,Asphalt Green,asphalt-green-16u-boys,Asphalt Green,asphalt-green,Out of State,assets/logos/canonical/asphalt-green.webp
16U Boys,38,CT Premier,ct-premier-16u-boys,CT Premier,ct-premier,Out of State,assets/logos/canonical/ct-premier.webp
16U Boys,72,Wcac United,wcac-united-16u-boys,Wcac United,wcac-united,Out of State,assets/logos/canonical/wcac-united.webp
16U Girls,26,Asphalt Green,asphalt-green-16u-girls,Asphalt Green,asphalt-green,Out of State,assets/logos/canonical/asphalt-green.webp
18U Girls,30,Asphalt Green,asphalt-green-18u-girls,Asphalt Green,asphalt-green,Out of State,assets/logos/canonical/asphalt-green.webp
18U Girls,33,Thunder,thunder-18u-girls,Thunder,thunder,Out of State,assets/logos/canonical/thunder.webp
12U Boys,2,Stanford Red,stanford-red,Stanford Water Polo Club,stanford,Peninsula / San Francisco,assets/logos/canonical/stanford.webp
12U Boys,7,San Jose Express Blue,san-jose-express-blue,SJ Express,sj-express,Peninsula / San Francisco,assets/logos/canonical/sj-express.webp
12U Boys,30,San Mateo,san-mateo,San Mateo,san-mateo,Peninsula / San Francisco,assets/logos/canonical/san-mateo.webp
12U Boys,34,San Jose Foundation Black,san-jose-foundation-black,SJ Foundation,sj-foundation,Peninsula / San Francisco,assets/logos/canonical/sj-foundation.webp
12U Boys,38,San Jose Wpf,san-jose-wpf,San Jose Wpf,san-jose-wpf,Peninsula / San Francisco,assets/logos/canonical/san-jose-wpf.webp
12U Boys,41,Sharks,sharks,Sharks,sharks,Peninsula / San Francisco,assets/logos/canonical/sharks.webp
12U Boys,45,SHAQ Blue,shaq-blue,SHAQ,shaq,Peninsula / San Francisco,assets/logos/canonical/shaq.webp
12U Boys,51,Farallon,farallon,Farallon,farallon,Peninsula / San Francisco,assets/logos/canonical/farallon.webp
12U Boys,60,NorCal,norcal,NorCal Aquatics,norcal,Peninsula / San Francisco,assets/logos/canonical/norcal.webp
12U Boys,61,SHAQ White,shaq-white,SHAQ,shaq,Peninsula / San Francisco,assets/logos/canonical/shaq.webp
12U Boys,71,Stanford Black,stanford-black,Stanford Water Polo Club,stanford,Peninsula / San Francisco,assets/logos/canonical/stanford.webp
12U Girls,8,Stanford A,stanford-a-12u-girls,Stanford Water Polo Club,stanford,Peninsula / San Francisco,assets/logos/canonical/stanford.webp
12U Girls,17,SHAQ,shaq-12u-girls,SHAQ,shaq,Peninsula / San Francisco,assets/logos/canonical/shaq.webp
12U Girls,35,Stanford B,stanford-b-12u-girls,Stanford Water Polo Club,stanford,Peninsula / San Francisco,assets/logos/canonical/stanford.webp
14U Boys,2,NorCal A,norcal-a,NorCal Aquatics,norcal,Peninsula / San Francisco,assets/logos/canonical/norcal.webp
14U Boys,13,Stanford A,stanford-a,Stanford Water Polo Club,stanford,Peninsula / San Francisco,assets/logos/canonical/stanford.webp
14U Boys,37,Pegasus A,pegasus-a,Pegasus,pegasus,Peninsula / San Francisco,assets/logos/canonical/pegasus.webp
14U Boys,44,Stanford B,stanford-b,Stanford Water Polo Club,stanford,Peninsula / San Francisco,assets/logos/canonical/stanford.webp
14U Boys,51,SJ Express A,sj-express-a,SJ Express,sj-express,Peninsula / San Francisco,assets/logos/canonical/sj-express.webp
14U Boys,56,SJ Foundation A,sj-foundation-a,SJ Foundation,sj-foundation,Peninsula / San Francisco,assets/logos/canonical/sj-foundation.webp
14U Boys,58,NorCal B,norcal-b,NorCal Aquatics,norcal,Peninsula / San Francisco,assets/logos/canonical/norcal.webp
14U Boys,61,San Francisco A,san-francisco-a,San Francisco,san-francisco,Peninsula / San Francisco,assets/logos/canonical/san-francisco.webp
14U Boys,64,Stanford C,stanford-c,Stanford Water Polo Club,stanford,Peninsula / San Francisco,assets/logos/canonical/stanford.webp
14U Boys,67,Sharks A,sharks-a,Sharks,sharks,Peninsula / San Francisco,assets/logos/canonical/sharks.webp
14U Boys,75,SHAQ A,shaq-a,SHAQ,shaq,Peninsula / San Francisco,assets/logos/canonical/shaq.webp
14U Boys,80,NorCal C,norcal-c,NorCal Aquatics,norcal,Peninsula / San Francisco,assets/logos/canonical/norcal.webp
14U Boys,84,SHAQ B,shaq-b,SHAQ,shaq,Peninsula / San Francisco,assets/logos/canonical/shaq.webp
14U Boys,94,Burlingame A,burlingame-a,Burlingame,burlingame,Peninsula / San Francisco,assets/logos/canonical/burlingame.webp
14U Boys,102,Midpen A,midpen-a,Midpen,midpen,Peninsula / San Francisco,assets/logos/canonical/midpen.webp
14U Boys,105,SJ Foundation B,sj-foundation-b,SJ Foundation,sj-foundation,Peninsula / San Francisco,assets/logos/canonical/sj-foundation.webp
14U Girls,3,Stanford A,stanford-a-14u-girls,Stanford Water Polo Club,stanford,Peninsula / San Francisco,assets/logos/canonical/stanford.webp
14U Girls,33,San Jose Express,san-jose-express-14u-girls,San Jose Express,san-jose-express,Peninsula / San Francisco,assets/logos/canonical/san-jose-express.webp
14U Girls,34,Stanford B,stanford-b-14u-girls,Stanford Water Polo Club,stanford,Peninsula / San Francisco,assets/logos/canonical/stanford.webp
14U Girls,37,Mavericks,mavericks-14u-girls,Mavericks,mavericks,Peninsula / San Francisco,assets/logos/canonical/mavericks.webp
14U Girls,41,Sharks,sharks-14u-girls,Sharks,sharks,Peninsula / San Francisco,assets/logos/canonical/sharks.webp
14U Girls,52,NorCal,norcal-14u-girls,NorCal Aquatics,norcal,Peninsula / San Francisco,assets/logos/canonical/norcal.webp
14U Girls,62,SHAQ,shaq-14u-girls,SHAQ,shaq,Peninsula / San Francisco,assets/logos/canonical/shaq.webp
16U Boys,5,Stanford A,stanford-a-16u-boys,Stanford Water Polo Club,stanford,Peninsula / San Francisco,assets/logos/canonical/stanford.webp
16U Boys,29,SHAQ,shaq-16u-boys,SHAQ,shaq,Peninsula / San Francisco,assets/logos/canonical/shaq.webp
16U Boys,41,Stanford B,stanford-b-16u-boys,Stanford Water Polo Club,stanford,Peninsula / San Francisco,assets/logos/canonical/stanford.webp
16U Boys,51,Sj Foundation,sj-foundation-16u-boys,SJ Foundation,sj-foundation,Peninsula / San Francisco,assets/logos/canonical/sj-foundation.webp
16U Boys,59,Mid Pen,mid-pen-16u-boys,Mid Pen,mid-pen,Peninsula / San Francisco,assets/logos/canonical/mid-pen.webp
16U Boys,67,San Jose Express B,san-jose-express-b-16u-boys,SJ Express,sj-express,Peninsula / San Francisco,assets/logos/canonical/sj-express.webp
16U Boys,71,San Jose Express,san-jose-express-16u-boys,SJ Express,sj-express,Peninsula / San Francisco,assets/logos/canonical/sj-express.webp
16U Girls,8,Stanford A,stanford-a-16u-girls,Stanford Water Polo Club,stanford,Peninsula / San Francisco,assets/logos/canonical/stanford.webp
18U Boys,10,Stanford A,stanford-a-18u-boys,Stanford Water Polo Club,stanford,Peninsula / San Francisco,assets/logos/canonical/stanford.webp
18U Boys,11,NorCal,norcal-18u-boys,NorCal Aquatics,norcal,Peninsula / San Francisco,assets/logos/canonical/norcal.webp
18U Boys,26,San Francisco,san-francisco-18u-boys,San Francisco,san-francisco,Peninsula / San Francisco,assets/logos/canonical/san-francisco.webp
18U Boys,34,San Jose Express,san-jose-express-18u-boys,SJ Express,sj-express,Peninsula / San Francisco,assets/logos/canonical/sj-express.webp
18U Girls,11,Stanford A,stanford-a-18u-girls,Stanford Water Polo Club,stanford,Peninsula / San Francisco,assets/logos/canonical/stanford.webp
12U Boys,47,Davis,davis,Davis Water Polo Club,davis,Sacramento,assets/logos/canonical/davis.webp
12U Girls,19,Davis,davis-12u-girls,Davis Water Polo Club,davis,Sacramento,assets/logos/canonical/davis.webp
14U Boys,31,Davis A,davis-a,Davis Water Polo Club,davis,Sacramento,assets/logos/canonical/davis.webp
14U Boys,52,American River A,american-river-a,American River Water Polo Club,american-river,Sacramento,assets/logos/canonical/american-river.webp
14U Boys,97,American River B,american-river-b,American River Water Polo Club,american-river,Sacramento,assets/logos/canonical/american-river.webp
14U Girls,18,Davis,davis-14u-girls,Davis Water Polo Club,davis,Sacramento,assets/logos/canonical/davis.webp
14U Girls,44,American River,american-river-14u-girls,American River Water Polo Club,american-river,Sacramento,assets/logos/canonical/american-river.webp
16U Boys,64,Cal Republic,cal-republic-16u-boys,Cal Rep,cal-rep,Sacramento,assets/logos/canonical/cal-rep.webp
18U Boys,32,American River,american-river-18u-boys,American River Water Polo Club,american-river,Sacramento,assets/logos/canonical/american-river.webp
18U Girls,17,Davis,davis-18u-girls,Davis Water Polo Club,davis,Sacramento,assets/logos/canonical/davis.webp
12U Boys,4,SD Dons A,sd-dons-a-12u-boys,San Diego Dons,sd-dons,San Diego,assets/logos/canonical/sd-dons.webp
12U Boys,17,La Jolla United,la-jolla-united,La Jolla United,la-jolla-united,San Diego,assets/logos/canonical/la-jolla-united.webp
12U Boys,19,San Diego Shores,san-diego-shores,San Diego Shores,sd-shores,San Diego,assets/logos/canonical/sd-shores.webp
12U Boys,22,Carlsbad,carlsbad,Carlsbad,carlsbad,San Diego,assets/logos/canonical/carlsbad.webp
12U Boys,23,NSD Stars,nsd-stars,Nsd Stars,nsd-stars,San Diego,assets/logos/canonical/nsd-stars.webp
12U Boys,37,SD Dons B,sd-dons-b-12u-boys,San Diego Dons,sd-dons,San Diego,assets/logos/canonical/sd-dons.webp
12U Boys,39,ECA,eca,SD ECA,sd-eca,San Diego,assets/logos/canonical/sd-eca.webp
12U Boys,43,Trilogy,trilogy,Trilogy,trilogy,San Diego,assets/logos/canonical/trilogy.webp
12U Boys,57,SD Dons Black,sd-dons-black,San Diego Dons,sd-dons,San Diego,assets/logos/canonical/sd-dons.webp
12U Boys,64,SD Dons Gold,sd-dons-gold,San Diego Dons,sd-dons,San Diego,assets/logos/canonical/sd-dons.webp
12U Boys,73,La Jolla United Navy,la-jolla-united-navy,La Jolla United,la-jolla-united,San Diego,assets/logos/canonical/la-jolla-united.webp
12U Boys,75,La Jolla United Gold,la-jolla-united-gold,La Jolla United,la-jolla-united,San Diego,assets/logos/canonical/la-jolla-united.webp
12U Boys,79,Poway Valley,poway-valley,Poway Valley,poway-valley,San Diego,assets/logos/canonical/poway-valley.webp
12U Boys,83,La Jolla United B,la-jolla-united-b-12u-boys,La Jolla United,la-jolla-united,San Diego,assets/logos/canonical/la-jolla-united.webp
12U Girls,2,Del Mar Blue,del-mar-blue-12u-girls,Del Mar,del-mar,San Diego,assets/logos/canonical/del-mar.webp
12U Girls,10,San Diego Shores,san-diego-shores-12u-girls,San Diego Shores,san-diego-shores,San Diego,assets/logos/canonical/san-diego-shores.webp
12U Girls,26,La Jolla United,la-jolla-united-12u-girls,La Jolla United,la-jolla-united,San Diego,assets/logos/canonical/la-jolla-united.webp
14U Boys,1,La Jolla United A,la-jolla-united-a,La Jolla United,la-jolla-united,San Diego,assets/logos/canonical/la-jolla-united.webp
14U Boys,5,SD Dons A,sd-dons-a,San Diego Dons,sd-dons,San Diego,assets/logos/canonical/sd-dons.webp
14U Boys,12,San Diego Shores A,san-diego-shores-a,San Diego Shores,san-diego-shores,San Diego,assets/logos/canonical/san-diego-shores.webp
14U Boys,41,La Jolla United B,la-jolla-united-b,La Jolla United,la-jolla-united,San Diego,assets/logos/canonical/la-jolla-united.webp
14U Boys,63,Poway Valley Black,poway-valley-black,Poway Valley Black,poway-valley-black,San Diego,assets/logos/canonical/poway-valley-black.webp
14U Boys,65,SD Dons B,sd-dons-b,San Diego Dons,sd-dons,San Diego,assets/logos/canonical/sd-dons.webp
14U Boys,82,SD ECA A,sd-eca-a,SD ECA,sd-eca,San Diego,assets/logos/canonical/sd-eca.webp
14U Boys,86,Nado A,nado-a,Nado,nado,San Diego,assets/logos/canonical/nado.webp
14U Boys,95,Trilogy A,trilogy-a,Trilogy,trilogy,San Diego,assets/logos/canonical/trilogy.webp
14U Girls,5,San Diego Shores Black,san-diego-shores-black-14u-girls,San Diego Shores,sd-shores,San Diego,assets/logos/canonical/sd-shores.webp
14U Girls,9,SD Dons,sd-dons-14u-girls,San Diego Dons,sd-dons,San Diego,assets/logos/canonical/sd-dons.webp
14U Girls,20,San Diego Shores Gold,san-diego-shores-gold-14u-girls,San Diego Shores,sd-shores,San Diego,assets/logos/canonical/sd-shores.webp
14U Girls,28,Del Mar,del-mar-14u-girls,Del Mar,del-mar,San Diego,assets/logos/canonical/del-mar.webp
14U Girls,31,Rogue 619,rogue-619-14u-girls,Rogue 619,rogue-619,San Diego,assets/logos/canonical/rogue-619.webp
14U Girls,50,ECA,eca-14u-girls,SD ECA,sd-eca,San Diego,assets/logos/canonical/sd-eca.webp
14U Girls,53,La Jolla United,la-jolla-united-14u-girls,La Jolla United,la-jolla-united,San Diego,assets/logos/canonical/la-jolla-united.webp
14U Girls,61,San Diego Shores White,san-diego-shores-white-14u-girls,San Diego Shores,sd-shores,San Diego,assets/logos/canonical/sd-shores.webp
14U Girls,74,CV Premier,cv-premier-14u-girls,CV Premier,cv-premier,San Diego,assets/logos/canonical/cv-premier.webp
14U Girls,76,Trilogy,trilogy-14u-girls,Trilogy,trilogy,San Diego,assets/logos/canonical/trilogy.webp
16U Boys,10,San Diego Shores,san-diego-shores-16u-boys,San Diego Shores,san-diego-shores,San Diego,assets/logos/canonical/san-diego-shores.webp
16U Boys,15,Carlsbad,carlsbad-16u-boys,Carlsbad,carlsbad,San Diego,assets/logos/canonical/carlsbad.webp
16U Boys,44,Trilogy,trilogy-16u-boys,Trilogy,trilogy,San Diego,assets/logos/canonical/trilogy.webp
16U Boys,45,La Jolla United Gold,la-jolla-united-gold-16u-boys,La Jolla United,la-jolla-united,San Diego,assets/logos/canonical/la-jolla-united.webp
16U Boys,47,SD ECA,sd-eca-16u-boys,SD ECA,sd-eca,San Diego,assets/logos/canonical/sd-eca.webp
16U Boys,48,SD Dons,sd-dons-16u-boys,San Diego Dons,sd-dons,San Diego,assets/logos/canonical/sd-dons.webp
16U Boys,54,LA Jolla United White,la-jolla-united-white-16u-boys,La Jolla United,la-jolla-united,San Diego,assets/logos/canonical/la-jolla-united.webp
16U Boys,77,LA Jolla United Silver,la-jolla-united-silver-16u-boys,La Jolla United,la-jolla-united,San Diego,assets/logos/canonical/la-jolla-united.webp
16U Girls,7,San Diego Shores,san-diego-shores-16u-girls,San Diego Shores,san-diego-shores,San Diego,assets/logos/canonical/san-diego-shores.webp
16U Girls,15,Club Daygo,club-daygo-16u-girls,Club Daygo,club-daygo,San Diego,assets/logos/canonical/club-daygo.webp
18U Boys,24,San Diego Shores,san-diego-shores-18u-boys,San Diego Shores,san-diego-shores,San Diego,assets/logos/canonical/san-diego-shores.webp
18U Boys,33,La Jolla United B,la-jolla-united-b-18u-boys,La Jolla United,la-jolla-united,San Diego,assets/logos/canonical/la-jolla-united.webp
