group,team,slug,club,old_rank,new_rank,movement,old_cpi,new_cpi,cpi_change,latest_tournament,latest_record,field_size,quiksilver_weight,movement_cap_note,flags
16U Boys,Vanguard Silver,vanguard-silver-16u-boys,Vanguard,52,53,-1,1595.2,1587.6,-7.6,SOPAC JO Quals,4-1,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",manual_review_depth_guardrail|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,Palos Verdes B,palos-verdes-b-16u-boys,Palos Verdes,53,54,-1,1587.6,1580.4,-7.2,CCA JO Quals,1-1,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",manual_review_depth_guardrail|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,LA Jolla United White,la-jolla-united-white-16u-boys,LA Jolla United,54,55,-1,1580.4,1572.0,-8.4,K7 Cup,2-2,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",manual_review_depth_guardrail|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,Santa Cruz,santa-cruz-16u-boys,Santa Cruz,55,56,-1,1572.0,1570.9,-1.1,,0-0,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,Rose Bowl B,rose-bowl-b-16u-boys,Rose Bowl,56,57,-1,1570.9,1559.2,-11.7,CCA JO Quals,2-3,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",manual_review_depth_guardrail|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,Loyola Wpc,loyola-wpc-16u-boys,Loyola Wpc,57,58,-1,1559.2,1556.4,-2.8,,0-0,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",manual_review_d2_tier_guardrail|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,Shore Aquatics B,shore-aquatics-b-16u-boys,Shore Aquatics,58,59,-1,1556.4,1552.5,-3.9,K7 Cup,3-2,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",manual_review_depth_guardrail|manual_review_d2_tier_guardrail|manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,Mid Pen,mid-pen-16u-boys,Mid Pen,59,60,-1,1552.5,1546.8,-5.7,Futures Super Finals,1-2,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",manual_review_d2_tier_guardrail|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,Patriot Red,patriot-red-16u-boys,Patriot,60,61,-1,1546.8,1546.7,-0.1,Futures Super Finals,0-1,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",manual_review_d2_tier_guardrail|manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,Hieland,hieland-16u-boys,Hieland,61,62,-1,1546.7,1542.4,-4.3,SOPAC JO Quals,0-2,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,CIU Blue,ciu-blue-16u-boys,CIU,62,63,-1,1542.4,1518.9,-23.5,CCA JO Quals,1-3,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",manual_review_depth_guardrail|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,Brea Olinda,brea-olinda-16u-boys,Brea Olinda,63,64,-1,1518.9,1512.1,-6.8,SOPAC JO Quals,0-3,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,Cal Republic,cal-republic-16u-boys,Cal Rep,64,65,-1,1512.1,1509.4,-2.7,Futures Super Finals,1-3,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",manual_review_d2_tier_guardrail|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,Big Valley,big-valley-16u-boys,Big Valley,65,66,-1,1509.4,1504.6,-4.8,Futures Super Finals,1-2,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",manual_review_d2_tier_guardrail|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,CHAWP,chawp-16u-boys,CHAWP,66,67,-1,1504.6,1500.9,-3.7,SOPAC JO Quals,0-3,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,San Jose Express B,san-jose-express-b-16u-boys,San Jose Express,67,68,-1,1500.9,1495.3,-5.6,Futures Super Finals,1-3,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",manual_review_depth_guardrail|manual_review_d2_tier_guardrail|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,Devils Gate,devils-gate-16u-boys,Devil's Gate,68,69,-1,1495.3,1491.7,-3.6,Futures Super Finals,1-2,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,Tsunami,tsunami-16u-boys,Rancho Tsunami,69,70,-1,1491.7,1488.2,-3.5,Futures Super Finals,0-3,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",manual_review_d2_tier_guardrail|manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,Clovis,clovis-16u-boys,Clovis,70,71,-1,1488.2,1484.8,-3.4,Futures Super Finals,0-5,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,San Jose Express,san-jose-express-16u-boys,San Jose Express,71,72,-1,1484.8,1480.2,-4.6,Futures Super Finals,0-4,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",manual_review_d2_tier_guardrail|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,Wcac United,wcac-united-16u-boys,Wcac United,72,73,-1,1480.2,1466.9,-13.3,K7 Cup,0-4,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,Elite,elite-16u-boys,Elite,73,74,-1,1466.9,1460.7,-6.2,SOPAC JO Quals,0-3,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,Titans,titans-16u-boys,Titans,74,75,-1,1460.7,1447.9,-12.8,CCA JO Quals,0-1,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,Vanguard White,vanguard-white-16u-boys,Vanguard,75,76,-1,1447.9,1428.3,-19.6,SOPAC JO Quals,0-3,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",manual_review_depth_guardrail|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,South Coast C,south-coast-c-16u-boys,South Coast,76,77,-1,1428.3,1394.5,-33.8,CCA JO Quals,0-2,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",manual_review_depth_guardrail|manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,LA Jolla United Silver,la-jolla-united-silver-16u-boys,LA Jolla United,77,78,-1,1394.5,1360.0,-34.5,K7 Cup,0-2,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",manual_review_depth_guardrail|manual_review_d2_tier_guardrail|manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,Trojan C,trojan-c-16u-boys,Trojan,78,79,-1,1360.0,1360.0,0.0,CCA JO Quals,0-2,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",manual_review_depth_guardrail|manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Boys,Long Beach Shore,long-beach-shore-16u-boys,Long Beach Shore,,80,0,,1360.0,0.0,Quiksilver Cup,16 of 18,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_new_team_candidate|quiksilver_cup_2026_lightweight_adjustment
16U Boys,NSD Stars,nsd-stars-16u-boys,NSD Stars,,81,0,,1360.0,0.0,Quiksilver Cup,18 of 18,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_new_team_candidate|quiksilver_cup_2026_lightweight_adjustment
16U Boys,San Diego Shores Gold,san-diego-shores-gold-16u-boys,San Diego Shores,,82,0,,1360.0,0.0,Quiksilver Cup,14 of 18,18,0.4,"large-field secondary signal; winner +10 max from low base, finalists +5 to +7",quiksilver_cup_2026_new_team_candidate|depth_team_review|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
16U Girls,LB Viking,lb-viking-16u-girls,Viking,,18,0,,1693.3,0.0,Quiksilver Cup,1 of 6,6,0.23,small-field cap; new finalists enter mid/lower table with review flags,manual_review_14u_girls_same_team_alias_merge|quiksilver_cup_2026_new_team_candidate|quiksilver_cup_2026_champion|a_team_identity_review|small_field_weight_cap|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap
16U Girls,CHAWP B,chawp-b-16u-girls,CHAWP,18,19,-1,1693.3,1691.7,-1.6,US Club Championships,1-1,6,0.23,small-field cap; new finalists enter mid/lower table with review flags,manual_review_depth_guardrail|manual_review_top25_depth_team|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap
16U Girls,OVAC,ovac-16u-girls,OVAC,,20,0,,1687.3,0.0,Quiksilver Cup,2 of 6,6,0.23,small-field cap; new finalists enter mid/lower table with review flags,quiksilver_cup_2026_new_team_candidate|quiksilver_cup_2026_runner_up|small_field_weight_cap|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap
16U Girls,Palos Verdes,palos-verdes-16u-girls,Palos Verdes,19,21,-2,1691.7,1685.3,-6.4,CCA JO Quals,3-2,6,0.23,small-field cap; new finalists enter mid/lower table with review flags,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap
16U Girls,SoCal,socal-16u-girls,SoCal,20,22,-2,1687.3,1669.2,-18.1,US Club Championships,2-2,6,0.23,small-field cap; new finalists enter mid/lower table with review flags,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap
16U Girls,Temple City,temple-city-16u-girls,Temple City,21,24,-3,1685.3,1647.5,-37.8,Futures Super Finals,3-1,6,0.23,small-field cap; new finalists enter mid/lower table with review flags,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap
16U Girls,SBWPC B,sbwpc-b-16u-girls,SBWPC,22,25,-3,1669.2,1647.0,-22.2,US Club Championships,1-3,6,0.23,small-field cap; new finalists enter mid/lower table with review flags,manual_review_depth_guardrail|manual_review_top25_depth_team|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap
16U Girls,CIU,ciu-16u-girls,CIU,24,26,-2,1647.5,1590.0,-57.5,US Club Championships,1-2,6,0.23,small-field cap; new finalists enter mid/lower table with review flags,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap
16U Girls,Arroyo Grande,arroyo-grande-16u-girls,Arroyo Grande,25,27,-2,1647.0,1558.1,-88.9,Futures Super Finals,2-3,6,0.23,small-field cap; new finalists enter mid/lower table with review flags,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap
16U Girls,Mid Valley,mid-valley-16u-girls,Mid Valley,,28,0,,1552.6,0.0,Quiksilver Cup,5 of 6,6,0.23,small-field cap; new finalists enter mid/lower table with review flags,quiksilver_cup_2026_new_team_candidate|small_field_weight_cap|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap
16U Girls,Asphalt Green,asphalt-green-16u-girls,Asphalt Green,26,29,-3,1590.0,1532.1,-57.9,Futures Super Finals,2-3,6,0.23,small-field cap; new finalists enter mid/lower table with review flags,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap
16U Girls,Rose Bowl,rose-bowl-16u-girls,Rose Bowl,27,30,-3,1558.1,1526.9,-31.2,US Club Championships,0-2,6,0.23,small-field cap; new finalists enter mid/lower table with review flags,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap
16U Girls,Viking White,viking-white-16u-girls,Viking,28,31,-3,1552.6,1510.8,-41.8,CCA JO Quals,3-2,6,0.23,small-field cap; new finalists enter mid/lower table with review flags,manual_review_depth_guardrail|manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap
16U Girls,Bulldog,bulldog-16u-girls,Bulldog,29,32,-3,1532.1,1462.9,-69.2,US Club Championships,0-2,6,0.23,small-field cap; new finalists enter mid/lower table with review flags,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap
16U Girls,Clovis,clovis-16u-girls,Clovis,30,33,-3,1526.9,1360.0,-166.9,Futures Super Finals,1-4,6,0.23,small-field cap; new finalists enter mid/lower table with review flags,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap
16U Girls,CDM,cdm-16u-girls,CDM,31,34,-3,1510.8,1360.0,-150.8,Futures Super Finals,2-2,6,0.23,small-field cap; new finalists enter mid/lower table with review flags,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap
16U Girls,South Coast B,south-coast-b-16u-girls,South Coast,32,35,-3,1462.9,1360.0,-102.9,CCA JO Quals,1-3,6,0.23,small-field cap; new finalists enter mid/lower table with review flags,manual_review_depth_guardrail|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap
16U Girls,Lamorinda B,lamorinda-b-16u-girls,Lamorinda,33,36,-3,1360.0,1360.0,0.0,US Club Championships,0-2,6,0.23,small-field cap; new finalists enter mid/lower table with review flags,manual_review_depth_guardrail|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_small_field_cap
18U Boys,South Coast,south-coast-18u-boys,South Coast,13,12,1,1762.6,1801.3,38.7,Futures Super Finals,3-2,16,0.35,partial-score cap; top 10 mostly protected; last-place penalty limited,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail
18U Boys,Tsunami,tsunami-18u-boys,Rancho Tsunami,14,13,1,1749.1,1762.6,13.5,Futures Super Finals,4-0,16,0.35,partial-score cap; top 10 mostly protected; last-place penalty limited,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail
18U Boys,Supreme,supreme-18u-boys,Supreme,12,14,-2,1801.3,1749.1,-52.2,Quiksilver Cup,16 of 16,16,0.35,partial-score cap; top 10 mostly protected; last-place penalty limited,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail
18U Boys,San Diego Shores,san-diego-shores-18u-boys,San Diego Shores,24,21,3,1655.6,1690.4,34.8,Quiksilver Cup,6 of 16,16,0.35,partial-score cap; top 10 mostly protected; last-place penalty limited,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail
18U Boys,Sand Canyon Red,sand-canyon-red-18u-boys,Sand Canyon,21,22,-1,1690.4,1676.9,-13.5,SOPAC JO Quals,3-2,16,0.35,partial-score cap; top 10 mostly protected; last-place penalty limited,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail
18U Boys,Greenwich,greenwich-18u-boys,Greenwich,,23,0,,1662.2,0.0,Quiksilver Cup,5 of 16,16,0.35,partial-score cap; top 10 mostly protected; last-place penalty limited,manual_priority_out_of_region_elite_result|quiksilver_cup_2026_new_team_candidate|medium_large_field_weight_cap|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail
18U Boys,SET,set-18u-boys,SET,22,24,-2,1676.9,1655.6,-21.3,Futures Super Finals,3-1,16,0.35,partial-score cap; top 10 mostly protected; last-place penalty limited,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail
18U Boys,Hieland,hieland-18u-boys,Hieland,23,25,-2,1662.2,1650.8,-11.4,SOPAC JO Quals,2-2,16,0.35,partial-score cap; top 10 mostly protected; last-place penalty limited,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail
18U Boys,CHAWP B,chawp-b-18u-boys,CHAWP,25,26,-1,1650.8,1648.2,-2.6,SOPAC JO Quals,2-2,16,0.35,partial-score cap; top 10 mostly protected; last-place penalty limited,manual_review_depth_guardrail|manual_review_low_game_count|manual_review_top25_depth_team|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail
18U Boys,San Francisco,san-francisco-18u-boys,San Francisco,26,27,-1,1648.2,1633.0,-15.2,Futures Super Finals,2-3,16,0.35,partial-score cap; top 10 mostly protected; last-place penalty limited,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail
18U Boys,CIU,ciu-18u-boys,CIU,,28,0,,1625.8,0.0,Quiksilver Cup,8 of 16,16,0.35,partial-score cap; top 10 mostly protected; last-place penalty limited,quiksilver_cup_2026_new_team_candidate|medium_large_field_weight_cap|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail
18U Boys,PAC Orange,pac-orange-18u-boys,PAC Orange,27,29,-2,1633.0,1620.9,-12.1,CCA JO Quals,1-1,16,0.35,partial-score cap; top 10 mostly protected; last-place penalty limited,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail
18U Boys,Sand Canyon,sand-canyon-18u-boys,Sand Canyon,28,30,-2,1625.8,1555.5,-70.3,Futures Super Finals,2-3,16,0.35,partial-score cap; top 10 mostly protected; last-place penalty limited,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail
18U Boys,Trojan B,trojan-b-18u-boys,Trojan,29,31,-2,1620.9,1528.5,-92.4,Futures Super Finals,4-0,16,0.35,partial-score cap; top 10 mostly protected; last-place penalty limited,manual_review_depth_guardrail|manual_review_d2_tier_guardrail|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail
18U Boys,Long Beach Shore,long-beach-shore-18u-boys,Long Beach Shore,,32,0,,1514.9,0.0,Quiksilver Cup,9 of 16,16,0.35,partial-score cap; top 10 mostly protected; last-place penalty limited,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_new_team_candidate|medium_large_field_weight_cap|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail
18U Boys,Diablo Alliance A,diablo-alliance-a-18u-boys,Diablo Alliance,30,33,-3,1555.5,1501.3,-54.2,Quiksilver Cup,10 of 16,16,0.35,partial-score cap; top 10 mostly protected; last-place penalty limited,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail
18U Boys,Route 66,route-66-18u-boys,Route 66,31,34,-3,1528.5,1496.5,-32.0,Futures Super Finals,2-2,16,0.35,partial-score cap; top 10 mostly protected; last-place penalty limited,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail
18U Boys,Olympus,olympus-18u-boys,Olympus,,35,0,,1478.5,0.0,Quiksilver Cup,11 of 16,16,0.35,partial-score cap; top 10 mostly protected; last-place penalty limited,quiksilver_cup_2026_new_club_candidate|quiksilver_cup_2026_provisional_entry|medium_large_field_weight_cap|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail
18U Boys,American River,american-river-18u-boys,American River,32,36,-4,1514.9,1463.1,-51.8,Futures Super Finals,1-4,16,0.35,partial-score cap; top 10 mostly protected; last-place penalty limited,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail
18U Boys,La Jolla United B,la-jolla-united-b-18u-boys,La Jolla United,33,37,-4,1501.3,1462.3,-39.0,Quiksilver Cup,Final placement pending source score,16,0.35,partial-score cap; top 10 mostly protected; last-place penalty limited,manual_review_depth_guardrail|manual_review_d2_tier_guardrail|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_final_score_pending|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail
18U Boys,Foothill,foothill-18u-boys,Foothill,,38,0,,1430.8,0.0,Quiksilver Cup,13 of 16,16,0.35,partial-score cap; top 10 mostly protected; last-place penalty limited,quiksilver_cup_2026_new_team_candidate|medium_large_field_weight_cap|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail
18U Boys,Alameda WPC,alameda-wpc-18u-boys,Alameda,,39,0,,1360.0,0.0,Quiksilver Cup,15 of 16,16,0.35,partial-score cap; top 10 mostly protected; last-place penalty limited,quiksilver_cup_2026_new_team_candidate|club_identity_review|medium_large_field_weight_cap|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail
18U Boys,San Jose Express,san-jose-express-18u-boys,San Jose Express,34,40,-6,1496.5,1360.0,-136.5,Futures Super Finals,1-4,16,0.35,partial-score cap; top 10 mostly protected; last-place penalty limited,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail
18U Boys,Vanguard Silver,vanguard-silver-18u-boys,Vanguard,35,41,-6,1478.5,1360.0,-118.5,SOPAC JO Quals,2-3,16,0.35,partial-score cap; top 10 mostly protected; last-place penalty limited,manual_review_depth_guardrail|manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail
18U Boys,SFV,sfv-18u-boys,SFV,36,42,-6,1463.1,1360.0,-103.1,CCA JO Quals,0-2,16,0.35,partial-score cap; top 10 mostly protected; last-place penalty limited,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail
18U Boys,CHAWP,chawp-18u-boys,CHAWP,37,43,-6,1462.3,1360.0,-102.3,SOPAC JO Quals,1-4,16,0.35,partial-score cap; top 10 mostly protected; last-place penalty limited,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail
18U Boys,Rose Bowl,rose-bowl-18u-boys,Rose Bowl,38,44,-6,1430.8,1360.0,-70.8,Futures Super Finals,1-3,16,0.35,partial-score cap; top 10 mostly protected; last-place penalty limited,quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail
18U Boys,Yeti,yeti-18u-boys,Yeti,39,45,-6,1360.0,1360.0,0.0,SOPAC JO Quals,0-5,16,0.35,partial-score cap; top 10 mostly protected; last-place penalty limited,manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment|quiksilver_partial_score_guardrail
18U Girls,Mission,mission-18u-girls,Mission,9,7,2,1788.3,1825.0,36.7,Quiksilver Cup,4 of 12,12,0.32,"medium-field cap; champion +6, runner-up/new team mid-table",quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
18U Girls,Rose Bowl,rose-bowl-18u-girls,Rose Bowl,7,8,-1,1825.0,1823.7,-1.3,US Club Championships,1-2,12,0.32,"medium-field cap; champion +6, runner-up/new team mid-table",quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
18U Girls,LB Viking Blue,lb-viking-blue-18u-girls,Viking,15,9,6,1716.1,1788.3,72.2,Quiksilver Cup,1 of 12,12,0.32,"medium-field cap; champion +6, runner-up/new team mid-table",manual_review_depth_guardrail|manual_review_low_game_count|manual_review_top25_depth_team|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
18U Girls,Foothill,foothill-18u-girls,Foothill,8,10,-2,1823.7,1782.9,-40.8,Quiksilver Cup,9 of 12,12,0.32,"medium-field cap; champion +6, runner-up/new team mid-table",quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
18U Girls,Legacy,legacy-18u-girls,Legacy,10,11,-1,1782.9,1738.1,-44.8,Quiksilver Cup,7 of 12,12,0.32,"medium-field cap; champion +6, runner-up/new team mid-table",manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
18U Girls,Stanford A,stanford-a-18u-girls,Stanford,11,12,-1,1738.1,1728.1,-10.0,US Club Championships,2-2,12,0.32,"medium-field cap; champion +6, runner-up/new team mid-table",quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
18U Girls,Santa Cruz,santa-cruz-18u-girls,Santa Cruz,12,13,-1,1728.1,1728.0,-0.1,Futures Super Finals,3-2,12,0.32,"medium-field cap; champion +6, runner-up/new team mid-table",manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
18U Girls,Palos Verdes,palos-verdes-18u-girls,Palos Verdes,13,14,-1,1728.0,1716.1,-11.9,CCA JO Quals,3-2,12,0.32,"medium-field cap; champion +6, runner-up/new team mid-table",manual_review_low_game_count|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
18U Girls,680,680-18u-girls,680,,15,0,,1716.1,0.0,Quiksilver Cup,2 of 12,12,0.32,"medium-field cap; champion +6, runner-up/new team mid-table",quiksilver_cup_2026_new_team_candidate|quiksilver_cup_2026_runner_up|medium_field_weight_cap|quiksilver_cup_2026_evidence_added|quiksilver_cup_2026_lightweight_adjustment
