group,postRank,team,club,teamDepth,preRank,movement,joDerivedRank,joDivision,joSubdivision,joDivisionFinish,joSubdivisionFinish,latestTournamentRecord,sourceTeam
16U Boys,59,CDM,CDM,1,27,-32,60,Classic,Silver,12,12,3-4,Corona Del Mar
16U Boys,60,San Diego Shores B,San Diego Shores,2,82,22,59,Classic,Silver,11,11,4-3,SD Shores Gold
16U Boys,61,Diablo Alliance,Diablo Alliance,1,,0,61,Classic,Silver,13,13,5-3,Diablo Alliance
16U Boys,62,Stanford B,Stanford,2,42,-20,62,Classic,Silver,14,14,5-3,Stanford Black
16U Boys,63,Alameda,Alameda,1,,0,63,Classic,Silver,15,15,6-3,Alameda
16U Boys,64,Sharks,Sharks,1,,0,64,Classic,Silver,16,16,4-4,Sharks
16U Boys,65,LOWPO,LOWPO,1,,0,65,Classic,Silver,17,17,6-3,Lowpo
16U Boys,66,Viper Pigeon,Viper Pigeon,1,,0,66,Classic,Silver,18,18,5-4,Viper Pigeon
16U Boys,67,PV WPC,PV WPC,1,29,-38,67,Classic,Silver,19,19,4-4,Palos Verdes Black
16U Boys,68,Puget Sound,Puget Sound,1,,0,68,Classic,Silver,20,20,3-5,Puget Sound
16U Boys,69,San Jose Express,San Jose Express,1,72,3,70,Classic,Silver,22,22,4-4,San Jose Express Blue
16U Boys,70,SLAP,SLAP,1,,0,69,Classic,Silver,21,21,4-4,Slap
16U Boys,71,Thunder B,Thunder,2,,0,71,Classic,Silver,23,23,3-5,Texas Thunder Blue
16U Boys,72,Davis,Davis,1,,0,72,Classic,Silver,24,24,3-5,Davis White
16U Boys,73,Newport Beach B,Newport Beach,2,,0,73,Classic,Bronze,25,1,6-2,Newport Beach White
16U Boys,74,99 Alliance,99 Alliance,1,,0,74,Classic,Bronze,26,2,5-3,99 Alliance
16U Boys,75,OCWPC,OCWPC,1,21,-54,75,Classic,Bronze,27,3,5-4,OCWPC
16U Boys,76,Asphalt Green,Asphalt Green,1,34,-42,76,Classic,Bronze,28,4,4-5,Asphalt Green
16U Boys,77,WCAC United,WCAC United,1,73,-4,77,Classic,Bronze,29,5,6-3,Wcac United A
16U Boys,78,Praetorian,Praetorian,1,,0,78,Classic,Bronze,30,6,3-5,Praetorian Black
16U Boys,79,Trojan B,Trojan,2,26,-53,79,Classic,Bronze,31,7,4-5,Trojan Gold
16U Boys,80,Foothill,Foothill,1,47,-33,81,Classic,Bronze,33,9,4-5,Foothill Red
16U Boys,81,CIU B,CIU,2,63,-18,80,Classic,Bronze,32,8,3-5,Ciu Blue
16U Boys,82,SHAQ,SHAQ,1,30,-52,82,Classic,Bronze,34,10,3-5,SHAQ Blue
16U Boys,83,Back Bay,Back Bay,1,35,-48,84,Classic,Bronze,36,12,3-4,Back Bay
16U Boys,84,Cal Rep,Cal Rep,1,65,-19,83,Classic,Bronze,35,11,3-5,Cal Republic
16U Boys,85,La Jolla United C,La Jolla United,3,55,-30,85,Classic,Bronze,37,13,4-5,La Jolla United C
16U Boys,86,Punahou,Punahou,1,,0,86,Classic,Bronze,38,14,4-4,Punahou
16U Boys,87,Great Lakes Aquatics,Great Lakes Aquatics,1,,0,87,Classic,Bronze,39,15,4-4,Great Lakes Aquatics
16U Boys,88,West Valley,West Valley,1,,0,88,Classic,Bronze,40,16,2-7,West Valley
16U Boys,89,Rise,Rise,1,,0,89,Classic,Bronze,41,17,3-4,Rise
16U Boys,90,Mavericks,Mavericks,1,,0,90,Classic,Bronze,42,18,2-5,Mavericks
16U Boys,91,CVU,CVU,1,,0,91,Classic,Bronze,43,19,2-5,Central Valley United
16U Boys,92,Vegas Patriot,Vegas Patriot,1,,0,92,Classic,Bronze,44,20,1-6,Vegas Patriot
16U Boys,93,Third Coast,Third Coast,1,,0,93,Classic,Bronze,45,21,3-4,Third Coast Aquatics
16U Boys,94,808,808,1,,0,94,Classic,Bronze,46,22,2-5,808
16U Boys,95,New Trier,New Trier,1,,0,95,Classic,Bronze,47,23,1-6,New Trier
16U Boys,96,Mesa,Mesa,1,,0,96,Classic,Bronze,48,24,0-7,Mesa
16U Boys,97,Santa Cruz B,Santa Cruz,2,,0,97,Invitational,Copper,1,1,6-2,Santa Cruz B
16U Boys,98,Rain City,Rain City,1,,0,98,Invitational,Copper,2,2,6-4,Rain City
16U Boys,99,CHAWP B,CHAWP,2,44,-55,99,Invitational,Copper,3,3,5-3,CHAWP Blue
16U Boys,100,Lokahi,Lokahi,1,,0,100,Invitational,Copper,4,4,4-5,Lokahi
18U Boys,1,SD Dons,SD Dons,1,,0,1,Championship,Platinum,1,1,8-1,SD Dons
18U Boys,2,Newport Beach,Newport Beach,1,1,-1,2,Championship,Platinum,2,2,7-2,Newport Beach
18U Boys,3,Lamorinda,Lamorinda,1,6,3,3,Championship,Platinum,3,3,6-1,Lamorinda A
18U Boys,4,Stanford,Stanford,1,10,6,4,Championship,Platinum,4,4,4-3,Stanford Red
18U Boys,5,CC United A,CC United,1,2,-3,5,Championship,Platinum,5,5,5-2,CC United Black
18U Boys,6,San Diego Shores A,San Diego Shores,1,21,15,6,Championship,Platinum,6,6,4-3,SD Shores Black
18U Boys,7,NorCal,NorCal,1,11,4,8,Championship,Platinum,8,8,4-3,Norcal Black
18U Boys,8,La Jolla United A,La Jolla United,1,37,29,7,Championship,Platinum,7,7,5-2,La Jolla United A
18U Boys,9,Atherton,Atherton,1,,0,9,Championship,Platinum,9,9,5-3,Atherton
18U Boys,10,Aetos,Aetos,1,9,-1,10,Championship,Platinum,10,10,4-4,Aetos
18U Boys,11,Pride,Pride,1,,0,11,Championship,Platinum,11,11,5-3,Pride A
18U Boys,12,Trojan,Trojan,1,8,-4,13,Championship,Platinum,13,13,7-2,Trojan Cardinal
18U Boys,13,Greenwich,Greenwich,1,23,10,12,Championship,Platinum,12,12,5-4,Greenwich
18U Boys,14,CIU A,CIU,1,28,14,14,Championship,Platinum,14,14,5-3,Ciu Seniors A
18U Boys,15,Mission,Mission,1,3,-12,16,Championship,Platinum,16,16,3-4,Mission
18U Boys,16,San Francisco,San Francisco,1,27,11,15,Championship,Platinum,15,15,5-3,San Francisco Warriors
18U Boys,17,LA Premier,LA Premier,1,,0,17,Championship,Platinum,17,17,5-4,La Premier A
18U Boys,18,Imperial,Imperial,1,4,-14,18,Championship,Platinum,18,18,4-4,Imperial Blue
18U Boys,19,North Irvine A,North Irvine,1,5,-14,19,Championship,Platinum,19,19,4-4,Vegas North Irvine Black
18U Boys,20,SOCAL,SOCAL,1,7,-13,20,Championship,Platinum,20,20,3-5,Socal
18U Boys,21,CDM,CDM,1,,0,21,Championship,Platinum,21,21,4-4,Corona Del Mar
18U Boys,22,Diablo Alliance,Diablo Alliance,1,33,11,22,Championship,Platinum,22,22,5-3,Diablo Alliance A
18U Boys,23,SHAQ A,SHAQ,1,,0,24,Championship,Platinum,24,24,3-5,SHAQ Blue
18U Boys,24,CIU B,CIU,2,,0,23,Championship,Platinum,23,23,3-5,Ciu Gold
18U Boys,25,Clovis A,Clovis,1,,0,25,Championship,Gold,25,1,6-2,Clovis A
18U Boys,26,Sand Canyon A,Sand Canyon,1,22,-4,27,Championship,Gold,27,3,5-3,Sand Canyon Black
18U Boys,27,American River A,American River,1,36,9,26,Championship,Gold,26,2,7-3,American River Blue
18U Boys,28,Foothill,Foothill,1,38,10,28,Championship,Gold,28,4,4-5,Foothill Red A
18U Boys,29,CT Premier,CT Premier,1,,0,29,Championship,Gold,29,5,4-4,Ct Premier
18U Boys,30,Thunder A,Thunder,1,,0,30,Championship,Gold,30,6,4-5,Texas Thunder North Black
18U Boys,31,LOWPO,LOWPO,1,,0,31,Championship,Gold,31,7,5-3,Lowpo
18U Boys,32,Praetorian,Praetorian,1,,0,32,Championship,Gold,32,8,3-6,Praetorian
18U Boys,33,Vanguard A,Vanguard,1,17,-16,33,Championship,Gold,33,9,4-4,Vanguard Blue
18U Boys,34,SLAP,SLAP,1,,0,34,Championship,Gold,34,10,4-4,Slap
18U Boys,35,WCAC United A,WCAC United,1,,0,35,Championship,Gold,35,11,3-5,Wcac United
18U Boys,36,Kearns,Kearns,1,,0,36,Championship,Gold,36,12,2-6,Kearns
18U Boys,37,Puget Sound,Puget Sound,1,,0,37,Championship,Gold,37,13,4-3,Puget Sound
18U Boys,38,Chicago Park,Chicago Park,1,,0,38,Championship,Gold,38,14,4-4,Chicago Park
18U Boys,39,Longhorn,Longhorn,1,,0,39,Championship,Gold,39,15,3-6,Longhorn
18U Boys,40,Elmhurst A,Elmhurst,1,,0,40,Championship,Gold,40,16,2-7,Elmhurst
18U Boys,41,Thunder B,Thunder,2,,0,41,Championship,Gold,41,17,3-4,Texas Thunder South Blue
18U Boys,42,Swift,Swift,1,,0,42,Championship,Gold,42,18,2-5,Swift
18U Boys,43,Vnited,Vnited,1,,0,43,Championship,Gold,43,19,2-7,Vnited
18U Boys,44,Wolverine,Wolverine,1,,0,44,Championship,Gold,44,20,1-6,Wolverine
18U Boys,45,Pegasus,Pegasus,1,,0,45,Championship,Gold,45,21,3-4,Pegasus Blue
18U Boys,46,Punahou,Punahou,1,,0,46,Championship,Gold,46,22,2-5,Punahou
18U Boys,47,NIPC,NIPC,1,,0,47,Championship,Gold,47,23,1-6,Nipc
18U Boys,48,North Irvine B,North Irvine,2,,0,48,Championship,Gold,48,24,0-7,Vegas North Irvine Red
18U Boys,49,Supreme,Supreme,1,14,-35,50,Classic,Silver,2,2,7-2,Supreme
18U Boys,50,Long Beach Shore,Long Beach Shore,1,32,-18,49,Classic,Silver,1,1,7-0,LB Shore
18U Boys,51,San Jose Express,San Jose Express,1,40,-11,51,Classic,Silver,3,3,6-1,San Jose Express Blue
18U Boys,52,Santa Cruz,Santa Cruz,1,,0,52,Classic,Silver,4,4,6-3,Santa Cruz
18U Boys,53,Rancho Tsunami,Rancho Tsunami,1,13,-40,53,Classic,Silver,5,5,5-2,Tsunami
18U Boys,54,South Coast,South Coast,1,12,-42,55,Classic,Silver,7,7,5-2,South Coast Red
18U Boys,55,SET,SET,1,24,-31,54,Classic,Silver,6,6,4-3,Set
18U Boys,56,San Diego Shores B,San Diego Shores,2,,0,56,Classic,Silver,8,8,4-3,SD Shores Gold
18U Boys,57,Carlsbad,Carlsbad,1,,0,57,Classic,Silver,9,9,5-3,Carlsbad
18U Boys,58,CHAWP,CHAWP,1,43,-15,58,Classic,Silver,10,10,4-4,CHAWP White
18U Boys,59,Clovis B,Clovis,2,,0,59,Classic,Silver,11,11,6-3,Clovis Red
18U Boys,60,Commerce,Commerce,1,20,-40,60,Classic,Silver,12,12,5-4,Commerce
18U Boys,61,SJ Foundation,SJ Foundation,1,,0,61,Classic,Silver,13,13,6-2,San Jose Foundation
18U Boys,62,CVU,CVU,1,,0,62,Classic,Silver,14,14,5-3,Central Valley United
18U Boys,63,ORWP,ORWP,1,19,-44,63,Classic,Silver,15,15,5-3,ORWP
18U Boys,64,Kingsburg,Kingsburg,1,,0,64,Classic,Silver,16,16,3-5,Kingsburg
18U Boys,65,Hieland,Hieland,1,25,-40,65,Classic,Silver,17,17,6-3,Hieland
18U Boys,66,Ohana,Ohana,1,,0,66,Classic,Silver,18,18,4-4,Ohana
18U Boys,67,Rose Bowl,Rose Bowl,1,44,-23,67,Classic,Silver,19,19,3-5,Rose Bowl Red
18U Boys,68,Vanguard B,Vanguard,2,17,-51,69,Classic,Silver,21,21,5-3,Vanguard Silver
18U Boys,69,Clovis C,Clovis,3,,0,68,Classic,Silver,20,20,3-6,Clovis B
18U Boys,70,Rain City,Rain City,1,,0,70,Classic,Silver,22,22,5-3,Rain City
18U Boys,71,Viper Pigeon,Viper Pigeon,1,,0,71,Classic,Silver,23,23,3-5,Viper Pigeon
18U Boys,72,American River B,American River,2,,0,72,Classic,Silver,24,24,2-6,American River Gold
18U Boys,73,CV Premier,CV Premier,1,,0,73,Classic,Bronze,25,1,6-3,Chula Vista Premier
18U Boys,74,West Valley,West Valley,1,,0,74,Classic,Bronze,26,2,5-3,West Valley
18U Boys,75,Alameda,Alameda,1,39,-36,75,Classic,Bronze,27,3,5-3,Alameda
18U Boys,76,Asphalt Green,Asphalt Green,1,,0,76,Classic,Bronze,28,4,4-5,Asphalt Green
18U Boys,77,LV Legends,LV Legends,1,,0,77,Classic,Bronze,29,5,6-3,Lv Legends
18U Boys,78,Navy,Navy,1,,0,78,Classic,Bronze,30,6,4-5,Navy
18U Boys,79,Chargers,Chargers,1,,0,79,Classic,Bronze,31,7,4-5,Chargers Black
18U Boys,80,Farallon,Farallon,1,,0,80,Classic,Bronze,32,8,3-5,Farallon
18U Boys,81,La Jolla United B,La Jolla United,2,37,-44,81,Classic,Bronze,33,9,4-4,La Jolla United B
18U Boys,82,Albuquerque,Albuquerque,1,,0,82,Classic,Bronze,34,10,3-5,Albuquerque
18U Boys,83,Third Coast,Third Coast,1,,0,83,Classic,Bronze,35,11,4-4,Third Coast
18U Boys,84,Moose,Moose,1,,0,84,Classic,Bronze,36,12,3-5,Moose
18U Boys,85,CC United B,CC United,2,,0,85,Classic,Bronze,37,13,4-5,CC United Blue
18U Boys,86,Newberg,Newberg,1,,0,86,Classic,Bronze,38,14,4-4,Newberg
18U Boys,87,Mid Pen,Mid Pen,1,,0,87,Classic,Bronze,39,15,3-6,Mid Pen
18U Boys,88,Sand Canyon B,Sand Canyon,2,15,-73,88,Classic,Bronze,40,16,2-5,Sand Canyon Red
18U Boys,89,Topaz Tsunami,Topaz Tsunami,1,,0,89,Classic,Bronze,41,17,3-4,Topaz Tsunami
18U Boys,90,Elmhurst B,Elmhurst,2,,0,90,Classic,Bronze,42,18,2-5,Elmhurst
18U Boys,91,Aquatex,Aquatex,1,,0,91,Classic,Bronze,43,19,2-5,Aquatex
18U Boys,92,Mesa,Mesa,1,,0,92,Classic,Bronze,44,20,1-8,Mesa
18U Boys,93,SHAQ B,SHAQ,2,,0,93,Classic,Bronze,45,21,2-5,SHAQ White
18U Boys,94,WCAC United B,WCAC United,2,,0,94,Classic,Bronze,46,22,2-5,Wcac United B
18U Boys,95,Cincinnati Marlins,Cincinnati Marlins,1,,0,96,Classic,Bronze,48,24,1-6,Cincinnati Marlins
18U Boys,96,Norco,Norco,1,,0,95,Classic,Bronze,47,23,1-6,Norco
18U Boys,97,TSM,TSM,1,18,-79,97,Invitational,Copper,1,1,See completed 18U Invite results,Team Santa Monica
18U Boys,98,Sacramento,Sacramento,1,,0,98,Invitational,Copper,2,2,See completed 18U Invite results,Sacramento
18U Boys,99,SFV,SFV,1,42,-57,99,Invitational,Copper,3,3,See completed 18U Invite results,SFV
18U Boys,100,Yeti,Yeti,1,45,-55,100,Invitational,Copper,4,4,See completed 18U Invite results,Yeti
