group,postRank,team,club,teamDepth,preRank,movement,joDerivedRank,joDivision,joSubdivision,joDivisionFinish,joSubdivisionFinish,latestTournamentRecord,sourceTeam
12U Boys,53,OCWPC A,OCWPC,1,29,-24,53,Classic,Silver,5,5,6-2,OCWPC Blue
12U Boys,54,CC United B,CC United,2,48,-6,54,Classic,Silver,6,6,5-3,CC United Blue
12U Boys,55,Carlsbad A,Carlsbad,1,22,-33,55,Classic,Silver,7,7,6-2,Carlsbad A
12U Boys,56,CHAWP,CHAWP,1,80,24,56,Classic,Silver,8,8,5-3,CHAWP
12U Boys,57,San Clemente B,San Clemente,2,58,1,57,Classic,Silver,9,9,7-1,San Clemente Black
12U Boys,58,Route 66,Route 66,1,,0,58,Classic,Silver,10,10,6-2,Route 66
12U Boys,59,SD ECA,SD ECA,1,39,-20,59,Classic,Silver,11,11,6-3,ECA
12U Boys,60,Back Bay,Back Bay,1,26,-34,60,Classic,Silver,12,12,4-3,Back Bay
12U Boys,61,Trojan A,Trojan,1,24,-37,61,Classic,Silver,13,13,5-2,Trojan Cardinal
12U Boys,62,Newport Beach B,Newport Beach,2,40,-22,62,Classic,Silver,14,14,4-3,Newport Beach White
12U Boys,63,Asphalt Green,Asphalt Green,1,,0,63,Classic,Silver,15,15,4-4,Asphalt Green
12U Boys,64,Laguna Beach,Laguna Beach,1,62,-2,64,Classic,Silver,16,16,3-4,Laguna Beach
12U Boys,65,CMAC,CMAC,1,53,-12,65,Classic,Silver,17,17,6-2,Cmac
12U Boys,66,Patriot B,Patriot,2,,0,66,Classic,Silver,18,18,5-4,Patriot Red
12U Boys,67,SJ Foundation,SJ Foundation,1,34,-33,67,Classic,Silver,19,19,4-4,San Jose Foundation Black
12U Boys,68,Long Beach Shore,Long Beach Shore,1,32,-36,68,Classic,Silver,20,20,3-5,LB Shore
12U Boys,69,NorCal,NorCal,1,60,-9,69,Classic,Silver,21,21,5-4,Norcal Black
12U Boys,70,Whittier,Whittier,1,55,-15,70,Classic,Silver,22,22,3-4,Whittier
12U Boys,71,CIU A,CIU,1,65,-6,71,Classic,Silver,23,23,3-5,Ciu Gold
12U Boys,72,CIU B,CIU,2,76,4,72,Classic,Silver,24,24,2-6,Ciu Black
12U Boys,73,Lamorinda B,Lamorinda,2,,0,73,Classic,Bronze,25,1,7-2,Lamorinda B
