group,rank,current_team,current_slug,current_club,current_club_slug,issue_types,same_group_possible_duplicate_matches,same_club_other_teams_in_group,recommended_action,decision,canonical_team_name,canonical_team_slug,canonical_club,canonical_club_slug,merge_into_existing_slug,keep_separate,notes
12U Boys,45,SHAQ Blue,shaq-blue,SHAQ,shaq,possible_duplicate_team_name|same_club_depth_collision|same_club_multiple_teams_in_group,SHAQ White #61 (shaq-white),SHAQ White #61 depth=1,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,,,,,,,,
12U Boys,46,Mission B,mission-b-12u-boys,Mission,mission,possible_duplicate_team_name|same_club_multiple_teams_in_group,Mission A #1 (mission-a-12u-boys),Mission A #1 depth=1,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,,,,,,,,
12U Boys,48,CC United Blue,cc-united-blue,CC United,cc-united,possible_duplicate_team_name|same_club_multiple_teams_in_group,CC United #6 (cc-united-12u-boys),CC United #6 depth=1,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,,,,,,,,
12U Boys,49,Yolo Black,yolo-black,Yolo,yolo,official_logo_needed|possible_duplicate_team_name|same_club_depth_collision|same_club_multiple_teams_in_group,Yolo #52 (yolo),Yolo #52 depth=1,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Collect official logo screenshot/source when available.,,,,,,,,
12U Boys,50,680 White,680-white,680,680,possible_duplicate_team_name|same_club_depth_collision|same_club_multiple_teams_in_group|team_name_suggests_b_but_depth_primary,680 A #18 (680-a-12u-boys); 680 Red #44 (680-red); 680 Blue #72 (680-blue),680 A #18 depth=1; 680 Red #44 depth=1; 680 Blue #72 depth=2,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,,,,,,,,
12U Boys,52,Yolo,yolo,Yolo,yolo,official_logo_needed|possible_duplicate_team_name|same_club_depth_collision|same_club_multiple_teams_in_group,Yolo Black #49 (yolo-black),Yolo Black #49 depth=1,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming. Collect official logo screenshot/source when available.,,,,,,,,
12U Boys,57,SD Dons Black,sd-dons-black,SD Dons,sd-dons,possible_duplicate_team_name|same_club_depth_collision|same_club_multiple_teams_in_group,SD Dons A #3 (sd-dons-a-12u-boys); SD Dons B #37 (sd-dons-b-12u-boys); SD Dons Gold #64 (sd-dons-gold),SD Dons A #3 depth=1; SD Dons B #37 depth=2; SD Dons Gold #64 depth=1,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,,,,,,,,
12U Boys,58,San Clemente Red,san-clemente-red-12u-boys,San Clemente,san-clemente,possible_duplicate_team_name|same_club_multiple_teams_in_group,San Clemente #9 (san-clemente-12u-boys),San Clemente #9 depth=1,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,,,,,,,,
12U Boys,61,SHAQ White,shaq-white,SHAQ,shaq,possible_duplicate_team_name|same_club_depth_collision|same_club_multiple_teams_in_group|team_name_suggests_b_but_depth_primary,SHAQ Blue #45 (shaq-blue),SHAQ Blue #45 depth=1,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,,,,,,,,
12U Boys,64,SD Dons Gold,sd-dons-gold,SD Dons,sd-dons,possible_duplicate_team_name|same_club_depth_collision|same_club_multiple_teams_in_group,SD Dons A #3 (sd-dons-a-12u-boys); SD Dons B #37 (sd-dons-b-12u-boys); SD Dons Black #57 (sd-dons-black),SD Dons A #3 depth=1; SD Dons B #37 depth=2; SD Dons Black #57 depth=1,Review whether this is a true separate team or alias merge. Confirm A/B/C/color team hierarchy and canonical naming.,,,,,,,,
