group,ranked_teams,clubs,quiksilver_review_rows,possible_duplicate_team_name,same_club_multiple_teams,same_club_depth_collision,low_games_high_rank_review,official_logo_needed,manual_or_identity_review
12U Boys,85,61,20,36,42,34,0,17,16
12U Girls,38,31,0,13,13,0,0,2,2
14U Boys,106,79,22,52,47,0,0,27,0
14U Girls,77,64,12,22,24,3,0,23,13
16U Boys,82,62,78,34,34,16,0,22,6
16U Girls,36,32,21,6,8,0,0,7,4
18U Boys,45,39,34,11,11,3,0,7,6
18U Girls,37,32,31,9,9,0,0,6,3
