DATE,TIME,LOCATION,GAME ID,WHITE TEAM,S,DARK TEAM,S,COMMENTS,DIVISION
31-Jan,8:00 AM,SAN JUAN HILLS HS,19Bau01,A2-CLOVIS BLACK,14,A3-LA JOLLA UNITED GOLD,12,W/L A2/A3,19U_BOYS_GOLD
31-Jan,9:00 AM,SAN JUAN HILLS HS,19Bau02,A1-HIELAND,7,A4-VANGUARD SILVER,6,W/L A1/A4,19U_BOYS_GOLD
31-Jan,10:00 AM,SAN JUAN HILLS HS,19Bau03,C2-MISSION WPC,16,C3-MARIN,5,W/L C2/C3,19U_BOYS_GOLD
31-Jan,11:00 AM,SAN JUAN HILLS HS,19Bau04,C1-NORTHWEST,6.2,C4-AMERICAN RIVER GOLD,6.3,W/L C1/C4,19U_BOYS_GOLD
31-Jan,12:00 PM,SAN JUAN HILLS HS,19Bau05,L#1-LA JOLLA UNITED GOLD,10,L#2-VANGUARD SILVER,12,3rd/4thA,19U_BOYS_GOLD
31-Jan,1:00 PM,SAN JUAN HILLS HS,19Bau06,W#1-CLOVIS BLACK,9,W#2-HIELAND,13,1st/2ndA,19U_BOYS_GOLD
31-Jan,1:00 PM,WESTMINSTER HS,19Bau09,D1-BIG VALLEY,17,D4-WCAC UNITED,16,W/L D1/D4,19U_BOYS_GOLD
31-Jan,2:00 PM,WESTMINSTER HS,19Bau10,D2-SET,7,D3-LONGHORN,13,W/L D2/D3,19U_BOYS_GOLD
31-Jan,2:00 PM,SAN JUAN HILLS HS,19Bau11,B2-ORANGE COUNTY WPC BLUE,11,B3-FARALLON,4,W/L B2/B3,19U_BOYS_GOLD
31-Jan,3:00 PM,SAN JUAN HILLS HS,19Bau12,B1-MID PEN,12,B4-PASADENA AC,5,W/L B1/B4,19U_BOYS_GOLD
31-Jan,4:00 PM,SAN JUAN HILLS HS,19Bau07,L#3-MARIN,6,L#4-NORTHWEST,10,3rd/4thC,19U_BOYS_GOLD
31-Jan,5:00 PM,SAN JUAN HILLS HS,19Bau08,W#3-MISSION WPC,8,W#4-AMERICAN RIVER GOLD,6,1st/2ndC,19U_BOYS_GOLD
31-Jan,5:00 PM,EDISON HS,19Bau13,L#9-WCAC UNITED,8,L#10-SET,16,3rd/4thD,19U_BOYS_GOLD
31-Jan,6:00 PM,EDISON HS,19Bau14,W#9-BIG VALLEY,7,W#10-LONGHORN,13,1st/2ndD,19U_BOYS_GOLD
31-Jan,6:00 PM,SAN JUAN HILLS HS,19Bau15,L#11-FARALLON,12,L#12-PASADENA AC,7,3rd/4thB,19U_BOYS_GOLD
31-Jan,7:00 PM,SAN JUAN HILLS HS,19Bau16,W#11-ORANGE COUNTY WPC BLUE,10,W#12-MID PEN,7,1st/2ndB,19U_BOYS_GOLD
1-Feb,10:00 AM,ESTANCIA HS 1,19Bau29,4thD-WCAC UNITED,13,4thA-LA JOLLA UNITED GOLD,10,13-16 semi,19U_BOYS_GOLD
1-Feb,11:00 AM,ESTANCIA HS 1,19Bau30,4thC-MARIN,11,4thB-PASADENA AC,13,13-16 semi,19U_BOYS_GOLD
1-Feb,12:00 PM,ESPERANZA HS,19Bau27,3rdA-VANGUARD SILVER,10,3rdD-SET,17,9-12 semi 3A/3D,19U_BOYS_GOLD
1-Feb,1:00 PM,ESPERANZA HS,19Bau28,3rdB-FARALLON,9,3rdC-NORTHWEST,10,9-12 semi 3B/3C,19U_BOYS_GOLD
1-Feb,1:00 PM,FULLERTON COLLEGE,19Bau21,2ndD-BIG VALLEY,12,2ndA-CLOVIS BLACK,6,5-8 semi 2D/2A,19U_BOYS_GOLD
1-Feb,1:00 PM,YORBA LINDA HS,19Bau22,2ndC-AMERICAN RIVER GOLD,8,2ndB-MID PEN,6,5-8 semi 2C/2B,19U_BOYS_GOLD
1-Feb,2:00 PM,FULLERTON COLLEGE,19Bau19,1stA-HIELAND,2,1stD-LONGHORN,14,1-4 semi 1A/1D,19U_BOYS_GOLD
1-Feb,2:00 PM,ESTANCIA HS 1,19Bau34,W#29-WCAC UNITED,20,W#30-PASADENA AC,9,13th,19U_BOYS_GOLD
1-Feb,3:00 PM,FULLERTON COLLEGE,19Bau20,1stB-ORANGE COUNTY WPC BLUE,6.5,1stC-MISSION WPC,6.6,1-4 semi 1B/1C,19U_BOYS_GOLD
1-Feb,3:00 PM,ESTANCIA HS 1,19Bau33,L#29-LA JOLLA UNITED GOLD,25,L#30-MARIN,11,15th,19U_BOYS_GOLD
1-Feb,4:00 PM,FULLERTON COLLEGE,19Bau25,W#21-BIG VALLEY,18,W#22-AMERICAN RIVER GOLD,6,5th,19U_BOYS_GOLD
1-Feb,5:00 PM,FULLERTON COLLEGE,19Bau26,L#21-CLOVIS BLACK,8,L#22-MID PEN,6,7th,19U_BOYS_GOLD
1-Feb,5:00 PM,COSTA MESA HS 1,19Bau31,W#27-SET,8.4,W#28-NORTHWEST,8.3,9th,19U_BOYS_GOLD
1-Feb,5:00 PM,TUSTIN HS 1,19Bau32,L#27-VANGUARD SILVER,7,L#28-FARALLON,6,11th,19U_BOYS_GOLD
1-Feb,6:00 PM,WOOLLETT NEAR RIGHT,19Bau23,L#19-HIELAND,9,L#20-ORANGE COUNTY WPC BLUE,10,3rd,19U_BOYS_GOLD
1-Feb,6:00 PM,WOOLLETT NEAR LEFT,19Bau24,W#19-LONGHORN,12,W#20-MISSION WPC,9,1st,19U_BOYS_GOLD
