DATE,TIME,LOCATION,GAME ID,WHITE TEAM,S,DARK TEAM,S,COMMENTS,DIVISION
1-Feb,10:20 AM,LAGUNA HILLS HS,14Bau43,P1(3rdF)-BOA,6,P4(4thH)-SOUTH COAST WHITE (B),11,W/L P,14U_BOYS_GOLD
1-Feb,11:10 AM,ESPERANZA HS,14Bau34,M2(2ndF)-CT PREMIER,12,M3(2ndG)-LAMORINDA B,14,9th16th,14U_BOYS_GOLD
1-Feb,11:10 AM,ESTANCIA HS 2,14Bau37,W#27-SHORE AQUATICS,14,W#28-NORTHWEST,3,1st/2ndJ,14U_BOYS_GOLD
1-Feb,11:10 AM,LAGUNA HILLS HS,14Bau44,P2(3rdB)-LA JOLLA UNITED GOLD,14,P3(4thD)-STANFORD BLACK,3,W/L P,14U_BOYS_GOLD
1-Feb,12:00 PM,ESTANCIA HS 2,14Bau38,W#29-MISSION WPC B,10,W#30-VANGUARD SILVER,3,1st/2ndK,14U_BOYS_GOLD
1-Feb,12:00 PM,LAGUNA HILLS HS,14Bau49,N1(3rdA)-HONOLULU BLUE,6,N2(3rdG)-SD ECA,9,N bracket,14U_BOYS_GOLD
1-Feb,12:50 PM,ESTANCIA HS 2,14Bau39,L#27-SAN CLEMENTE RED,13,L#28-BACK BAY,11,3rd/4thJ,14U_BOYS_GOLD
1-Feb,12:50 PM,LAGUNA HILLS HS,14Bau46,O1(3rdE)-FOOTHILL RED,10,O2(3rdC)-STANFORD 13,3,O bracket,14U_BOYS_GOLD
1-Feb,1:40 PM,ESTANCIA HS 2,14Bau40,L#29-HIELAND,4,L#30-680 BLUE,11,3rd/4thK,14U_BOYS_GOLD
1-Feb,1:40 PM,LAGUNA HILLS HS,14Bau47,W#43-SOUTH COAST WHITE (B),5.2,W#44-LA JOLLA UNITED GOLD,5,1st/2ndP,14U_BOYS_GOLD
1-Feb,2:00 PM,ESPERANZA HS,14Bau51,W#31-NORTH IRVINE RED,5,W#32-LAWPC,11,1st/2ndL,14U_BOYS_GOLD
1-Feb,2:30 PM,ESTANCIA HS 2,14Bau35,Q1(2ndJ)-NORTHWEST,13,Q2(2ndK)-VANGUARD SILVER,14,overall 3rd,14U_BOYS_GOLD
1-Feb,2:30 PM,LAGUNA HILLS HS,14Bau48,L#43-BOA,11,L#44-STANFORD BLACK,12,3rd/4thP,14U_BOYS_GOLD
1-Feb,2:50 PM,ESPERANZA HS,14Bau52,L#31-PRIDE RED,8,L#32-DAVIS,13,3rd/4thL,14U_BOYS_GOLD
1-Feb,3:20 PM,ESTANCIA HS 2,14Bau36,R1(1stJ)-SHORE AQUATICS,6,R2(1stK)-MISSION WPC B,7,overall 1st,14U_BOYS_GOLD
1-Feb,3:20 PM,LAGUNA HILLS HS,14Bau45,N2(3rdG)-SD ECA,8,N3(3rdH)-PATRIOT RED,9,N bracket,14U_BOYS_GOLD
1-Feb,3:40 PM,ESPERANZA HS,14Bau53,W#33-CC UNITED BLUE,13,W#34-LAMORINDA B,14,1st/2ndM,14U_BOYS_GOLD
1-Feb,4:10 PM,LAGUNA HILLS HS,14Bau50,O2(3rdC)-STANFORD 13,7,O3(3rdD)-AMERICAN RIVER BLUE,9,O bracket,14U_BOYS_GOLD
1-Feb,4:30 PM,ESPERANZA HS,14Bau54,L#33-SHAQ WHITE,13.4,L#34-CT PREMIER,13.2,3rd/4thM,14U_BOYS_GOLD
