DATE,TIME,LOCATION,GAME ID,WHITE TEAM,S,DARK TEAM,S,COMMENTS,DIVISION
31-Jan,7:00 AM,EL TORO HS 1,14Bpt12,D1-LA JOLLA UNITED NAVY,16,D3-STANFORD RED,7,D bracket,14U_BOYS_PLATINUM
31-Jan,7:50 AM,EL TORO HS 1,14Bpt13,B1-NORCAL,11,B3-NORTH IRVINE BLACK,3,B bracket,14U_BOYS_PLATINUM
31-Jan,8:40 AM,EL TORO HS 1,14Bpt09,A2-680 RED,10.2,A3-TROJAN CARDINAL,10.3,A bracket,14U_BOYS_PLATINUM
31-Jan,9:30 AM,EL TORO HS 1,14Bpt07,6-PATRIOT NAVY,17,19-ROUTE 66 AQUATICS,8,W/L F,14U_BOYS_PLATINUM
31-Jan,10:20 AM,EL TORO HS 1,14Bpt08,7-LA PREMIER,14,18-SHAQ BLUE,7,W/L F,14U_BOYS_PLATINUM
31-Jan,11:10 AM,EL TORO HS 1,14Bpt03,A1-MISSION WPC A,12,A2-680 RED,4,A bracket,14U_BOYS_PLATINUM
31-Jan,11:10 AM,TUSTIN HS 1,14Bpt14,C1-VANGUARD BLUE,9,C3-SOUTH COAST RED (A),7,C bracket,14U_BOYS_PLATINUM
31-Jan,12:00 PM,EL TORO HS 1,14Bpt01,3-CHANNEL ISLANDS UNITED GOLD,16,20-DEVIL'S GATE,7,W/L E,14U_BOYS_PLATINUM
31-Jan,12:00 PM,TUSTIN HS 1,14Bpt15,D2-PRIDE BLACK,9,D3-STANFORD RED,8,D bracket,14U_BOYS_PLATINUM
31-Jan,12:50 PM,EL TORO HS 1,14Bpt02,10-CC UNITED BLACK,7,15-ORANGE COUNTY WPC BLUE,9,W/L E,14U_BOYS_PLATINUM
31-Jan,12:50 PM,TUSTIN HS 1,14Bpt16,B2-PALOS VERDES A,9,B3-NORTH IRVINE BLACK,4,B bracket,14U_BOYS_PLATINUM
31-Jan,1:40 PM,EL TORO HS 1,14Bpt10,W#7-PATRIOT NAVY,8,W#8-LA PREMIER,7,1st/2ndF,14U_BOYS_PLATINUM
