DATE,TIME,LOCATION,GAME ID,WHITE TEAM,S,DARK TEAM,S,COMMENTS,DIVISION
31-Jan,7:50 AM,SAN CLEMENTE HS,14Bag01,A1-POWAY VALLEY BLACK,11,A3-SAN CLEMENTE BLACK,8,"A bracket A1,A3",14U_BOYS_SILVER
31-Jan,8:40 AM,ESPERANZA HS,14Bag02,D1-SAND CANYON,12,D3-PALOS VERDES B,3,"D bracket D1,D3",14U_BOYS_SILVER
31-Jan,8:40 AM,SAN CLEMENTE HS,14Bag03,B1-SAN FRANCISCO,14,B3-SOUTH COAST BLUE (C),3,"B bracket B1,B3",14U_BOYS_SILVER
31-Jan,9:30 AM,ESPERANZA HS,14Bag04,E1-GOLD COAST,14,E3-CC UNITED WHITE,1,"E bracket E1,E3",14U_BOYS_SILVER
31-Jan,9:30 AM,SAN CLEMENTE HS,14Bag05,C1-PASADENA AC,8,C3-ORANGE COUNTY WPC RED,5,"C bracket C1,C3",14U_BOYS_SILVER
31-Jan,10:20 AM,ESPERANZA HS,14Bag06,F1-SET,6,F3-680 WHITE,11,"F bracket F1,F3",14U_BOYS_SILVER
31-Jan,11:10 AM,SAN CLEMENTE HS,14Bag07,A2-LOYOLA WPC,11,A3-SAN CLEMENTE BLACK,4,"A bracket A2,A3",14U_BOYS_SILVER
31-Jan,11:10 AM,ESPERANZA HS,14Bag08,D2-AMERICAN RIVER GOLD,2,D3-PALOS VERDES B,8,"D bracket D2,D3",14U_BOYS_SILVER
31-Jan,12:00 PM,SAN CLEMENTE HS,14Bag09,B2-TROJAN GOLD,5,B3-SOUTH COAST BLUE (C),7,"B bracket B2,B3",14U_BOYS_SILVER
31-Jan,12:00 PM,ESPERANZA HS,14Bag10,E2-HONOLULU GREEN,10,E3-CC UNITED WHITE,6,"E bracket E2,E3",14U_BOYS_SILVER
31-Jan,12:50 PM,SAN CLEMENTE HS,14Bag11,C2-TRITON GOLD,1,C3-ORANGE COUNTY WPC RED,9,"C bracket C2,C3",14U_BOYS_SILVER
31-Jan,12:50 PM,ESPERANZA HS,14Bag12,F2-NADO,11.3,F3-680 WHITE,11.4,"F bracket F2,F3",14U_BOYS_SILVER
31-Jan,1:40 PM,ESPERANZA HS,14Bag14,D1-SAND CANYON,17,D2-AMERICAN RIVER GOLD,6,"D bracket D1,D2",14U_BOYS_SILVER
31-Jan,2:30 PM,SAN CLEMENTE HS,14Bag13,A1-POWAY VALLEY BLACK,14,A2-LOYOLA WPC,4,"A bracket A1,A2",14U_BOYS_SILVER
31-Jan,2:30 PM,ESPERANZA HS,14Bag16,E1-GOLD COAST,14,E2-HONOLULU GREEN,2,"E bracket E1,E2",14U_BOYS_SILVER
31-Jan,3:20 PM,SAN CLEMENTE HS,14Bag15,B1-SAN FRANCISCO,18,B2-TROJAN GOLD,5,"B bracket B1,B2",14U_BOYS_SILVER
31-Jan,3:20 PM,ESPERANZA HS,14Bag18,F1-SET,6,F2-NADO,14,"F bracket F1,F2",14U_BOYS_SILVER
31-Jan,4:10 PM,SAN CLEMENTE HS,14Bag17,C1-PASADENA AC,16,C2-TRITON GOLD,3,"C bracket C1,C2",14U_BOYS_SILVER
1-Feb,7:00 AM,TUSTIN HS 1,14Bag26,K1(2ndC)-ORANGE COUNTY WPC RED,3,K3(2ndA)-LOYOLA WPC,7,7th-12th,14U_BOYS_SILVER
1-Feb,7:00 AM,EL TORO HS 1,14Bag28,M1(3rdA)-SAN CLEMENTE BLACK,14,M3(3rdC)-TRITON GOLD,6,13th-18th,14U_BOYS_SILVER
1-Feb,7:00 AM,LAGUNA HILLS HS,14Bag30,N1(3rdD)-AMERICAN RIVER GOLD,5.1,N3(3rdF)-SET,5.3,13th-18th,14U_BOYS_SILVER
1-Feb,7:50 AM,COSTA MESA HS 1,14Bag19,G1(1stA)-POWAY VALLEY BLACK,8,G2(1stB)-SAN FRANCISCO,5,1st-6th,14U_BOYS_SILVER
1-Feb,8:40 AM,COSTA MESA HS 1,14Bag21,H1(1stD)-SAND CANYON,11,H2(1stE)-GOLD COAST,14,1st-6th,14U_BOYS_SILVER
1-Feb,9:30 AM,COSTA MESA HS 1,14Bag23,J1(2ndF)-NADO,16,J2(2ndE)-HONOLULU GREEN,11,7th-12th,14U_BOYS_SILVER
1-Feb,9:30 AM,TUSTIN HS 1,14Bag32,K2(2ndB)-SOUTH COAST BLUE (C),2,K3(2ndA)-LOYOLA WPC,8,7th-12th,14U_BOYS_SILVER
1-Feb,9:30 AM,EL TORO HS 1,14Bag34,M2(3rdB)-TROJAN GOLD,11,M3(3rdC)-TRITON GOLD,10,13th-18th,14U_BOYS_SILVER
1-Feb,9:30 AM,LAGUNA HILLS HS,14Bag36,N2(3rdE)-CC UNITED WHITE,7,N3(3rdF)-SET,6,13th-18th,14U_BOYS_SILVER
