DATE,TIME,LOCATION,GAME ID,WHITE TEAM,S,DARK TEAM,S,COMMENTS,DIVISION
31-Jan,1:00 PM,WOOLLETT NEAR RIGHT,19Bpt19,L#14-CC UNITED BLUE,6,L#15-SAN JOSE EXPRESS BLUE,7,3rd/4thG,19U_BOYS_PLATINUM
31-Jan,2:00 PM,WOOLLETT NEAR LEFT,19Bpt06,W#2-AMERICAN RIVER BLUE,11.4,W#3-SAND CANYON,11.3,1st/2nd D,19U_BOYS_PLATINUM
31-Jan,2:00 PM,WOOLLETT NEAR RIGHT,19Bpt24,E2(15)-VANGUARD BLUE,14,E3(18)-CHULA VISTA PREMIER,7,"E bracket E2,E3",19U_BOYS_PLATINUM
31-Jan,3:00 PM,WOOLLETT NEAR LEFT,19Bpt10,B2(13)-IMPERIAL BLUE,11.8,B3(20)-BERKELEY WPC,11.7,"B bracket B2,B3",19U_BOYS_PLATINUM
31-Jan,3:00 PM,WOOLLETT NEAR RIGHT,19Bpt25,F2(14)-SHADOW MEN,8,F3(19)-FOOTHILL RED,16,"F bracket F2,F3",19U_BOYS_PLATINUM
31-Jan,4:00 PM,WOOLLETT NEAR LEFT,19Bpt11,C1(5)-LA JOLLA UNITED NAVY,12,C2(12)-SANTA CRUZ,3,"C bracket C1,C2",19U_BOYS_PLATINUM
31-Jan,4:00 PM,WOOLLETT NEAR RIGHT,19Bpt20,W#16-TROJAN,4,W#17-RIVERSIDE,15,1st/2nd H,19U_BOYS_PLATINUM
31-Jan,5:00 PM,WOOLLETT NEAR LEFT,19Bpt07,A1(1)-CC UNITED BLACK,21,A2(16)-POWAY VALLEY BLACK,14,"A bracket A1,A2",19U_BOYS_PLATINUM
31-Jan,5:00 PM,WOOLLETT NEAR RIGHT,19Bpt21,L#16-FOOTHILL BLACK,6,L#17-SHAQ,15,3rd/4th H,19U_BOYS_PLATINUM
31-Jan,6:00 PM,WOOLLETT NEAR LEFT,19Bpt12,B1(4)-SD SHORES BLACK,12,B2(13)-IMPERIAL BLUE,11,"B bracket B1,B2",19U_BOYS_PLATINUM
31-Jan,6:00 PM,WOOLLETT NEAR RIGHT,19Bpt26,E1(2)-LAMORINDA A,16,E2(15)-VANGUARD BLUE,8,"E bracket E1,E2",19U_BOYS_PLATINUM
31-Jan,7:00 PM,WOOLLETT NEAR LEFT,19Bpt13,C2(12)-SANTA CRUZ,11,C3(21)-NORTH IRVINE BLACK,9,"C bracket C2,C3",19U_BOYS_PLATINUM
31-Jan,7:00 PM,WOOLLETT NEAR RIGHT,19Bpt27,F1(3)-NORCAL,15,F2(14)-SHADOW MEN,9,"F bracket F1,F2",19U_BOYS_PLATINUM
1-Feb,7:00 AM,WOOLLETT NEAR LEFT,19Bpt39,O2(3rdC)-NORTH IRVINE BLACK,16,O2(3rdD)-SOUTH COAST RED (A),9,W/L O,19U_BOYS_PLATINUM
1-Feb,8:00 AM,WOOLLETT NEAR LEFT,19Bpt28,J1(1stA)-CC UNITED BLACK,12,J4(1stD)-AMERICAN RIVER BLUE,6,1st-8th,19U_BOYS_PLATINUM
1-Feb,8:00 AM,YORBA LINDA HS,19Bpt48,N1(3rdA)-LV LEGENDS,11,N2(3rdG)-SAN JOSE EXPRESS BLUE,10,N bracket,19U_BOYS_PLATINUM
1-Feb,9:00 AM,WOOLLETT NEAR LEFT,19Bpt29,J2(1stB)-BERKELEY WPC,8,J3(1stC)-LA JOLLA UNITED NAVY,15,1st-8th,19U_BOYS_PLATINUM
1-Feb,9:00 AM,YORBA LINDA HS,19Bpt38,O1(3rdE)-CHULA VISTA PREMIER,8,O3(4thG)-CC UNITED BLUE,14,W/L O,19U_BOYS_PLATINUM
1-Feb,9:00 AM,EDISON HS,19Bpt49,L1(2ndA)-POWAY VALLEY BLACK,12,L4(2ndD)-SAND CANYON,13,9th16th L1/L4,19U_BOYS_PLATINUM
1-Feb,10:00 AM,WOOLLETT NEAR LEFT,19Bpt30,K1(1stE)-LAMORINDA A,15,K4(1stH)-RIVERSIDE,11,1st-8th,19U_BOYS_PLATINUM
1-Feb,10:00 AM,YORBA LINDA HS,19Bpt40,P1(3rdF)-SHADOW MEN,20,P3(4thH)-FOOTHILL BLACK,14,W/L P,19U_BOYS_PLATINUM
1-Feb,10:00 AM,EDISON HS,19Bpt50,L2(2ndB)-SD SHORES BLACK,8,L3(2ndC)-SANTA CRUZ,7,9th16th L2/L3,19U_BOYS_PLATINUM
