DATE,TIME,LOCATION,GAME ID,WHITE TEAM,S,DARK TEAM,S,COMMENTS,DIVISION,SORTKEY
5-Oct,1:40 PM,BECKMAN HS 2,10Cptau14,D2(3rdB)-680 RED au,17,D3(3rdC)-TSUNAMI au,1,D bracket (7th-9th),10U_COED_PLATINUM_&_GOLD,202510051340
5-Oct,3:20 PM,WOOLLETT FAR LEFT,10Cptau17,E1(2ndA)-LONG BEACH VIKING au,10,E2(2ndB)-LAMORINDA au,13,E bracket (4th-6th),10U_COED_PLATINUM_&_GOLD,202510051520
5-Oct,4:10 PM,BECKMAN HS 2,10Cptau16,D1(3rdA)-SOUTH COAST RED au,5,D2(3rdB)-680 RED au,16,D bracket (7th-9th),10U_COED_PLATINUM_&_GOLD,202510051610
5-Oct,4:10 PM,WOOLLETT FAR LEFT,10Cptau18,F1(1stA)-NBWP BLUE COED pt,15,F2(1stB)-NORTH IRVINE BLACK COED pt,2,F bracket (1st-3rd),10U_COED_PLATINUM_&_GOLD,202510051610
4-Oct,7:00 AM,BECKMAN HS 2,10B01,C2-908 YELLOW,20,C3-NBWP WHITE,4,C bracket,10U_BOYS,202510040700
4-Oct,7:50 AM,BECKMAN HS 2,10B02,B1-SOCAL,8,B3-SAN CLEMENTE RED,14,B bracket,10U_BOYS,202510040750
4-Oct,8:40 AM,BECKMAN HS 2,10B03,A2-STANFORD RED,10,A3-CDM,7,A bracket,10U_BOYS,202510040840
4-Oct,11:10 AM,BECKMAN HS 2,10B04,C1-CCU BLACK,15,C3-NBWP WHITE,6,C bracket,10U_BOYS,202510041110
4-Oct,12:00 PM,BECKMAN HS 2,10B05,B1-SOCAL,9,B2-ORWP,4,B bracket,10U_BOYS,202510041200
4-Oct,12:50 PM,BECKMAN HS 2,10B06,A1-DEL MAR BLUE,16,A3-CDM,10,A bracket,10U_BOYS,202510041250
4-Oct,3:20 PM,BECKMAN HS 2,10B07,C1-CCU BLACK,7,C2-908 YELLOW,17,C bracket,10U_BOYS,202510041520
4-Oct,4:10 PM,BECKMAN HS 2,10B08,B2-ORWP,7,B3-SAN CLEMENTE RED,11,B bracket,10U_BOYS,202510041610
4-Oct,5:00 PM,BECKMAN HS 2,10B09,A1-DEL MAR BLUE,14,A2-STANFORD RED,2,A bracket,10U_BOYS,202510041700
5-Oct,8:40 AM,BECKMAN HS 2,10B10,D1(3rdA)-CDM,6,D3(3rdC)-NBWP WHITE,9,D bracket (7th-9th),10U_BOYS,202510050840
5-Oct,9:30 AM,BECKMAN HS 2,10B11,E1(2ndA)-STANFORD RED,5,E3(2ndC)-CCU BLACK,14,E bracket (4th-6th),10U_BOYS,202510050930
5-Oct,10:20 AM,BECKMAN HS 2,10B12,F1(1stA)-DEL MAR BLUE,13,F3(1stC)-908 YELLOW,8,F bracket (1st-3rd),10U_BOYS,202510051020
5-Oct,11:10 AM,BECKMAN HS 2,10B13,E2(2ndB)-SOCAL,8,E3(2ndC)-CCU BLACK,15,E bracket (4th-6th),10U_BOYS,202510051110
5-Oct,12:00 PM,BECKMAN HS 2,10B14,D2(3rdB)-ORWP,10,D3(3rdC)-NBWP WHITE,5,D bracket (7th-9th),10U_BOYS,202510051200
5-Oct,1:40 PM,WOOLLETT FAR LEFT,10B15,F2(1stB)-SAN CLEMENTE RED,7,F3(1stC)-908 YELLOW,11,F bracket (1st-3rd),10U_BOYS,202510051340
5-Oct,2:30 PM,BECKMAN HS 2,10B16,D1(3rdA)-CDM,5,D2(3rdB)-ORWP,18,D bracket (7th-9th),10U_BOYS,202510051430
5-Oct,5:00 PM,BECKMAN HS 2,10B17,E1(2ndA)-STANFORD RED,8,E2(2ndB)-SOCAL,7,E bracket (4th-6th),10U_BOYS,202510051700
5-Oct,5:00 PM,WOOLLETT FAR LEFT,10B18,F1(1stA)-DEL MAR BLUE,15,F2(1stB)-SAN CLEMENTE RED,7,F bracket (1st-3rd),10U_BOYS,202510051700
4-Oct,10:00 AM,TUSTIN HS 2,12Gau01,A2-SOUTH COAST RED,7,A3-ORANGE COUNTY WPC BLUE,15,"A bracket A2,A3",12U_GIRLS_GOLD,202510041000
4-Oct,10:50 AM,TUSTIN HS 2,12Gau02,A1-LADY TITANS,4,A4-ROSE BOWL RED,13,"A bracket A1,A4",12U_GIRLS_GOLD,202510041050
4-Oct,1:20 PM,TUSTIN HS 2,12Gau03,A1-LADY TITANS,5,A2-SOUTH COAST RED,14,"A bracket A1,A2",12U_GIRLS_GOLD,202510041320
4-Oct,2:10 PM,TUSTIN HS 2,12Gau04,A3-ORANGE COUNTY WPC BLUE,16,A4-ROSE BOWL RED,8,"A bracket A3,A4",12U_GIRLS_GOLD,202510041410
5-Oct,7:00 AM,TUSTIN HS 2,12Gau05,A1-LADY TITANS,3,A3-ORANGE COUNTY WPC BLUE,17,"A bracket A1,A3",12U_GIRLS_GOLD,202510050700
5-Oct,7:50 AM,TUSTIN HS 2,12Gau06,A2-SOUTH COAST RED,10,A4-ROSE BOWL RED,12,"A bracket A2,A4",12U_GIRLS_GOLD,202510050750
5-Oct,10:20 AM,TUSTIN HS 2,12Gau07,3rdA-SOUTH COAST RED,14,4thA-LADY TITANS,8,3rd,12U_GIRLS_GOLD,202510051020
5-Oct,11:10 AM,TUSTIN HS 2,12Gau08,1stA-ORANGE COUNTY WPC BLUE,15,2ndA-ROSE BOWL RED,11,1st,12U_GIRLS_GOLD,202510051110
4-Oct,9:40 AM,COSTA MESA HS 2,12Gpt01,A1-BACK BAY,14,A4-LAMORINDA B,6,"bracket, A1/A4",12U_GIRLS_PLATINUM,202510040940
4-Oct,10:30 AM,COSTA MESA HS 2,12Gpt02,A2-DEL MAR BLUE,12,A3-SHORE AQUATICS,4,"bracket, A2/A3",12U_GIRLS_PLATINUM,202510041030
4-Oct,12:00 PM,WOOLLETT FAR RIGHT,12Gpt04,B1-LAMORINDA A,13,B4-NORTH IRVINE,2,"bracket, B1/B4",12U_GIRLS_PLATINUM,202510041200
4-Oct,12:10 PM,COSTA MESA HS 2,12Gpt03,B2-SD SHORES BLACK,2,B3-SAN CLEMENTE RED,14,"bracket, B2/B3",12U_GIRLS_PLATINUM,202510041210
4-Oct,2:30 PM,WOOLLETT FAR RIGHT,12Gpt08,B2-SD SHORES BLACK,11,B4-NORTH IRVINE,4,"bracket, B2/B4",12U_GIRLS_PLATINUM,202510041430
4-Oct,3:30 PM,COSTA MESA HS 2,12Gpt05,A1-BACK BAY,13,A3-SHORE AQUATICS,8,"bracket, A1/A3",12U_GIRLS_PLATINUM,202510041530
4-Oct,4:20 PM,COSTA MESA HS 2,12Gpt06,A2-DEL MAR BLUE,12,A4-LAMORINDA B,4,"bracket, A2/A4",12U_GIRLS_PLATINUM,202510041620
4-Oct,5:10 PM,COSTA MESA HS 2,12Gpt07,B1-LAMORINDA A,11,B3-SAN CLEMENTE RED,15,"bracket, B1/B3",12U_GIRLS_PLATINUM,202510041710
5-Oct,9:40 AM,COSTA MESA HS 2,12Gpt09,A3-SHORE AQUATICS,5,A4-LAMORINDA B,7,"bracket, A3/A4",12U_GIRLS_PLATINUM,202510050940
5-Oct,10:30 AM,COSTA MESA HS 2,12Gpt10,B3-SAN CLEMENTE RED,16,B4-NORTH IRVINE,1,"bracket, B3/B4",12U_GIRLS_PLATINUM,202510051030
5-Oct,1:00 PM,COSTA MESA HS 2,12Gpt11,B1-LAMORINDA A,9,B2-SD SHORES BLACK,6,"bracket, B1/B2",12U_GIRLS_PLATINUM,202510051300
5-Oct,1:50 PM,COSTA MESA HS 2,12Gpt12,A1-BACK BAY,3,A2-DEL MAR BLUE,5,"bracket, A1/A2",12U_GIRLS_PLATINUM,202510051350
5-Oct,3:20 PM,BECKMAN HS 1,12Gpt15,4thA-SHORE AQUATICS,13,4thB-NORTH IRVINE,5,7th,12U_GIRLS_PLATINUM,202510051520
5-Oct,3:20 PM,TUSTIN HS 2,12Gpt16,3rdA-LAMORINDA B,12,3rdB-SD SHORES BLACK,3,5th,12U_GIRLS_PLATINUM,202510051520
5-Oct,3:30 PM,COSTA MESA HS 2,12Gpt13,2ndA-BACK BAY,13,2ndB-LAMORINDA A,10,3rd,12U_GIRLS_PLATINUM,202510051530
5-Oct,4:20 PM,COSTA MESA HS 2,12Gpt14,1stA-DEL MAR BLUE,12,1stB-SAN CLEMENTE RED,9,1st,12U_GIRLS_PLATINUM,202510051620
4-Oct,8:00 AM,ESTANCIA HS 2,12Bag01,B1-MVPOLO,2,B2-MISSION WPC B,14,B bracket,12U_BOYS_SILVER,202510040800
4-Oct,8:50 AM,ESTANCIA HS 2,12Bag02,D1-LAGUNA BEACH,11,D3-CC UNITED WHITE,5,D bracket,12U_BOYS_SILVER,202510040850
4-Oct,9:40 AM,ESTANCIA HS 2,12Bag03,A1-SHORE AQUATICS,18,A2-LAMORINDA B,8,A bracket,12U_BOYS_SILVER,202510040940
4-Oct,10:30 AM,ESTANCIA HS 2,12Bag04,C1-DIABLO ALLIANCE RED,22,C3-ORANGE COUNTY WPC RED,4,C bracket,12U_BOYS_SILVER,202510041030
4-Oct,11:20 AM,ESTANCIA HS 2,12Bag05,B2-MISSION WPC B,14,B3-680 BLUE,3,B bracket,12U_BOYS_SILVER,202510041120
4-Oct,12:10 PM,ESTANCIA HS 2,12Bag06,D2-TITANS WP,13,D3-CC UNITED WHITE,12,D bracket,12U_BOYS_SILVER,202510041210
4-Oct,1:00 PM,ESTANCIA HS 2,12Bag07,A2-LAMORINDA B,7,A3-NORTH IRVINE RED,17,A bracket,12U_BOYS_SILVER,202510041300
4-Oct,1:50 PM,ESTANCIA HS 2,12Bag08,C2-SOCAL GOLD,11.3,C3-ORANGE COUNTY WPC RED,11.2,C bracket,12U_BOYS_SILVER,202510041350
