DATE,TIME,LOCATION,GAME ID,WHITE TEAM,S,DARK TEAM,S,COMMENTS,DIVISION,SORTKEY
4-Oct,2:40 PM,ESTANCIA HS 2,12Bag09,B1-MVPOLO,6,B3-680 BLUE,17,B bracket,12U_BOYS_SILVER,202510041440
4-Oct,3:30 PM,ESTANCIA HS 2,12Bag11,D1-LAGUNA BEACH,13,D2-TITANS WP,7,D bracket,12U_BOYS_SILVER,202510041530
4-Oct,4:20 PM,ESTANCIA HS 2,12Bag10,A1-SHORE AQUATICS,6,A3-NORTH IRVINE RED,11,A bracket,12U_BOYS_SILVER,202510041620
4-Oct,5:10 PM,ESTANCIA HS 2,12Bag12,C1-DIABLO ALLIANCE RED,21,C2-SOCAL GOLD,4,C bracket,12U_BOYS_SILVER,202510041710
5-Oct,7:00 AM,BECKMAN HS 1,12Bag13,1stA-NORTH IRVINE RED,5,1stD-LAGUNA BEACH,12,1-4 semi,12U_BOYS_SILVER,202510050700
5-Oct,7:50 AM,BECKMAN HS 1,12Bag14,1stB-MISSION WPC B,6,1stC-DIABLO ALLIANCE RED,5,1-4 semi,12U_BOYS_SILVER,202510050750
5-Oct,8:40 AM,BECKMAN HS 1,12Bag15,2ndA-SHORE AQUATICS,14,2ndD-TITANS WP,16,5-8 semi,12U_BOYS_SILVER,202510050840
5-Oct,8:40 AM,TUSTIN HS 2,12Bag21,3rdA-LAMORINDA B,4,3rdD-CC UNITED WHITE,15,9-12 semi,12U_BOYS_SILVER,202510050840
5-Oct,9:30 AM,BECKMAN HS 1,12Bag16,2ndB-680 BLUE,13,2ndC-SOCAL GOLD,3,5-8 semi,12U_BOYS_SILVER,202510050930
5-Oct,9:30 AM,TUSTIN HS 2,12Bag22,3rdB-MVPOLO,17,3rdC-ORANGE COUNTY WPC RED,11,9-12 semi,12U_BOYS_SILVER,202510050930
5-Oct,10:20 AM,BECKMAN HS 1,12Bag17,L#13-NORTH IRVINE RED,3,L#14-DIABLO ALLIANCE RED,21,3rd,12U_BOYS_SILVER,202510051020
5-Oct,11:10 AM,BECKMAN HS 1,12Bag18,W#13-LAGUNA BEACH,8,W#14-MISSION WPC B,3,1st,12U_BOYS_SILVER,202510051110
