DATE,TIME,LOCATION,GAME ID,WHITE TEAM,S,DARK TEAM,S,COMMENTS,DIVISION,,,,,,,,,,,,,,
4-Oct,12:50 PM,WOOLLETT NEAR LEFT,14Bpt17,F2-680 RED,11,F4-PRIDE,9,"F bracket, F2,F4",14U_BOYS_PLATINUM,,,,,,,,,,,,,,
4-Oct,1:40 PM,WOOLLETT NEAR LEFT,14Bpt18,E2-STANFORD RED,12,E3-DEL MAR 13 BLUE,4,E bracket,14U_BOYS_PLATINUM,,,,,,,,,,,,,,
4-Oct,2:30 PM,WOOLLETT NEAR LEFT,14Bpt19,D1-CHANNEL ISLANDS UNITED GOLD,19,D2-DIABLO ALLIANCE RED,8,D bracket,14U_BOYS_PLATINUM,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
4-Oct,5:00 PM,WOOLLETT NEAR RIGHT,14Bpt20,F1-VANGUARD BLUE,10,F2-680 RED,6,,14U_BOYS_PLATINUM,,,,,,,,,,,,,,
4-Oct,5:10 PM,EL TORO HS,14Bpt21,F3-NORTH IRVINE BLACK,6,F4-PRIDE,11,,14U_BOYS_PLATINUM,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
5-Oct,7:00 AM,WOOLLETT NEAR LEFT,14Bpt22,G1(1stA)-CCU BLACK,5,G3(1stC)-NBWP BLUE,12,G bracket,14U_BOYS_PLATINUM,,,,,,,,,,,,,,
5-Oct,7:50 AM,WOOLLETT NEAR LEFT,14Bpt23,H1(1stD)-CHANNEL ISLANDS UNITED GOLD,5,H3(1stF)-VANGUARD BLUE,7,H bracket,14U_BOYS_PLATINUM,,,,,,,,,,,,,,
5-Oct,8:40 AM,WOOLLETT NEAR LEFT,14Bpt24,I1(2ndA)-NORCAL BLACK,5,I3(2ndC)-SD SHORES BLACK,13,I bracket,14U_BOYS_PLATINUM,,,,,,,,,,,,,,
5-Oct,9:30 AM,WOOLLETT NEAR LEFT,14Bpt25,G2(1stB)-LA JOLLA UNITED NAVY,9.3,G3(1stC)-NBWP BLUE,9.4,G bracket,14U_BOYS_PLATINUM,,,,,,,,,,,,,,
5-Oct,10:20 AM,WOOLLETT NEAR LEFT,14Bpt26,H1(1stD)-CHANNEL ISLANDS UNITED GOLD,6,H2(1stE)-MISSION WPC A,8,H bracket,14U_BOYS_PLATINUM,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
5-Oct,12:00 PM,WOOLLETT NEAR LEFT,14Bpt27,I2(2ndB)-LAMORINDA A,7,I3(2ndC)-SD SHORES BLACK,10,I bracket,14U_BOYS_PLATINUM,,,,,,,,,,,,,,
5-Oct,12:50 PM,WOOLLETT NEAR LEFT,14Bpt28,G1(1stA)-CCU BLACK,5,G2(1stB)-LA JOLLA UNITED NAVY,10,G bracket,14U_BOYS_PLATINUM,,,,,,,,,,,,,,
5-Oct,1:40 PM,WOOLLETT NEAR LEFT,14Bpt29,H2(1stE)-MISSION WPC A,5,H3(1stF)-VANGUARD BLUE,6,H bracket,14U_BOYS_PLATINUM,,,,,,,,,,,,,,
5-Oct,2:30 PM,WOOLLETT NEAR LEFT,14Bpt30,I1(2ndA)-NORCAL BLACK,13,I2(2ndB)-LAMORINDA A,7,I bracket,14U_BOYS_PLATINUM,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
