DATE,TIME,LOCATION,GAME ID,WHITE TEAM,S,DARK TEAM,S,COMMENTS,DIVISION,
4-Oct,1:50 PM,ESTANCIA HS 1,14Bau18,L#6-TSUNAMI BLUE,10,L#8-ROSE BOWL RED,2,3rd/4th E,14U_BOYS_GOLD,
4-Oct,2:40 PM,ESTANCIA HS 1,14Bau20,W#6-SHORE AQUATICS,14,W#8-MISSION WPC B,6,1st/2nd E,14U_BOYS_GOLD,
4-Oct,3:30 PM,ESTANCIA HS 1,14Bau22,L#10-SOUTH COAST WHITE,4,L#12-FOOTHILL RED,10,3rd/4th F,14U_BOYS_GOLD,
4-Oct,4:20 PM,ESTANCIA HS 1,14Bau24,W#10-BACK BAY,9,W#12-VANGUARD SILVER,15,1st/2nd F,14U_BOYS_GOLD,
4-Oct,5:10 PM,ESTANCIA HS 1,14Bau25,H1(1stD)-ELITE,2,H2(1stE)-SHORE AQUATICS,19,H bracket 1D/1E,14U_BOYS_GOLD,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
5-Oct,8:50 AM,ESTANCIA HS 1,14Bau26,I1(2ndA)-680 BLUE,9,I3(2ndC)-TITANS,14,"I bracket I1,I3",14U_BOYS_GOLD,
5-Oct,9:40 AM,ESTANCIA HS 1,14Bau28,G1(1stA)-LAWPC,9,G2(1stB)-SAN CLEMENTE RED,11,"G bracket G1,G3",14U_BOYS_GOLD,
5-Oct,10:30 AM,ESTANCIA HS 1,14Bau30,H1(1stD)-ELITE,9,H3(1stF)-VANGUARD SILVER,8,"H bracket H1,H3",14U_BOYS_GOLD,
5-Oct,11:20 AM,ESTANCIA HS 1,14Bau33,I2(2ndB)-NBWP WHITE,11,I3(2ndC)-TITANS,7,"I bracket I2,I3",14U_BOYS_GOLD,
5-Oct,12:10 PM,ESTANCIA HS 1,14Bau36,G2(1stB)-SAN CLEMENTE RED,8,G2(1stC)-PALOS VERDES BLACK,17,"G bracket G2,G3",14U_BOYS_GOLD,
5-Oct,1:00 PM,ESTANCIA HS 1,14Bau38,H2(1stE)-SHORE AQUATICS,13,H3(1stF)-VANGUARD SILVER,1,"H bracket H2,H3",14U_BOYS_GOLD,
5-Oct,1:50 PM,ESTANCIA HS 1,14Bau40,I1(2ndA)-680 BLUE,4,I2(2ndB)-NBWP WHITE,14,"I bracket I1,2",14U_BOYS_GOLD,
5-Oct,2:40 PM,ESTANCIA HS 1,14Bau43,P1(3rdG)-LAWPC,12,P2(3rdH)-VANGUARD SILVER,4,5th 3G/3H,14U_BOYS_GOLD,
5-Oct,3:30 PM,ESTANCIA HS 1,14Bau46,N1(2ndG)-SAN CLEMENTE RED,11,N2(2ndH)-ELITE,10,3rd 2G/2H,14U_BOYS_GOLD,
5-Oct,4:20 PM,ESTANCIA HS 1,14Bau49,O1(1stG)-PALOS VERDES BLACK,8,O2(1stH)-SHORE AQUATICS,7,1st 1G/1H,14U_BOYS_GOLD,
,,,,,,,,,,
5-Oct,8:50 AM,COSTA MESA HS 1,14Bau27,L1(3rdD)-PRIDE 13,8,L3(3rdF)-FOOTHILL RED,6,"L bracket L1,L3",14U_BOYS_GOLD,
5-Oct,9:40 AM,COSTA MESA HS 1,14Bau29,J1(2ndD)-SHORES GOLD,4,J3(2ndF)-BACK BAY,16,"J bracket J1,J3",14U_BOYS_GOLD,
5-Oct,10:30 AM,COSTA MESA HS 1,14Bau31,K1(3rdA)-STANFORD BLACK,7.3,K3(3rdC)-CCU BLUE,7.4,"K bracket K1,K3",14U_BOYS_GOLD,
5-Oct,11:20 AM,COSTA MESA HS 1,14Bau34,L2(3rdE)-TSUNAMI BLUE,7,L3(3rdF)-FOOTHILL RED,4,"L bracket L2,L3",14U_BOYS_GOLD,
5-Oct,12:10 PM,COSTA MESA HS 1,14Bau37,J2(2ndE-MISSION WPC B,13,J3(2ndF)-BACK BAY,10,"J bracket J2,J3",14U_BOYS_GOLD,
5-Oct,1:00 PM,COSTA MESA HS 1,14Bau39,K2(3rdB)-LA JOLLA UNITED GOLD,5,K3(3rdC)-CCU BLUE,4,"K bracket K2,K3",14U_BOYS_GOLD,
