"DATE","LOCATION","TIME","WHITE TEAM","S","DARK TEAM","S","COMMENTS","","","","","","","","","",""
"6/27/2026","LAKESIDE HS","1:00 PM","T2 (3rdF) - LB SHORE","13","T3 (3rdG) - SOCAL","4","","","","","","","","","","",""
"","LOCATION","","WHITE TEAM","","DARK TEAM","","COMMENTS","","EE 9th","FF 11th","LL 13th","GG 15th","","","","",""
"6/28/2026","CENTENNIAL HS","8:00 AM","WIN #11 - DIABLO","3","WIN #12 - STANFORD","5","1/2 W","","EE1-(1st Y) - LAMORINDA","FF1-(2nd Y) - COMMERCE","LL1-(3rd Y)- DAVIS","GG1-(4th Y) - SOUTH COAST","","","","",""
"6/28/2026","CENTENNIAL HS","11:00 AM","BB1-(2nd W) - DIABLO","11","BB2-(2nd X) - CHAWP","8","3rd","","EE2-(1st Z) - SD SHORES BLACK","FF2-(2nd Z) - THUNDER","LL2-(3rd Z)- SD SHORES GOLD","GG2-(4th Z) - NEWPORT","","","","",""
"6/28/2026","CENTENNIAL HS","12:00 PM","AA1-(1st W) - STANFORD","7","AA2-(1st X) - PATRIOT","12","1st","","","","","","","","","",""
"","LOCATION","","WHITE TEAM","","DARK TEAM","","COMMENTS","","HH 17th","JJ 18th","KK 21st","","","","","",""
"6/28/2026","SANTIAGO HS","8:00 AM","WIN #13 - CHAWP","8","WIN #14 - PATRIOT","9","1/2 X","","HH1-(1st S)- PAC PREMIER","JJ1-(2nd S) -CLOVIS","KK1-(3rd S)- ROSE BOWL","","","","","",""
"6/28/2026","SANTIAGO HS","9:00 AM","LOSE #11 - SBWPC","7","LOSE #12 - SD DONS","4","3/4 W","","HH2-(1st T)- LB SHORE","JJ2-(2nd T) - SOCAL","KK2-(3rd T)- SEASIDE","","","","","",""
"6/28/2026","SANTIAGO HS","10:00 AM","LOSE #13 - SAN CLEMENTE","7","LOSE #14 - 908","10","3/4 X","","","","","","","","","",""
"6/28/2026","SANTIAGO HS","11:00 AM","WIN #15 - COMMERCE","5","WIN #18  LAMORINDA","10","1/2 Y","","","","","","","","","",""
"6/28/2026","SANTIAGO HS","12:00 PM","WIN #16 - THUNDER","8","WIN #17 - SD SHORES BLACK","11","1/2 Z","","","","","","","","","",""
"6/28/2026","SANTIAGO HS","1:00 PM","CC1-(3rd W)- SBWPC","9","CC2-(3rdX)- 908","10","5th","","","","","","","","","",""
"6/28/2026","SANTIAGO HS","2:00 PM","FF1-(2nd Y) - COMMERCE","11","FF2-(2nd Z) - THUNDER","4","11th","","","","","","","","","",""
"6/28/2026","SANTIAGO HS","3:00 PM","DD1-(4th W) - SD DONS","5","DD2-(4th X) -  SAN CLEMENTE","12","7th","","","","","","","","","",""
"6/28/2026","SANTIAGO HS","4:00 PM","EE1-(1st Y) - LAMORINDA","10","EE2-(1st Z) - SD SHORES BLACK","14","9th","","","","","","","","","",""
"","LOCATION","","WHITE TEAM","","DARK TEAM","","COMMENTS","","","","","","","","","",""
"6/28/2026","NORCO HS","8:00 AM","LOSE #15 - SOUTH COAST","5","LOSE #18 - DAVIS","9","3/4 Y","","","","","","","","","",""
"6/28/2026","NORCO HS","9:00 AM","LOSE #16 - SD SHORES GOLD","11","LOSE #17 - NEWPORT","10","3/4 Z","","","","","","","","","",""
"6/28/2026","NORCO HS","12:00 PM","LL1-(3rd Y)- DAVIS","7","LL2-(3rd Z)- SD SHORES GOLD","13","13th","","","","","","","","","",""
"6/28/2026","NORCO HS","1:00 PM","GG1-(4th Y) - SOUTH COAST","8","GG2-(4th Z) - NEWPORT","12","15th","","","","","","","","","",""
"","LOCATION","","WHITE TEAM","","DARK TEAM","","COMMENTS","","","","","","","","","",""
"6/28/2026","LAKESIDE HS","9:00 AM","HH1-(1st S)- PAC PREMIER","7","HH2-(1st T)- LB SHORE","12","17th","","","","","","","","","",""
"6/28/2026","LAKESIDE HS","10:00 AM","JJ1-(2nd S) -CLOVIS","4","JJ2-(2nd T) - SOCAL","6","19th","","","","","","","","","",""
"6/28/2026","LAKESIDE HS","12:00 PM","KK1-(3rd S)- ROSE BOWL","13","KK2-(3rd T)- SEASIDE","9","21st","","","","","","","","","",""
