"DATE","LOCATION","TIME","WHITE TEAM","S","DARK TEAM","S","COMMENTS","","","","","","","","","",""
"6/26/2026","NORCO HS","8:00 AM","H1 -  CHAWP","12","H3 - ROSE BOWL","7","","","","","","","","","","",""
"6/26/2026","NORCO HS","8:55 AM","A1 -  NEWPORT","11","A3 - PAC PREMIER","8","","","","","","","","","","",""
"6/26/2026","NORCO HS","9:50 AM","D1 - DIABLO","15","D3 - SD SHORES GOLD","5","","","","","","","","","","",""
"6/26/2026","NORCO HS","10:45 AM","F2 - LB SHORE","8.3","F3 - THUNDER","8.4","SHOOT OUT","","","","","","","","","",""
"6/26/2026","NORCO HS","11:40 AM","H2 - STANFORD","14","H3 - ROSE BOWL","1","","","","","","","","","","",""
"6/26/2026","NORCO HS","12:35 PM","A1 -  NEWPORT","7","A2 - SD DONS","8","","","","","","","","","","",""
"6/26/2026","NORCO HS","1:30 PM","D1 - DIABLO","16","D2 - CLOVIS","4","","","","","","","","","","",""
"6/26/2026","NORCO HS","2:25 PM","F1 - SBWPC","15","F3 - THUNDER","5","","","","","","","","","","",""
"6/26/2026","NORCO HS","3:20 PM","H1 -  CHAWP","8","H2 - STANFORD","12","","","","","","","","","","",""
"6/26/2026","NORCO HS","4:15 PM","A2 - SD DONS","14","A3 - PAC PREMIER","6","","","","","","","","","","",""
"6/26/2026","NORCO HS","5:10 PM","D2 - CLOVIS","7","D3 - SD SHORES GOLD","17","","","","","","","","","","",""
"6/26/2026","NORCO HS","6:05 PM","F1 - SBWPC","13","F2 - LB SHORE","8","","","","","","","","","","",""
"","LOCATION","","WHITE TEAM","","DARK TEAM","","COMMENTS","","","","","","","","","",""
"6/26/2026","SANTIAGO HS","8:00 AM","B2 -DAVIS","15","B3 - SEASIDE","4","","","","","","","","","","",""
"6/26/2026","SANTIAGO HS","8:55 AM","G2 - SD SHORES BLACK","20","G3 - SOCAL","2","","","","","","","","","","",""
"6/26/2026","SANTIAGO HS","9:50 AM","E1 -  PATRIOT NAVY","14","E2 - COMMERCE","4","","","","","","","","","","",""
"6/26/2026","SANTIAGO HS","10:45 AM","B1 -  SAN CLEMENTE","23","B3 - SEASIDE","1","","","","","","","","","","",""
"6/26/2026","SANTIAGO HS","11:40 AM","C1 - 908","11","C2 - SOUTH COAST","7","","","","","","","","","","",""
"6/26/2026","SANTIAGO HS","12:35 PM","G1 - LAMORINDA","17","G3 - SOCAL","1","","","","","","","","","","",""
"6/26/2026","SANTIAGO HS","3:20 PM","B1 -  SAN CLEMENTE","14","B2 -DAVIS","4","","","2026  USCC   14 GIRLS","","","","","","","",""
"6/26/2026","SANTIAGO HS","4:15 PM","G1 - LAMORINDA","7.4","G2 - SD SHORES BLACK","7.5","SHOOT OUT","","A","B","C","D","E","F","G","H",""
"","","","","","","","","","A1 -  NEWPORT","B1 -  SAN CLEMENTE","C1 - 908","D1 - DIABLO","E1 -  PATRIOT","F1 - SBWPC","G1 - LAMORINDA","H1 -  CHAWP",""
"","LOCATION","","WHITE TEAM","","DARK TEAM","","COMMENTS","","A2 - SD DONS","B2 -DAVIS","C2 - SOUTH COAST","D2 - CLOVIS","E2 - COMMERCE","F2 - LB SHORE","G2 - SD SHORES BLACK","H2 - STANFORD",""
"6/27/2026","SANTIAGO HS","8:00 AM","L1(1stD) - DIABLO","9","L2(2ndC) -SOUTH COAST","3","","","A3 - PAC PREMIER","B3 - SEASIDE","","D3 - SD SHORES GOLD","","F3 - THUNDER","G3 - SOCAL","H3 - ROSE BOWL",""
"6/27/2026","SANTIAGO HS","9:00 AM","K1(1stC) - 908","18","K2(2ndD) - SD SHORES GOLD","3","","","","","","","","","","",""
"6/27/2026","SANTIAGO HS","10:00 AM","J1(1stB) - SAN CLEMENTE","14","J2(2ndA) - NEWPORT","7","","","","","","","","","","",""
"6/27/2026","SANTIAGO HS","11:00 AM","I1(1stA) - SD DONS","11","I2(2ndB) - DAVIS","6","","","I","J","K","L","M","N","O","P",""
"6/27/2026","SANTIAGO HS","12:00 PM","W2-(1st L) -  DIABLO","15","W3-(1st M) - SBWPC","7","GAME #11","","I1(1stA) - SD DONS","J1(1stB) - SAN CLEMENTE","K1(1stC) - 908","L1(1stD) - DIABLO","M1(1stF) - SBWPC","N1(1stE) - PATRIOT","O1(1stG) - SD SHORES BLACK","P1(1stH) - STANFORD",""
"6/27/2026","SANTIAGO HS","1:00 PM","X2-(1st K) -  908","9","X3-(1st N) - PATRIOT","12","GAME #14","","I2(2ndB) - DAVIS","J2(2ndA) - NEWPORT","K2(2ndD) - SD SHORES GOLD","L2(2ndC) -SOUTH COAST","M2(2ndE) - COMMERCE","N2(2ndF) - THUNDER","O2(2ndH) -CHAWP","P2(2ndG) -LAMORINDA",""
"6/27/2026","SANTIAGO HS","2:00 PM","X1-(1st J) - SAN CLEMENTE","8","X4-(1st O) - CHAWP","9","GAME #13","","","","","","","","","",""
"6/27/2026","SANTIAGO HS","3:00 PM","W1-(1st I) -SD DONS","5","W4-(1st P) - STANFORD","9","GAME #12","","","","","","","","","",""
"","","","","","","","","","S","T","","","","","","",""
"","LOCATION","","WHITE TEAM","","DARK TEAM","","COMMENTS","","S1-(3rdA) - PAC PREMIER","T1-(3rdB) - SEASIDE","","","","","","",""
"6/27/2026","NORCO HS","8:00 AM","M1(1stF) - SBWPC","10","M2(2ndE) - COMMERCE","5","","","S2-(3rdD) -CLOVIS","T2 (3rdF) - LB SHORE","","","","","","",""
"6/27/2026","NORCO HS","9:00 AM","N1(1stE) - PATRIOT","15","N2(2ndF) - THUNDER","2","","","S3 -(3rdH) - ROSE BOWL","T3 (3rdG) - SOCAL","","","","","","",""
"6/27/2026","NORCO HS","10:00 AM","O1(1stG) - SD SHORES BLACK","8","O2(2ndH) -CHAWP","9","","","","","","","","","","",""
"6/27/2026","NORCO HS","11:00 AM","P1(1stH) - STANFORD","9","P2(2ndG) -LAMORINDA","6","","","","","","","","","","",""
"6/27/2026","NORCO HS","12:00 PM","Y2-(2nd L) - SOUTH COAST","6","Y3-(2nd M) - COMMERCE","8","GAME #15","","","","","","","","","",""
"6/27/2026","NORCO HS","1:00 PM","Z2-(2nd K) - SD SHORES GOLD","8","Z3-(2nd N) -THUNDER","9","GAME #16","","W 1-8","X 1-8","","Y 9-16","Z 9-16","","","",""
"6/27/2026","NORCO HS","2:00 PM","Z1-(2nd J) -NEWPORT","4","Z4-(2nd O) - SD SHORES BLACK","10","GAME #17","","W1-(1st I) -SD DONS","X1-(1st J) - SAN CLEMENTE","","Y1-(2nd I) - DAVIS","Z1-(2nd J) -NEWPORT","","","",""
"6/27/2026","NORCO HS","3:00 PM","Y1-(2nd I) - DAVIS","5","Y4-(2nd P) - LAMORINDA","11","GAME #18","","W2-(1st L) -  DIABLO","X2-(1st K) -  908","","Y2-(2nd L) - SOUTH COAST","Z2-(2nd K) - SD SHORES GOLD","","","",""
"","","","","","","","","","W3-(1st M) - SBWPC","X3-(1st N) - PATRIOT","","Y3-(2nd M) - COMMERCE","Z3-(2nd N) -THUNDER","","","",""
"","LOCATION","","WHITE TEAM","","DARK TEAM","","COMMENTS","","W4-(1st P) - STANFORD","X4-(1st O) - CHAWP","","Y4-(2nd P) - LAMORINDA","Z4-(2nd O) - SD SHORES BLACK","","","",""
"6/27/2026","LAKESIDE HS","8:00 AM","S1-(3rdA) - PAC PREMIER","16","S3 -(3rdH) - ROSE BOWL","9","","","","","","","","","","",""
"6/27/2026","LAKESIDE HS","9:00 AM","T1-(3rdB) - SEASIDE","6","T3 (3rdG) - SOCAL","7","","","","","","","","","","",""
"6/27/2026","LAKESIDE HS","10:00 AM","S1-(3rdA) - PAC PREMIER","14","S2-(3rdD) -CLOVIS","8","","","AA 1st","BB 3rd","CC 5th","DD 7th","","","","",""
"6/27/2026","LAKESIDE HS","11:00 AM","T1-(3rdB) - SEASIDE","4","T2 (3rdF) - LB SHORE","12","","","AA1-(1st W) - STANFORD","BB1-(2nd W) - DIABLO","CC1-(3rd W)- SBWPC","DD1-(4th W) - SD DONS","","","","",""
"6/27/2026","LAKESIDE HS","12:00 PM","S2-(3rdD) -CLOVIS","","S3 -(3rdH) - ROSE BOWL","12.11","SHOOT OUT","","AA2-(1st X) - PATRIOT","BB2-(2nd X) - CHAWP","CC2-(3rdX)- 908","DD2-(4th X) -  SAN CLEMENTE","","","","",""
