"DATE","LOCATION","TIME","WHITE TEAM","S","DARK TEAM","S","COMMENTS","","","","","","","","","",""
"","","","","","","","","","W1-(1st I) - SBWPC A","X1-(1st J) - NEWPORT","","Y1-(2nd I) - ROSE BOWL","Z1-(2nd J) - CLOVIS","","","",""
"","LOCATION","","WHITE TEAM","","DARK TEAM","","COMMENTS","","W2-(1st L) - LAMORINDA","X2-(1st K) - REGENCY","","Y2-(2nd L) - STANFORD","Z2-(2nd K) - CHAWP WHITE","","","",""
"6/27/2026","TUSTIN HS","9:00 AM","Q1-(4thD)- SBWPC C","22","Q4 -(4thG)- COMMERCE","5","25-29 RR","","W3-(1st M) - DIABLO A","X3-(1st N) - SOCAL BLACK","","Y3-(2nd M) - 680","Z3-(2nd N) -USA CADET","","","",""
"6/27/2026","TUSTIN HS","10:00 AM","L1(1stD) - LAMORINDA","9","L2(2ndC) -STANFORD","6","","","W4-(1st P) - SD SHORES BLACK","X4-(1st O) -SBWPC B","","Y4-(2nd P) - GREENICH","Z4-(2nd O) - MISSION","","","",""
"6/27/2026","TUSTIN HS","11:00 AM","K1(1stC) - REGENCY","16","K2(2ndD) - CHAWP WHITE","7","","","","","","","","","","",""
"6/27/2026","TUSTIN HS","12:00 PM","J1(1stB) -NEWPORT","14","J2(2ndA) - CLOVIS","5","","","","","","","","","","",""
"6/27/2026","TUSTIN HS","1:00 PM","I1(1stA) -  SBWPC A","21","I2(2ndB) -ROSE BOWL","10","","","AA 1st","BB 3rd","CC 5th","DD 7th","","","","",""
"6/27/2026","TUSTIN HS","2:00 PM","W2-(1st L) - LAMORINDA","10","W3-(1st M) - DIABLO A","14","GAME #11","","AA1-(1st W) - SBWPC A","BB1-(2nd W) - DIABLO A","CC1-(3rd W)- LAMORINDA","DD1-(4th W) - SD SHORES BLACK","","","","",""
"6/27/2026","TUSTIN HS","3:00 PM","X2-(1st K) - REGENCY","13","X3-(1st N) - SOCAL BLACK","11","GAME #13","","AA2-(1st X) - NEWPORT","BB2-(2nd X) - REGENCY","CC2-(3rdX)- SOCAL BLACK","DD2-(4th X) - SBWPC B","","","","",""
"6/27/2026","TUSTIN HS","4:00 PM","X1-(1st J) - NEWPORT","12","X4-(1st O) -SBWPC B","8","GAME #14","","","","","","","","","",""
"6/27/2026","TUSTIN HS","5:00 PM","W1-(1st I) - SBWPC A","12","W4-(1st P) - SD SHORES BLACK","4","GAME #12","","","","","","","","","",""
"","","","","","","","","","EE 9th","FF 11th","LL 13th","GG 15th","","","","",""
"","LOCATION","","WHITE TEAM","","DARK TEAM","","COMMENTS","","EE1-(1st Y) - STANFORD","FF1-(2nd Y) - ROSE BOWL","LL1-(3rd Y)- GREENICH","GG1-(4th Y) -  680","","","","",""
"6/27/2026","FOOTHILL HS","8:00 AM","M1(1stF) - DIABLO A","12","M2(2ndE) - 680","8","","","EE2-(1st Z) -  USA CADET","FF2-(2nd Z) - CLOVIS","LL2-(3rd Z)-CHAWP WHITE","GG2-(4th Z) - MISSION","","","","",""
"6/27/2026","FOOTHILL HS","9:00 AM","N1(1stE) - SOCAL BLACK","9","N2(2ndF) - USA CADET","2","","","","","","","","","","",""
"6/27/2026","FOOTHILL HS","10:00 AM","O1(1stG) - SBWPC B","10","G2(2ndH) -MISSION","9","","","","","","","","","","",""
"6/27/2026","FOOTHILL HS","11:00 AM","P1(1stH) - GREENICH","8","P2(2ndG) - SD SHORES BLACK","9","","","HH 17th","JJ 19th","KK 21st","NN23rd","","","","",""
"6/27/2026","FOOTHILL HS","12:00 PM","Q3-(4thF)-LA JOLLA B","9","Q5-(4thH)- SD SHORES GOLD","11","25-29 RR","","HH1-(1st S)- SEASIDE","JJ1-(2nd S) - DAVIS","KK1-(3rd S)- TSUNAMI","NN1-(4th S) - SOCAL GOLD","","","","",""
"6/27/2026","FOOTHILL HS","1:00 PM","Y2-(2nd L) - STANFORD","7","Y3-(2nd M) - 680","1","GAME #15","","HH2-(1st T)- LA JOLLA A","JJ2-(2nd T) - MID VALLEY","KK2-(3rd T)- DIABLO B","NN2-(4th T) - BULLDOG","","","","",""
"6/27/2026","FOOTHILL HS","2:00 PM","Z2-(2nd K) - CHAWP WHITE","5","Z3-(2nd N) -USA CADET","20","GAME #17","","","","","","","","","",""
"6/27/2026","FOOTHILL HS","3:00 PM","Z1-(2nd J) - CLOVIS","11","Z4-(2nd O) - MISSION","7","GAME #18","","","","","","","","","",""
"6/27/2026","FOOTHILL HS","4:00 PM","Y1-(2nd I) - ROSE BOWL","13","Y4-(2nd P) - GREENICH","9","GAME #16","","","","","","","","","",""
"","LOCATION","","WHITE TEAM","","DARK TEAM","","COMMENTS","","","","","","","","","",""
"6/27/2026","EL MODENA HS","3:00 PM","Q1-(4thD)- SBWPC C","11","Q5-(4thH)- SD SHORES GOLD","7","25-29 RR","","","","","","","","","",""
