"DATE","LOCATION","TIME","WHITE TEAM","S","DARK TEAM","S","COMMENTS","","","","","","","","","",""
"6/26/2026","CENTENNIAL HS","3:00 PM","H1 - 680","20","H4 - SD SHORES GOLD","0","GAME #1","","","","","","","","","",""
"6/26/2026","CENTENNIAL HS","4:00 PM","H2 - CIU","10","H3 - MID VALLEY","5","GAME #2","","","","","","","","","",""
"6/26/2026","CENTENNIAL HS","5:00 PM","WIN #3 - PATRIOT","8","WIN #4 - MERIDIAN","10","1/2 G","","","","","","","","","",""
"6/26/2026","CENTENNIAL HS","6:00 PM","LOSE #3 - TRILOGY","3","LOSE #4 - FOOTHILL","11","3/4 G","","","","","","","","","",""
"6/26/2026","CENTENNIAL HS","7:00 PM","WIN #1-680","11","WIN #2 - CIU","3","1/2 H","","","","","","","","","",""
"6/26/2026","CENTENNIAL HS","8:00 PM","LOSE #1 - SD SHORES GOLD","1","LOSE #2 - MID VALLEY","10","3/4 H","","","","","","","","","",""
"","LOCATION","","WHITE TEAM","","DARK TEAM","","COMMENTS","","","","","","","","","",""
"6/26/2026","EL MODENA HS","8:00 AM","A1 - MISSION","14","A3 - LAMORINDA B","3","","","","","","","","","","",""
"6/26/2026","EL MODENA HS","9:00 AM","B2 - SD SHORES BLACK","16","B3 -  ROSE BOWL","5","","","","","","","","","","",""
"6/26/2026","EL MODENA HS","10:00 AM","C1 - NEWPORT","20","C3 - COMMERCE","4","","","","","","","","","","",""
"6/26/2026","EL MODENA HS","11:00 AM","A2 - DIABLO","13","A3 - LAMORINDA B","5","","","","","","","","","","",""
"6/26/2026","EL MODENA HS","12:00 PM","B1 - SBWPC A","14","B3 -  ROSE BOWL","1","","","","","","","","","","",""
"6/26/2026","EL MODENA HS","1:00 PM","C2 - STANFORD","20","C3 - COMMERCE","3","","","","","","","","","","",""
"6/26/2026","EL MODENA HS","2:00 PM","A1 - MISSION","12","A2 - DIABLO","3","","","","","","","","","","",""
"6/26/2026","EL MODENA HS","3:00 PM","B1 - SBWPC A","14","B2 - SD SHORES BLACK","2","","","","","","","","","","",""
"6/26/2026","EL MODENA HS","4:00 PM","C1 - NEWPORT","9","C2 - STANFORD","12","","","2026  USCC   16 GIRLS","","","","","","","",""
"","","","","","","","","","A","B","C","D","E","F","G","H",""
"","LOCATION","","WHITE TEAM","","DARK TEAM","","COMMENTS","","A1 - MISSION","B1 - SBWPC A","C1 - NEWPORT","D1 -  LAMORINDA A","E1 - SOUTH COAST","F1 - TSUNAMI","G1 - PATRIOT","H1 - 680",""
"6/26/2026","CORONA HS","8:00 AM","D1 -  LAMORINDA A","8","D2 - SBWPC B","5","","","A2 - DIABLO","B2 - SD SHORES BLACK","C2 - STANFORD","D2 - SBWPC B","E2 - CHAWP WHITE","F2 -  LA JOLLA","G2 - MERIDIAN","H2 - CIU",""
"6/26/2026","CORONA HS","8:55 AM","E2 - CHAWP WHITE","16","E3 - SEASIDE","2","","","A3 - LAMORINDA B","B3 -  ROSE BOWL","C3 - COMMERCE","D3 - BULLDOG","E3 - SEASIDE","F3 - SOCAL","G3 - FOOTHILL","H3 - MID VALLEY",""
"6/26/2026","CORONA HS","9:50 AM","F1 - TSUNAMI","4","F3 - SOCAL","6","","","","","","","","","G4 - TRILOGY","H4 - SD SHORES GOLD",""
"6/26/2026","CORONA HS","10:45 AM","G1 - PATRIOT","11","G4 - TRILOGY","2","GAME #3","","","","","","","","","",""
"6/26/2026","CORONA HS","11:40 AM","G2 - MERIDIAN","19","G3 - FOOTHILL","1","GAME #4","","","","","","","","","",""
"6/26/2026","CORONA HS","12:35 PM","D2 - SBWPC B","10","D3 - BULLDOG","5","","","I","J","K","L","M","N","O","P",""
"6/26/2026","CORONA HS","1:30 PM","E1 - SOUTH COAST","15","E3 - SEASIDE","2","","","I1(1stA) - MISSION","J1(1stB) -SBWPC A","K1(1stC) - STANFORD","L1(1stD) - LAMORINDA A","M1(1stF) - SOCAL","N1(1stE) - SOUTH COAST","O1(1stG) - MERIDIAN","P1(1stH) -  680",""
"6/26/2026","CORONA HS","2:25 PM","F2 -  LA JOLLA","8","F3 - SOCAL","13","","","I2(2ndB) - SD SHORES BLACK","J2(2ndA) - DIABLO","K2(2ndD) - SBWPC B","L2(2ndC) - NEWPORT","M2(2ndE) - CHAWP","N2(2ndF) - TSUNAMI","O2(2ndH) - CIU","P2(2ndG) -PATRIOT",""
"6/26/2026","CORONA HS","3:20 PM","D1 -  LAMORINDA A","13","D3 - BULLDOG","5","","","","","","","","","","",""
