DATE,TIME,LOCATION,GAME#,WHITE,S,DARK,S,COMMENTS,DIVISION
19-Jun,8:00 AM,WESTMINSTER HS,14GD101,A1-908,22,A3-GREENWICH,4,"A bracket A1,A3",14U_GIRLS_D1
19-Jun,8:00 AM,SERVITE HS,14GD102,D1-SANTA CRUZ,9,D3-COMMERCE,7,"D bracket D1,D3",14U_GIRLS_D1
19-Jun,9:00 AM,WESTMINSTER HS,14GD103,B1-LAMORINDA A,7,B3-SAN DIEGO SHORES A,6,"B bracket B1,B3",14U_GIRLS_D1
19-Jun,9:00 AM,SERVITE HS,14GD104,E1-CCU,8,E3-TEMPLE CITY,7,"E bracket E1,E3",14U_GIRLS_D1
19-Jun,10:00 AM,WESTMINSTER HS,14GD105,C1-PATRIOT A,18,C3-SAN DIEGO DONS,3,"C bracket C1,C3",14U_GIRLS_D1
19-Jun,10:00 AM,SERVITE HS,14GD106,F1-CDM,13,F3-LAGUNA BEACH,12,"F bracket F1,F3",14U_GIRLS_D1
19-Jun,11:00 AM,WESTMINSTER HS,14GD107,A2-ARROYO GRANDE,5,A3-GREENWICH,9,"A bracket A2,A3",14U_GIRLS_D1
19-Jun,11:00 AM,SERVITE HS,14GD108,D2-SAN CLEMENTE A,8,D3-COMMERCE,10,"D bracket D2,D3",14U_GIRLS_D1
19-Jun,12:00 PM,WESTMINSTER HS,14GD109,B2-SANTA BARBARA,13,B3-SAN DIEGO SHORES A,9,"B bracket B2,B3",14U_GIRLS_D1
19-Jun,12:00 PM,SERVITE HS,14GD110,E2-SHORE AQUATICS,11,E3-TEMPLE CITY,5,"E bracket E2,E3",14U_GIRLS_D1
19-Jun,1:00 PM,WESTMINSTER HS,14GD111,C2-STANFORD A,5,C3-SAN DIEGO DONS,2,"C bracket C2,C3",14U_GIRLS_D1
19-Jun,1:00 PM,SERVITE HS,14GD112,F2-SAN JOSE EXPRESS,9,F3-LAGUNA BEACH,10,"F bracket F2,F3",14U_GIRLS_D1
