DATE,TIME,LOCATION,GAME#,WHITE,S,DARK,S,COMMENTS,DIVISION
19-Jun,8:00 AM,WOOLLETT FAR RIGHT,12GD101,A1-NEWPORT BEACH A,12,A3-LA PREMIER,7,"A bracket A1,A3",12U_GIRLS_D1
19-Jun,8:55 AM,WOOLLETT FAR RIGHT,12GD102,C1-DEL MAR,18,C3-FOOTHILL CLUB,7,"C bracket C1,C3",12U_GIRLS_D1
19-Jun,9:50 AM,WOOLLETT FAR RIGHT,12GD103,B1-LAMORINDA A,14,B3-TEMPLE CITY,3,"B bracket B1,B3",12U_GIRLS_D1
19-Jun,10:45 AM,WOOLLETT FAR RIGHT,12GD104,D1-680,18,D3-LAMORINDA B,5,"D bracket D1,D3",12U_GIRLS_D1
19-Jun,11:40 AM,WOOLLETT FAR RIGHT,12GD105,A2-COMMERCE,8,A3-LA PREMIER,4,"A bracket A2,A3",12U_GIRLS_D1
19-Jun,12:35 PM,WOOLLETT FAR RIGHT,12GD106,C2-STANFORD A,12,C3-FOOTHILL CLUB,7,"C bracket C2,C3",12U_GIRLS_D1
19-Jun,1:30 PM,WOOLLETT FAR RIGHT,12GD107,B2-BACK BAY,10,B3-TEMPLE CITY,5,"B bracket B2,B3",12U_GIRLS_D1
19-Jun,2:25 PM,WOOLLETT FAR RIGHT,12GD108,D2-SAN CLEMENTE,20,D3-LAMORINDA B,5,"D bracket D2,D3",12U_GIRLS_D1
19-Jun,3:20 PM,WOOLLETT FAR RIGHT,12GD109,A1-NEWPORT BEACH A,13,A2-COMMERCE,7,"A bracket A1,A2",12U_GIRLS_D1
19-Jun,4:15 PM,WOOLLETT FAR RIGHT,12GD110,C1-DEL MAR,12,C2-STANFORD A,1,"C bracket C1,C2",12U_GIRLS_D1
19-Jun,5:10 PM,WOOLLETT FAR RIGHT,12GD111,B1-LAMORINDA A,9.2,B2-BACK BAY,9.4,"B bracket B1,B2",12U_GIRLS_D1
19-Jun,6:05 PM,WOOLLETT FAR RIGHT,12GD112,D1-680,3,D2-SAN CLEMENTE,11,"D bracket D1,D2",12U_GIRLS_D1
