DATE,TIME,LOCATION,GAME#,WHITE,S,DARK,S,COMMENTS,DIVISION
19-Jun,8:00 AM,ESPERANZA HS,14GD201,A1-STANFORD B,16,A3-AMERICAN RIVER,1,"A bracket A1,A3",14U_GIRLS_D2
19-Jun,9:00 AM,ESPERANZA HS,14GD204,B1-PATRIOT B,4,B4-FOOTHILL CLUB,19,W/L B1/B4,14U_GIRLS_D2
19-Jun,10:00 AM,ESPERANZA HS,14GD206,B2-BIG VALLEY,7,B3-SAN DIEGO SHORES B,22,W/L B2/B3,14U_GIRLS_D2
19-Jun,11:00 AM,ESPERANZA HS,14GD207,A2-LA PREMIER/PAC,18,A3-AMERICAN RIVER,4,"A bracket A2,A3",14U_GIRLS_D2
19-Jun,12:00 PM,ESPERANZA HS,14GD202,C1-MAVERICKS,11,C3-LA JOLLA UNITED,14,"C bracket C1,C3",14U_GIRLS_D2
19-Jun,1:00 PM,ESPERANZA HS,14GD203,D1-ASPHALT GREEN,11,D4-ROSE BOWL,14,W/L D1/D4,14U_GIRLS_D2
19-Jun,2:00 PM,ESPERANZA HS,14GD205,D2-NORCAL,4,D3-LOS ALAMITOS,5,W/L D2/D3,14U_GIRLS_D2
19-Jun,3:00 PM,ESPERANZA HS,14GD208,C2-SAN CLEMENTE B,7.4,C3-LA JOLLA UNITED,7.2,"C bracket C2,C3",14U_GIRLS_D2
19-Jun,4:00 PM,ESPERANZA HS,14GD213,A1-STANFORD B,8,A2-LA PREMIER/PAC,7,"A bracket A1,A2",14U_GIRLS_D2
19-Jun,5:00 PM,YORBA LINDA HS,14GD209,L#D1/D4-ASPHALT GREEN,14,L#D2/D3-NORCAL,9,3rd/4thD,14U_GIRLS_D2
19-Jun,5:00 PM,SERVITE HS,14GD210,L#B1/B4-PATRIOT B,10,L#B2/B3-BIG VALLEY,19,3rd/4thB,14U_GIRLS_D2
19-Jun,6:00 PM,YORBA LINDA HS,14GD211,W#D1/D4-ROSE BOWL,11,W#D2/D3-LOS ALAMITOS,5,1st/2ndD,14U_GIRLS_D2
19-Jun,6:00 PM,SERVITE HS,14GD212,W#B1/B4-FOOTHILL CLUB,9,W#B2/B3-SAN DIEGO SHORES B,13,1st/2ndB,14U_GIRLS_D2
19-Jun,7:00 PM,YORBA LINDA HS,14GD214,C1-MAVERICKS,16,C2-SAN CLEMENTE B,13,"C bracket C1,C2",14U_GIRLS_D2
20-Jun,8:00 AM,SONORA HS,14GD215,2ndB(L#12)-FOOTHILL CLUB,14,3rdA-AMERICAN RIVER,2,QF play-in (7v9),14U_GIRLS_D2
20-Jun,8:00 AM,ESPERANZA HS,14GD216,2ndC-MAVERICKS,11,3rdD(W#9)-ASPHALT GREEN,10,QF play-in (6v12),14U_GIRLS_D2
20-Jun,9:00 AM,SONORA HS,14GD217,2ndA-LA PREMIER/PAC,17,3rdB(W#10)-BIG VALLEY,13,QF play-in (8v10),14U_GIRLS_D2
20-Jun,9:00 AM,ESPERANZA HS,14GD218,2ndD(L#14)-LOS ALAMITOS,5,3rdC-SAN CLEMENTE B,18,QF play-in (5v11),14U_GIRLS_D2
20-Jun,11:00 AM,SONORA HS,14GD219,G1(L#15)-AMERICAN RIVER,18,G3(4thB)(L#10)-PATRIOT B,12,9th-14th (9 v 14),14U_GIRLS_D2
20-Jun,11:00 AM,ESPERANZA HS,14GD226,E2(1stD)(W#14)-ROSE BOWL,10,E3(W#16)-MAVERICKS,11,1-8 QF(4v6),14U_GIRLS_D2
