DATE,TIME,LOCATION,GAME#,WHITE,S,DARK,S,COMMENTS,DIVISION
19-Jun,8:00 AM,WOOLLETT LEFT,18GD101,B2-REGENCY,12,B3-LEGACY,7,"B bracket B2,B3",18U_GIRLS_D1
19-Jun,8:00 AM,CAPISTRANO VALLEY HS,18GD102,G2-MISSION,13,G3-OVAC,6,"G bracket G2,G3",18U_GIRLS_D1
19-Jun,9:00 AM,WOOLLETT LEFT,18GD103,C1-SAN DIEGO SHORES,11,C3-680,8,"C bracket C1,C3",18U_GIRLS_D1
19-Jun,9:00 AM,CAPISTRANO VALLEY HS,18GD104,E1-SANTA CRUZ,5,E2-SANTA BARBARA B,12,"E bracket E1,E2",18U_GIRLS_D1
19-Jun,10:00 AM,WOOLLETT LEFT,18GD105,D1-CLOVIS,10.5,D3-LA JOLLA UNITED A,10.3,"D bracket D1,D3",18U_GIRLS_D1
19-Jun,10:00 AM,CAPISTRANO VALLEY HS,18GD106,H1-SOCAL,20,H3-SEASIDE,4,"H bracket H1,H3",18U_GIRLS_D1
19-Jun,11:00 AM,WOOLLETT LEFT,18GD107,A1-SANTA BARBARA A,13,A3-LB VIKING A,8,"A bracket A1,A3",18U_GIRLS_D1
19-Jun,11:00 AM,CAPISTRANO VALLEY HS,18GD108,F1-ROSE BOWL,13,F3-SAN CLEMENTE,7,"F bracket F1,F3",18U_GIRLS_D1
19-Jun,12:00 PM,WOOLLETT LEFT,18GD109,B1-DIABLO ALLIANCE,11,B3-LEGACY,6,"B bracket B1,B3",18U_GIRLS_D1
19-Jun,12:00 PM,CAPISTRANO VALLEY HS,18GD110,G1-BULLDOG,10,G2-MISSION,11,"G bracket G1,G2",18U_GIRLS_D1
19-Jun,1:00 PM,WOOLLETT LEFT,18GD111,C2-LAMORINDA,13,C3-680,10,"C bracket C2,C3",18U_GIRLS_D1
19-Jun,1:00 PM,CAPISTRANO VALLEY HS,18GD112,E2-SANTA BARBARA B,6,E3-CDM,5,"E bracket E2,E3",18U_GIRLS_D1
19-Jun,2:00 PM,WOOLLETT LEFT,18GD113,D2-NEWPORT BEACH,13,D3-LA JOLLA UNITED A,7,"D bracket D2,D3",18U_GIRLS_D1
19-Jun,2:00 PM,CAPISTRANO VALLEY HS,18GD114,H2-THUNDER,6,H3-SEASIDE,16,"H bracket H2,H3",18U_GIRLS_D1
19-Jun,3:00 PM,WOOLLETT LEFT,18GD115,A2-STANFORD,8,A3-LB VIKING A,11,"A bracket A2,A3",18U_GIRLS_D1
19-Jun,3:00 PM,CAPISTRANO VALLEY HS,18GD116,F2-ASPHALT GREEN,4,F3-SAN CLEMENTE,8,"F bracket F2,F3",18U_GIRLS_D1
19-Jun,4:00 PM,WOOLLETT LEFT,18GD117,B1-DIABLO ALLIANCE,9,B2-REGENCY,15,"B bracket B1,B2",18U_GIRLS_D1
19-Jun,4:00 PM,CAPISTRANO VALLEY HS,18GD118,G1-BULLDOG,8,G3-OVAC,11,"G bracket G1,G3",18U_GIRLS_D1
19-Jun,5:00 PM,WOOLLETT LEFT,18GD119,C1-SAN DIEGO SHORES,12,C2-LAMORINDA,14,"C bracket C1,C2",18U_GIRLS_D1
19-Jun,5:00 PM,CAPISTRANO VALLEY HS,18GD120,E1-SANTA CRUZ,7,E3-CDM,12,"E bracket E1,E3",18U_GIRLS_D1
19-Jun,6:00 PM,WOOLLETT LEFT,18GD121,D1-CLOVIS,1,D2-NEWPORT BEACH,19,"D bracket D1,D2",18U_GIRLS_D1
19-Jun,6:00 PM,CAPISTRANO VALLEY HS,18GD122,H1-SOCAL,18,H2-THUNDER,2,"H bracket H1,H2",18U_GIRLS_D1
19-Jun,7:00 PM,WOOLLETT LEFT,18GD123,A1-SANTA BARBARA A,12,A2-STANFORD,6,"A bracket A1,A2",18U_GIRLS_D1
19-Jun,7:00 PM,CAPISTRANO VALLEY HS,18GD124,F1-ROSE BOWL,16,F2-ASPHALT GREEN,8,"F bracket F1,F2",18U_GIRLS_D1
20-Jun,8:00 AM,WOOLLETT LEFT,18GD125,3rdA-STANFORD,7,1stH-SOCAL,9,Cross1 9v16,18U_GIRLS_D1
20-Jun,8:00 AM,CAPISTRANO VALLEY HS,18GD126,K1(2ndE)-CDM,14,K4(2ndH)-SEASIDE,7,"17-20 RR K1,K4",18U_GIRLS_D1
20-Jun,9:00 AM,WOOLLETT LEFT,18GD127,3rdD-LA JOLLA UNITED A,2,1stE-SANTA BARBARA B,7,Cross4 12v13,18U_GIRLS_D1
20-Jun,9:00 AM,CAPISTRANO VALLEY HS,18GD128,K2(2ndF)-SAN CLEMENTE,6,K3(2ndG)-OVAC,10,"17-20 RR K2,K3",18U_GIRLS_D1
20-Jun,10:00 AM,WOOLLETT LEFT,18GD129,3rdB-LEGACY,13,1stG-MISSION,7,Cross2 10v15,18U_GIRLS_D1
20-Jun,10:00 AM,CAPISTRANO VALLEY HS,18GD130,M1(3rdE)-SANTA CRUZ,15,M4(3rdH)-THUNDER,7,"21-24 RR M1,M4",18U_GIRLS_D1
20-Jun,11:00 AM,WOOLLETT LEFT,18GD131,3rdC-680,5,1stF-ROSE BOWL,8,Cross3 11v14,18U_GIRLS_D1
20-Jun,11:00 AM,CAPISTRANO VALLEY HS,18GD132,M2(3rdF)-ASPHALT GREEN,9,M3(3rdG)-BULLDOG,12,"21-24 RR M2,M3",18U_GIRLS_D1
20-Jun,12:00 PM,WOOLLETT LEFT,18GD133,2ndB-DIABLO ALLIANCE,9,W#Cross1-SOCAL,11,Playin3,18U_GIRLS_D1
20-Jun,12:00 PM,CAPISTRANO VALLEY HS,18GD134,K1(2ndE)-CDM,13,K3(2ndG)-OVAC,9,"17-20 RR K1,K3",18U_GIRLS_D1
20-Jun,1:00 PM,WOOLLETT LEFT,18GD135,2ndC-SAN DIEGO SHORES,7,W#Cross4-SANTA BARBARA B,5,Playin2,18U_GIRLS_D1
20-Jun,1:00 PM,CAPISTRANO VALLEY HS,18GD136,K2(2ndF)-SAN CLEMENTE,8,K4(2ndH)-SEASIDE,7,"17-20 RR K2,K4",18U_GIRLS_D1
20-Jun,2:00 PM,WOOLLETT LEFT,18GD137,2ndA-LB VIKING A,10.3,W#Cross2-LEGACY,10.5,Playin4,18U_GIRLS_D1
20-Jun,2:00 PM,CAPISTRANO VALLEY HS,18GD138,M1(3rdE)-SANTA CRUZ,9,M3(3rdG)-BULLDOG,6,"21-24 RR M1,M3",18U_GIRLS_D1
20-Jun,3:00 PM,WOOLLETT LEFT,18GD139,2ndD-CLOVIS,7,W#Cross3-ROSE BOWL,12,Playin1,18U_GIRLS_D1
20-Jun,3:00 PM,CAPISTRANO VALLEY HS,18GD140,M2(3rdF)-ASPHALT GREEN,11,M4(3rdH)-THUNDER,10,"21-24 RR M2,M4",18U_GIRLS_D1
20-Jun,4:00 PM,WOOLLETT LEFT,18GD141,1stD-NEWPORT BEACH,11,W#Playin3-SOCAL,9,QF1,18U_GIRLS_D1
