DATE,TIME,LOCATION,GAME#,WHITE,S,DARK,S,COMMENTS,DIVISION
20-Jun,4:00 PM,CAPISTRANO VALLEY HS,18GD142,J1(L#Cross1)-STANFORD,12.3,J4(L#Cross4)-LA JOLLA UNITED A,12.1,13-16 semi 16v13,18U_GIRLS_D1
20-Jun,5:00 PM,WOOLLETT LEFT,18GD143,1stA-SANTA BARBARA A,9,W#Playin2-SAN DIEGO SHORES,4,QF2,18U_GIRLS_D1
20-Jun,5:00 PM,CAPISTRANO VALLEY HS,18GD144,J2(L#Cross2)-MISSION,8,J3(L#Cross3)-680,10,13-16 semi 15v14,18U_GIRLS_D1
20-Jun,6:00 PM,WOOLLETT LEFT,18GD145,1stC-LAMORINDA,9,W#Playin4-LEGACY,3,QF3,18U_GIRLS_D1
20-Jun,7:00 PM,WOOLLETT LEFT,18GD146,1stB-REGENCY,16,W#Playin1-ROSE BOWL,2,QF4,18U_GIRLS_D1
21-Jun,8:00 AM,LA SERNA HS,18GD149,N1(L#Playin3)-DIABLO ALLIANCE,8,N4(L#Playin2)-SANTA BARBARA B,6,9th-12th semi 9v12,18U_GIRLS_D1
21-Jun,8:00 AM,EL MODENA HS,18GD151,W#J1/J4-STANFORD,7,W#J2/J3-680,10,13th,18U_GIRLS_D1
21-Jun,9:00 AM,LA SERNA HS,18GD152,N2(L#Playin4)-LB VIKING A,11,N3(L#Playin1)-CLOVIS,8,9th-12th semi 10v11,18U_GIRLS_D1
21-Jun,9:00 AM,EL MODENA HS,18GD153,L#J2/J3-MISSION,6,L#J1/J4-LA JOLLA UNITED A,14,15th,18U_GIRLS_D1
21-Jun,10:00 AM,WOOLLETT LEFT,18GD147,W#QF2-SANTA BARBARA A,9,W#QF1-NEWPORT BEACH,6,Semi1 1v4,18U_GIRLS_D1
21-Jun,10:00 AM,LA SERNA HS,18GD154,P1(L#QF4)-ROSE BOWL,7,P4(L#QF3)-LEGACY,9,5th-8th semi 5v8,18U_GIRLS_D1
21-Jun,10:00 AM,EL MODENA HS,18GD155,K1(2ndE)-CDM,13,K2(2ndF)-SAN CLEMENTE,7,"17-20 RR K1,K2",18U_GIRLS_D1
21-Jun,11:00 AM,WOOLLETT LEFT,18GD150,W#QF4-REGENCY,10,W#QF3-LAMORINDA,9,Semi2 2v3,18U_GIRLS_D1
21-Jun,11:00 AM,LA SERNA HS,18GD156,P2(L#QF2)-SAN DIEGO SHORES,11.2,P3(L#QF1)-SOCAL,11.3,5th-8th semi 6v7,18U_GIRLS_D1
21-Jun,11:00 AM,EL MODENA HS,18GD158,K3(2ndG)-OVAC,8,K4(2ndH)-SEASIDE,9,"17-20 RR K3,K4",18U_GIRLS_D1
21-Jun,12:00 PM,LA SERNA HS,18GD159,W#N1/N4-DIABLO ALLIANCE,14,W#N2/N3-LB VIKING A,11,9th,18U_GIRLS_D1
21-Jun,12:00 PM,EL MODENA HS,18GD161,M1(3rdE)-SANTA CRUZ,13,M2(3rdF)-ASPHALT GREEN,4,"21-24 RR M1,M2",18U_GIRLS_D1
21-Jun,1:00 PM,EL MODENA HS,18GD148,M3(3rdG)-BULLDOG,14,M4(3rdH)-THUNDER,6,"21-24 RR M3,M4",18U_GIRLS_D1
21-Jun,1:00 PM,LA SERNA HS,18GD162,L#N1/N4-SANTA BARBARA B,11,L#N2/N3-CLOVIS,10,11th,18U_GIRLS_D1
21-Jun,2:00 PM,LA SERNA HS,18GD163,W#P1/P4-LEGACY,7,W#P2/P3-SOCAL,10,5th,18U_GIRLS_D1
21-Jun,2:30 PM,WOOLLETT LEFT,18GD160,W#Semi1-SANTA BARBARA A,10,W#Semi2-REGENCY,9,1st,18U_GIRLS_D1
21-Jun,3:00 PM,LA SERNA HS,18GD164,L#P2/P3-SAN DIEGO SHORES,13,L#P1/P4-ROSE BOWL,11,7th,18U_GIRLS_D1
21-Jun,4:00 PM,WOOLLETT NEAR RIGHT,18GD157,L#Semi1-NEWPORT BEACH,9,L#Semi2-LAMORINDA,5,3rd,18U_GIRLS_D1
