DATE,TIME,LOCATION,GAME#,WHITE,S,DARK,S,COMMENTS,DIVISION
19-Jun,8:00 AM,EL MODENA HS,16GD201,A1-SAN JOSE EXPRESS,10,A3-ROSE BOWL,7,"A bracket A1,A3",16U_GIRLS_D2
19-Jun,8:00 AM,SAN JUAN HILLS HS,16GD202,B1-TEMPLE CITY,5,B3-OVAC,8,"B bracket B1,B3",16U_GIRLS_D2
19-Jun,9:00 AM,EL MODENA HS,16GD203,D1-LB VIKING A,7,D3-CDM,4,"D bracket D1,D3",16U_GIRLS_D2
19-Jun,9:00 AM,SAN JUAN HILLS HS,16GD204,C1-BULLDOG,15,C3-SOUTH VALLEY UNITED,3,"C bracket C1,C3",16U_GIRLS_D2
19-Jun,10:00 AM,EL MODENA HS,16GD205,F1-LA JOLLA UNITED A,19,F4-LB VIKING B,2,W/L F1/F4,16U_GIRLS_D2
19-Jun,10:00 AM,SAN JUAN HILLS HS,16GD206,E1-NORCAL,12,E4-LA JOLLA UNITED B,3,W/L E1/E4,16U_GIRLS_D2
19-Jun,11:00 AM,EL MODENA HS,16GD207,F2-STANFORD B,15,F3-VIPER PIGEONS HC,7,W/L F2/F3,16U_GIRLS_D2
19-Jun,11:00 AM,SAN JUAN HILLS HS,16GD208,E2-SOCAL,17,E3-MAVERICKS,1,W/L E2/E3,16U_GIRLS_D2
19-Jun,12:00 PM,EL MODENA HS,16GD209,A2-SAN CLEMENTE,15,A3-ROSE BOWL,10,"A bracket A2,A3",16U_GIRLS_D2
19-Jun,12:00 PM,SAN JUAN HILLS HS,16GD210,B2-AMERICAN RIVER,3,B3-OVAC,17,"B bracket B2,B3",16U_GIRLS_D2
19-Jun,1:00 PM,EL MODENA HS,16GD211,D2-VIPER PIGEONS HC,9,D3-CDM,10,"D bracket D2,D3",16U_GIRLS_D2
19-Jun,1:00 PM,SAN JUAN HILLS HS,16GD212,C2-OLYMPUS,18,C3-SOUTH VALLEY UNITED,2,"C bracket C2,C3",16U_GIRLS_D2
19-Jun,2:00 PM,EL MODENA HS,16GD213,L#F1/F4-LB VIKING B,9,L#F2/F3-VIPER PIGEONS HC,8,3rd/4thF,16U_GIRLS_D2
19-Jun,2:00 PM,SAN JUAN HILLS HS,16GD214,L#E1/E4-LA JOLLA UNITED B,2,L#E2/E3-MAVERICKS,9,3rd/4thE,16U_GIRLS_D2
19-Jun,3:00 PM,EL MODENA HS,16GD215,W#F1/F4-LA JOLLA UNITED A,14,W#F2/F3-STANFORD B,7,1st/2ndF,16U_GIRLS_D2
19-Jun,3:00 PM,SAN JUAN HILLS HS,16GD216,W#E1/E4-NORCAL,4,W#E2/E3-SOCAL,15,1st/2ndE,16U_GIRLS_D2
19-Jun,4:00 PM,EL MODENA HS,16GD217,A1-SAN JOSE EXPRESS,7,A2-SAN CLEMENTE,16,"A bracket A1,A2",16U_GIRLS_D2
19-Jun,4:00 PM,SAN JUAN HILLS HS,16GD218,B1-TEMPLE CITY,17,B2-AMERICAN RIVER,6,"B bracket B1,B2",16U_GIRLS_D2
19-Jun,5:00 PM,EL MODENA HS,16GD219,D1-LB VIKING A,19,D2-VIPER PIGEONS HC,10,"D bracket D1,D2",16U_GIRLS_D2
19-Jun,5:00 PM,SAN JUAN HILLS HS,16GD220,C1-BULLDOG,9.3,C2-OLYMPUS,9.4,"C bracket C1,C2",16U_GIRLS_D2
20-Jun,8:00 AM,WESTMINSTER HS,16GD221,J1(2ndA)-SAN JOSE EXPRESS,8,J3(2ndE)-NORCAL,7,"J bracket J1,J3",16U_GIRLS_D2
20-Jun,8:00 AM,EL MODENA HS,16GD222,K1(2ndB)-TEMPLE CITY,12,K3(2ndF)-STANFORD B,9,"K bracket K1,K3",16U_GIRLS_D2
20-Jun,9:00 AM,WESTMINSTER HS,16GD223,G1(1stA)-SAN CLEMENTE,15,G3(1stE)-SOCAL,13,"G bracket G1,G3",16U_GIRLS_D2
20-Jun,9:00 AM,EL MODENA HS,16GD224,M1(3rdA)-ROSE BOWL,11,M4(4thF)-VIPER PIGEONS HC,7,W/L M1/M4,16U_GIRLS_D2
20-Jun,10:00 AM,WESTMINSTER HS,16GD225,H1(1stB)-OVAC,9.3,H3(1stF)-LA JOLLA UNITED A,9.4,"H bracket H1,H3",16U_GIRLS_D2
20-Jun,10:00 AM,EL MODENA HS,16GD226,M2(3rdD)-VIPER PIGEONS HC,13,M3(3rdE)-MAVERICKS,9,W/L M2/M3,16U_GIRLS_D2
20-Jun,11:00 AM,WESTMINSTER HS,16GD227,J2(2ndD)-CDM,10,J3(2ndE)-NORCAL,5,"J bracket J2,J3",16U_GIRLS_D2
20-Jun,11:00 AM,EL MODENA HS,16GD228,K2(2ndC)-BULLDOG,11,K3(2ndF)-STANFORD B,9,"K bracket K2,K3",16U_GIRLS_D2
20-Jun,12:00 PM,WESTMINSTER HS,16GD229,G2(1stD)-LB VIKING A,7,G3(1stE)-SOCAL,5,"G bracket G2,G3",16U_GIRLS_D2
20-Jun,12:00 PM,EL MODENA HS,16GD230,N1(3rdB)-AMERICAN RIVER,12,N4(4thE)-LA JOLLA UNITED B,10,W/L N1/N4,16U_GIRLS_D2
20-Jun,1:00 PM,WESTMINSTER HS,16GD231,H2(1stC)-OLYMPUS,6,H3(1stF)-LA JOLLA UNITED A,9,"H bracket H2,H3",16U_GIRLS_D2
20-Jun,1:00 PM,EL MODENA HS,16GD232,N2(3rdC)-SOUTH VALLEY UNITED,7,N3(3rdF)-LB VIKING B,11,W/L N2/N3,16U_GIRLS_D2
20-Jun,2:00 PM,WESTMINSTER HS,16GD233,J1(2ndA)-SAN JOSE EXPRESS,13,J2(2ndD)-CDM,2,"J bracket J1,J2",16U_GIRLS_D2
20-Jun,2:00 PM,EL MODENA HS,16GD234,K1(2ndB)-TEMPLE CITY,12,K2(2ndC)-BULLDOG,11,"K bracket K1,K2",16U_GIRLS_D2
20-Jun,3:00 PM,WESTMINSTER HS,16GD235,G1(1stA)-SAN CLEMENTE,12,G2(1stD)-LB VIKING A,9,"G bracket G1,G2",16U_GIRLS_D2
20-Jun,3:00 PM,EL MODENA HS,16GD238,W#M1/M4-ROSE BOWL,13,W#M2/M3-VIPER PIGEONS HC,10,1st/2ndM,16U_GIRLS_D2
20-Jun,4:00 PM,WESTMINSTER HS,16GD237,H1(1stB)-OVAC,13,H2(1stC)-OLYMPUS,10,"H bracket H1,H2",16U_GIRLS_D2
20-Jun,4:00 PM,EL MODENA HS,16GD239,L#N1/N4-LA JOLLA UNITED B,16,L#N2/N3-SOUTH VALLEY UNITED,8,3rd/4thN,16U_GIRLS_D2
20-Jun,5:00 PM,WESTMINSTER HS,16GD236,L#M1/M4-VIPER PIGEONS HC,5,L#M2/M3-MAVERICKS,13,3rd/4thM,16U_GIRLS_D2
20-Jun,5:00 PM,EL MODENA HS,16GD240,W#N1/N4-AMERICAN RIVER,20,W#N2/N3-LB VIKING B,12,1st/2ndN,16U_GIRLS_D2
21-Jun,8:00 AM,BECKMAN HS,16GD241,3rdK-STANFORD B,8,3rdJ-NORCAL,10,11th,16U_GIRLS_D2
21-Jun,9:00 AM,BECKMAN HS,16GD242,2ndJ-CDM,5,2ndK-BULLDOG,12,9th,16U_GIRLS_D2
