14u Division 3,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,A,B,C,D,,,,,,
,,FRIDAY MAY 1 @ VALHALLA HS,,,,,,FRIDAY MAY 1 @ MEMORIAL POOL,,,,,,,Loyola,NSD Stars,SET,Norcal Aquatics B,,,,,,
,,,,White,Dark,Score,Score,,,White,Dark,Score,Score,,NGen,Crown City,CDM White,LACUWP,,,,,,
,,"FRIDAY, MAY 1 @ MESA COLLEGE",,,,,,"FRIDAY, MAY 1 @ WEST HILLS HS",,,,,,"FRIDAY, MAY 1 @ TIERRASANTA COMMUNITY POOL",,,,,,,San Clem Red,Santa Cruz,Back Bay,Newport White
,,,,White,Dark,Score,Score,,,White,Dark,Score,Score,,,White,Dark,Score,Score,,Rain City,ECA A,South Coast White,Puget Sound
,,3:00 PM,1,A2 - Rain City,A3 - 908 Green,7,12,4:30 PM,9,F2 - Rose Bowl Red,F3 - La Jolla United C,17,1,3:00 PM,15,J2 - Carmel WPC,J3 - Pasadena,1,16,,908 Green,Shore Aquatics,SD Dons Gold,Titans
,,3:45 PM,2,B2 - ECA A,B3 - Shore Aquatics,13,3,5:15 PM,10,I1 - Santa Barbara,I2 - 908 Blue,10,7,3:45 PM,16,L1 - Temple City,L2 - Stanford Black,11,8,,,,,
,,4:30 PM,3,C1 - Back Bay,C2 - South Coast White,8,7,6:00 PM,11,G2 - Tsunami Black,G3 - OCWPC B,4,6,4:30 PM,17,H1 - Greenwich,H3 - North Irvine B,6,5,,E,F,G,H
,,5:15 PM,4,D1 - Newport White,D3 - Titans,21,1,6:45 PM,12,F1 - LOWPO,F2 - Rose Bowl Red,4,19,5:15 PM,18,K2 - Patriots Red,K3 - SD Dons D,12,9,,Mission B,LOWPO,Lamorinda B,Greenwich
,,6:00 PM,5,A1 - San Clem Red,A3 - 908 Green,17,4,7:30 PM,13,I1 - Santa Barbara,I3 - Big Valley,19,2,6:00 PM,19,J1 - SD Shores Gold,J3 - Pasadena,9,5,,CCWP,Rose Bowl Red,Tsunami Black,SJ Express
,,6:45 PM,6,B1 - Santa Cruz,B3 - Shore Aquatics,11,5,8:15 PM,14,G1 - Lamorinda B,G2 - Tsunami Black,13,3,6:45 PM,20,L1 - Temple City,L3 - Trilogy,10,5,,Foothill,La Jolla United C,OCWPC B,North Irvine B
,,7:30 PM,7,C2 - South Coast White,C3 - SD Dons Gold,5,14,"FRIDAY, MAY 1 @ MEMORIAL POOL",,,,,,7:30 PM,21,H2 - SJ Express,H3 - North Irvine B,5,3,,,,,
,,8:15 PM,8,D2 - Puget Sound,D3 - Titans,19,3,,,White,Dark,Score,Score,8:15 PM,22,K1 - Davis,K3 - SD Dons D,16,4,,I,J,K,L
,,"Memorial Pool 2902 Marcy Ave, San Diego, CA 92113",,,,,,3:00 PM,23,E1 - Mission B,E3 - Foothill,21,2,,,,,,,,Santa Barbara,SD Shores Gold,Davis,Temple City
,,,,,,,,3:45 PM,,12U Girls A,12U Girls A,,,,,,,,,,908 Blue,Carmel WPC,Patriots Red,Stanford Black
,,,,,,,,4:30 PM,,12U Girls A,12U Girls A,,,,,,,,,,Big Valley,Pasadena,SD Dons D,Trilogy
,,,,,,,,5:15 PM,24,E2 - CCWP,E3 - Foothill,15,1,,,,,,,,,,,
,,,,,,,,"Standley - 3605 Governor Dr, San Diego, CA 92122",,,,,,,,,,,,,M,N,O,P
,,"SATURDAY, MAY 2 @ MESA COLLEGE",,,,,,"SATURDAY, MAY 2 @ STANDLEY AQUATIC CENTER",,,,,,"SATURDAY, MAY 2 @ TIERRASANTA",,,,,,,San Clem Red,Newport White,ECA A,SD Dons Gold
,,,,,,,,,,,,,,,,,,,,,Greenwich,Mission B,Lamorinda B,Rose Bowl Red
,,,,White,Dark,Score,Score,,,White,Dark,Score,Score,,,White,Dark,Score,Score,,Santa Barbara,Temple City,SD Shores Gold,Davis
,,8:00 AM,25,A1 - San Clem Red,A2 - Rain City,17,4,8:00 AM,41,L2 - Stanford Black,L3 - Trilogy,8,5,8:00 AM,57,B1 - Santa Cruz,B2 - ECA A,6,7,,,,,
,,8:45 AM,26,I2 - 908 Blue,I3 - Big Valley,15,7,8:45 AM,42,D1 - Newport White,D2 - Puget Sound,14,9,8:45 AM,58,G1 - Lamorinda B,G3 - OCWPC B,12,2,,Q,R,S,T
,,9:30 AM,27,C1 - Back Bay,C3 - SD Dons Gold,5,8,9:30 AM,43,E1 - Mission B,E2 - CCWP,10,1,9:30 AM,59,J1 - SD Shores Gold,J2 - Carmel WPC,17,1,,908 Green,Puget Sound,Santa Cruz,Back Bay
,,10:15 AM,28,H1 - Greenwich,H2 - SJ Express,6,4,10:15 AM,44,F1 - LOWPO,F3 - La Jolla United C,10,1,10:15 AM,60,K1 - Davis,K2 - Patriots Red,8,8,,SJ Express,CCWP,OCWPC B,LOWPO
,,11:00 AM,29,U1 - Rain City,U3 - Big Valley,11,7,11:00 AM,45,V1 - Titans,V3 - Trilogy,1,17,11:00 AM,61,W1 - Shore Aquatics,W2 - Tsunami Black,8,5,,908 Blue,Stanford Black,Pasadena,Patriots Red
,,11:45 AM,30,Q1 - 908 Green,Q3 - 908 Blue,7,10,11:45 AM,46,R1 - Puget Sound,R3 - Stanford Black,7,10,11:45 AM,62,S1 - Santa Cruz,S2 - OCWPC B,8,10,,,,,
,,12:30 PM,31,M1 - San Clem Red,M3 - Santa Barbara,10,7,12:30 PM,47,N1 - Newport White,N3 - Temple City,4,13,12:30 PM,63,O1 - ECA A,O2 - Lamorinda B,8,10,,U,V,W,X
,,1:15 PM,32,T1 - Back Bay,T2 - LOWPO,10,6,1:15 PM,48,P1 - SD Dons Gold,P2 - Rose Bowl Red,13,10,1:15 PM,64,X1 - South Coast White,X3 - SD Dons D,6,9,,Rain City,Titans,Shore Aquatics,South Coast White
,,2:00 PM,33,U1 - Rain City,U2 - North Irvine B,9,16,2:00 PM,49,V1 - Titans,V2 - Foothill,10,8,2:00 PM,65,W1 - Shore Aquatics,W3 - Carmel WPC,9,7,,North Irvine B,Foothill,Tsunami Black,La Jolla United C
,,2:45 PM,34,Q2 - SJ Express,Q3 - 908 Blue,5,10,2:45 PM,50,R2 - CCWP,R3 - Stanford Black,6,12,2:45 PM,66,S1 - Santa Cruz,S3 - Pasadena,1,5,,Big Valley,Trilogy,Carmel WPC,SD Dons D
,,3:30 PM,35,M2 - Greenwich,M3 - Santa Barbara,7,13,3:30 PM,51,N1 - Newport White,N2 - Mission B,7,11,3:30 PM,67,O1 - ECA A,O3 - SD Shores Gold,11,8,,,,,
,,4:15 PM,36,T2 - LOWPO,T3 - Patriots Red,4,12,4:15 PM,52,P2 - Rose Bowl Red,P3 - Davis,9,10,4:15 PM,68,X2 - La Jolla United C,X3 - SD Dons D,2,20,,,,,
,,5:00 PM,37,U2 - North Irvine B,U3 - Big Valley,13,5,5:00 PM,53,V2 - Foothill,V3 - Trilogy,0,18,5:00 PM,69,W2 - Tsunami Black,W3 - Carmel WPC,6,2,,Y semi,Z semi,AA 5-8,BB 5-8
,,5:45 PM,38,Q1 - 908 Green,Q2 - SJ Express,2,7,5:45 PM,54,R1 - Puget Sound,R2 - CCWP,7,8,5:45 PM,70,S2 - OCWPC B,S3 - Pasadena,4,6,,San Clem Red,Lamorinda B,Santa Barbara,ECA A
,,6:30 PM,39,M1 - San Clem Red,M2 - Greenwich,12,3,6:30 PM,55,N2 - Mission B,N3 - Temple City,6,4,6:30 PM,71,O2 - Lamorinda B,O3 - SD Shores Gold,13,8,,Mission B,SD Dons Gold,Temple City,Davis
,,7:15 PM,40,T1 - Back Bay,T3 - Patriots Red,3,7,7:15 PM,56,P1 - SD Dons Gold,P3 - Davis,11,4,7:15 PM,72,X1 - South Coast White,X2 - La Jolla United C,9,3,,,,,
,,,,,,,,,,,,,,,,,,,,,CC 9-12,DD 9-12,EE 13-16,FF 13-16
,,"SUNDAY, MAY 3 @ MESA COLLEGE",,,,,,"SUNDAY, MAY 3 @ WEST HILLS HS",,,,,,"SUNDAY, MAY 3 @ TIERRASANTA",,,,,,,Greenwich,SD Shores Gold,908 Blue,Pasadena
,,,,,,,,,,,,,,,,,,,,,Newport White,Rose Bowl Red,Stanford Black,Patriots Red
,,,,White,Dark,Score,Score,,,White,Dark,Score,Score,,,White,Dark,Score,Score,,,,,
,,8:00 AM,73,CC1 - Greenwich,CC2 - Newport White,4,6,8:00 AM,81,EE1 - 908 Blue,EE2 - Stanford Black,9,7,8:00 AM,88,AA1 - Santa Barbara,AA2 - Temple City,10,7,,,,,
,,8:45 AM,74,DD1 - SD Shores Gold,DD2 - Rose Bowl Red,8,14,8:45 AM,82,FF1 - Pasadena,FF2 - Patriots Red,6,10,8:45 AM,89,BB1 - ECA A,BB2 - Davis,7,11,,,,,
,,9:30 AM,75,Rain City,Titans,13,4,9:30 AM,83,SJ Express,CCWP,7,3,9:30 AM,90,Big Valley,Foothill,9,3,,,,,
,,10:15 AM,76,Tsunami Black,South Coast White,2,6,10:15 AM,84,OCWPC B,Back Bay,2,10,10:15 AM,91,Carmel WPC,La Jolla United C,6,4,,,,,
,,11:00 AM,77,North Irvine B,Trilogy,4,14,11:00 AM,85,908 Green,Puget Sound,8,10,11:00 AM,92,Santa Cruz,LOWPO,7,6,,,,,
,,11:45 AM,78,Shore Aquatics,SD Dons D,2,17,11:45 AM,86,908 Blue,Patriots Red,8,10,11:45 AM,93,Santa Barbara,Davis,16,7,5th,,,,
,9th,12:30 PM,79,Newport White,Rose Bowl Red,8,6,12:30 PM,87,Stanford Black,Pasadena,5,2,12:30 PM,94,Temple City,ECA A,7,11,7th,,,,
,11th,1:15 PM,80,Greenwich,SD Shores Gold,11,4,,,,,,,,,,,,,,,,,
,,"SUNDAY, MAY 3 @ Southwestern College 1",,,,,,"SUNDAY, MAY 3 @ Southwestern College 2",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,White,Dark,Score,Score,,,White,Dark,Score,Score,,,,,,,,,,,
,semi,8:45 AM,95,Y1 - San Clem Red,Y2 - Mission B,7,6,8:45 AM,96,Z1 - Lamorinda B,Z2 - SD Dons Gold,3,9,semi,,,,,,,,,,
,1st,1:20 PM,97,San Clem Red,SD Dons Gold,15,11,1:35 PM,98,Mission B,Lamorinda B,12,8,3rd,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
14u division 1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,A,B,C,D
