Division 2,,,,,,,,,,,,,,,,,,
,,"SUNDAY, MAY 3 @ STEELE CANYON HS",,,,,,"SUNDAY, MAY 3 @ HELIX HS",,,,,,,X(17-19),Y (20-22),Z (23-25),
,,,,,,,,,,,,,,,LOWPO,Back Bay,Big Valley,
,,,,White,Dark,Score,Score,,,White,Dark,Score,Score,,Clovis,Seaside,Foothill Black,
,,8:00 AM,51,Y1 - Back Bay,Y3 - Trilogy,12,2,8:00 AM,60,Lamorinda Gold,Viking Aquatics,11,8,5th,Stanford,Trilogy,Northwest,
,7th,8:45 AM,52,Newport White,Sharks,10,3,8:45 AM,61,Z1 - Big Valley,Z3 - Northwest,5,8,,,,,
,,9:30 AM,53,X1 - LOWPO,X2 - Clovis,3,11,9:30 AM,62,Shores White,Norcal,12,4,,,,,
,9th,10:15 AM,54,San Clem Black,Innis Arden,9,7,10:15 AM,63,ECA,North Irvine,10,4,,,,,
,,11:00 AM,55,Y1 - Back Bay,Y2 - Seaside,3,8,11:00 AM,64,CCWP,CV Premier,8,9,26th,,,,
,,11:45 AM,56,X2 - Clovis,X3 - Stanford,6,11,11:45 AM,65,Z1 - Big Valley,Z2 - Foothill Black,9,13,,,,,
,11th,12:30 PM,57,Lamorinda C,Elite,9,7,12:30 PM,66,Shores White,ECA,5,8,13th,,,,
,,1:15 PM,58,Y2 - Seaside,Y3 - Trilogy,17,8,1:15 PM,67,Norcal,North Irvine,2,9,15th,,,,
,,2:00 PM,59,X1 - LOWPO,X3 - Stanford,2,13,2:00 PM,68,Z2 - Foothill Black,Z3 - Northwest,12,9,,,,,
,,"SUNDAY, MAY 3 @ SOUTHWESTERN COLLEGE 1",,,,,,"SUNDAY, MAY 3 @ SOUTHWESTERN COLLEGE 2",,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,White,Dark,Score,Score,,,White,Dark,Score,Score,,,,,
,semi,8:00 AM,69,Santa Barbara,SET,7,4,8:00 AM,70,Rogue 619,Patriots Red,8,2,semi,,,,
,1st,12:30 PM,71,Santa Barbara,Rogue 619,6,4,12:45 PM,72,SET,Patriots Red,5,9,3rd,,,,
,,,,,,,,,,,,,,,,,,
Division 1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,, ,,A,B,C,D
,,"FRIDAY, MAY 1 @ STANDLEY",,,,,,"FRIDAY, MAY 1 @ COGGAN FAMILY AQUATIC COMPLEX 1",,,,,,,Newport Blue,Patriots A,908 Yellow,San Clem Red
,,,,White,Dark,Score,Score,,,White,Dark,Score,Score,,Laguna Beach,Shores Gold,CDM,South Coast Red
,,3:00 PM,1,A2 - Laguna Beach,A3 - SD Dons,3,11,3:00 PM,10,G2 - Greenwich,G3 - Rose Bowl Red,12,7,,SD Dons,CC United,Socal Black,Shore Aquatics
,,3:45 PM,2,C1 - 908 Yellow,C3 - Socal Black,17,2,3:45 PM,11,H1 - Santa Barbara,H4 - PAC Premier,16,3,,,,,
,,4:30 PM,3,D2 - South Coast Red,D3 - Shore Aquatics,4,7,4:30 PM,12,B1 - Patriots A,B2 - Shores Gold,18,2,,E,F,G,H
,,5:15 PM,4,E1 - Santa Cruz,E4 - Los Al Garnet,13,3,5:15 PM,13,F2 - Commerce,F3 - Davis,8,5,,Santa Cruz,Shores Black,Lamorinda A,Santa Barbara
,,6:00 PM,5,A1 - Newport Blue,A3 - SD Dons,11,3,6:00 PM,14,G1 - Lamorinda A,G4 - Del Mar,14,5,,CHAWP,Commerce,Greenwich,Stanford
,,6:45 PM,6,C2 - CDM,C3 - Socal Black,7,2,6:45 PM,15,F1 - Shores Black,F4 - Foothill Red,9,2,,SJ Express,Davis,Rose Bowl Red,La Jolla United
,,7:30 PM,7,D1 - San Clem Red,D3 - Shore Aquatics,8,4,7:30 PM,16,H2 - Stanford,H3 - La Jolla United,12,3,,Los Al Garnet,Foothill Red,Del Mar,PAC Premier
,,8:15 PM,8,E2 - CHAWP,E3 - SJ Express,11,4,8:15 PM,9,B2 - Shores Gold,B3 - CC United,9,6,,,,,
,,"BBMAC - 818 6th St, Coronado, CA 92118",,,,,,,,,,,,,,,,
,,"SATURDAY, MAY 2 @ BBMAC 1",,,,,,"SATURDAY, MAY 2 @ BBMAC 2",,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,White,Dark,Score,Score,,,White,Dark,Score,Score,,,,,
,,8:00 AM,17,H1 - Santa Barbara,H2 - Stanford,5,4,8:00 AM,34,G1 - Lamorinda A,G2 - Greenwich,5,2,,M (1-8),N (1-8),O (1-8),P (1-8)
,,8:45 AM,18,A1 - Newport Blue,A2 - Laguna Beach,14,2,8:45 AM,35,B1 - Patriots A,B3 - CC United,24,5,,Newport Blue,Patriots A,908 Yellow,San Clem Red
,,9:30 AM,19,H4 - PAC Premier,H3 - La Jolla United,9,5,9:30 AM,36,D1 - San Clem Red,D2 - South Coast Red,13,6,,Santa Barbara,Lamorinda A,Shores Black,Santa Cruz
,,10:15 AM,20,C1 - 908 Yellow,C2 - CDM,10,6,10:15 AM,37,E1 - Santa Cruz,E2 - CHAWP,8,7,,,,,
,,11:00 AM,21,F4 - Foothill Red,F3 - Davis,7,9,11:00 AM,38,G4 - Del Mar,G3 - Rose Bowl Red,9,8,,Q (9-16),R (9-16),S (9-16),T (9-16)
,,11:45 AM,22,F1 - Shores Black,F2 - Commerce,13,5,11:45 AM,39,E4 - Los Al Garnet,E3 - SJ Express,6,7,,SD Dons,Shores Gold,CDM,Shore Aquatics
,,12:30 PM,23,Q1 - SD Dons,Q2 - Stanford,2,3,12:30 PM,40,R1 - Shores Gold,R2 - Greenwich,5,4,,Stanford,Greenwich,Commerce,CHAWP
,,1:15 PM,24,U1 - Laguna Beach,U2 - PAC Premier,8,3,1:15 PM,41,N1 - Patriots A,N2 - Lamorinda A,9,5,,,,,
,,2:00 PM,25,W1 - Socal Black,W2 - Davis,2,9,2:00 PM,42,V1 - CC United,V2 - Del Mar,3,8,,U,V,W,X
,,2:45 PM,26,M1 - Newport Blue,M2 - Santa Barbara,14,2,2:45 PM,43,X1 - South Coast Red,X2 - SJ Express,5,6,,Laguna Beach,CC United,Socal Black,South Coast Red
,,3:30 PM,27,O1 - 908 Yellow,O2 - Shores Black,14,10,3:30 PM,44,Y3 - Rose Bowl Red,Y4 - La Jolla United,3,8,,PAC Premier,Del Mar,Davis,SJ Express
,,4:15 PM,28,S1 - CDM,S2 - Commerce,9,4,4:15 PM,45,Y1 - Los Al Garnet,Y2 - Foothill Red,3,7,,,,,
,,5:00 PM,29,CC United,Socal Black,4,3,5:00 PM,46,P1 - San Clem Red,P2 - Santa Cruz,11,8,,Y (25-28),,,
,,5:45 PM,30,Del Mar,Davis,9,6,5:45 PM,47,T1 - Shore Aquatics,T2 - CHAWP,4,7,,Los Al Garnet,,,
,,6:30 PM,31,PAC Premier,South Coast Red,6,10,6:30 PM,48,Y1 - Los Al Garnet,Y4 - La Jolla United,3,12,,Foothill Red,,,
,,7:15 PM,32,Laguna Beach,SJ Express,13,2,7:15 PM,49,Y2 - Foothill Red,Y3 - Rose Bowl Red,7,8,,Rose Bowl Red,,,
,,8:00 PM,33,Santa Barbara,Santa Cruz,13,7,8:00 PM,50,Lamorinda A,Shores Black,4,5,,La Jolla United,,,
,,,,,,,,,,,,,,,,,,
,,"SUNDAY, MAY 3 @ BBMAC 1",,,,,,"SUNDAY, MAY 3 @ BBMAC 2",,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,White,Dark,Score,Score,,,White,Dark,Score,Score,,,,,
,,8:00 AM,51,SD Dons,Shore Aquatics,7,4,8:00 AM,59,Stanford,CHAWP,6,4,,,,,
,,8:45 AM,52,Greenwich,Commerce,6,5,8:45 AM,60,Shores Gold,CDM,3,5,,,,,
,17th,9:30 AM,53,Laguna Beach,Del Mar,7,6,9:30 AM,61,Y2 - Foothill Red,Y4 - La Jolla United,4,6,,,,,
,19th,10:15 AM,54,SJ Express,Davis,3,12,10:15 AM,62,Y1 - Los Al Garnet,Y3 - Rose Bowl Red,3,2,,,,,
,5th,11:00 AM,55,Santa Barbara,Shores Black,7,6,11:00 AM,63,South Coast Red,CC United,7,2,21st,,,,
,7th,11:45 AM,56,Santa Cruz,Lamorinda A,5,6,11:45 AM,64,PAC Premier,Socal Black,9,3,23rd,,,,
,13th,12:30 PM,57,SD Dons,Greenwich,8,4,12:30 PM,65,Stanford,CDM,2,1,9th,,,,
,15th,1:15 PM,58,Shore Aquatics,Commerce,6,8,1:15 PM,66,CHAWP,Shores Gold,8,6,11th,,,,
,,"SUNDAY, MAY 3 @ SOUTHWESTERN COLLEGE 1",,,,,,"SUNDAY, MAY 3 @ SOUTHWESTERN COLLEGE 2",,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,White,Dark,Score,Score,,,White,Dark,Score,Score,,,,,
,semi,9:30 AM,67,Newport Blue,San Clem Red,11,2,9:30 AM,68,Patriots A,908 Yellow,7,6,semi,,,,
,1st,2:10 PM,69,Newport Blue,Patriots A,11,4,2:25 PM,70,San Clem Red,908 Yellow,6,8,3rd,,,,
