Division 2,,,,,,,,,,,,,,,,,,,,
,1st,12:30 PM,43,Shore Aquatics,908,10,11,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Division 1 ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,A,B,C,D,,,
,,,FRIDAY MAY 1 @ KROC CENTER,,,,,,,,,,,,,Newport Blue,Lamorinda Blue,San Clem Red,Commerce,
,,,,,White,Dark,Score,Score,,,,,,,,Stanford,SD Shores,Back Bay,Greenwich,
,,,3:00 PM,1,A1 - Newport Blue,A3 - OCWPC,16,1,,,,,,,,OCWPC,Santa Barbara,680 WPC,Foothill,
,,,3:45 PM,2,C1 - San Clem Red,C4 - Los Al Opal,14,1,,,,,,,,,South Coast Red,Los Al Opal,La Jolla United,
,,,4:30 PM,3,D2 - Greenwich,D3 - Foothill,8,10,,,,,,,,,,,,
,,,5:15 PM,4,B2 - SD Shores,B3 - Santa Barbara,4,5,,,,,,,,E,F,G,H,
,,,6:00 PM,5,A2 - Stanford,A3 - OCWPC,8,5,,,,,,,,Newport Blue,Santa Barbara,Back Bay,Commerce,
,,,6:45 PM,6,B1 - Lamorinda Blue,B4 - South Coast Red,7,10,,,,,,,,San Clem Red,Foothill,Stanford,South Coast Red,
,,,7:30 PM,7,D1 - Commerce,D4 - La Jolla United,7,5,,,,,,,,,,,,
,,,8:15 PM,8,C2 - Back Bay,C3 - 680 WPC,11,2,,,,,,,,I,J,,,
,,,,,,,,,"Santana - 9915 Magnolia Ave, Santee, CA 92071",,,,,,,SD Shores,OCWPC,,,
,,,SATURDAY MAY 2 @ KROC CENTER,,,,,,SATURDAY MAY 2 @ SANTANA HS,,,,,,,Greenwich,680 WPC,,,
,,,,,,,,,,,,,,,,Los Al Opal,Lamorinda Blue,,,
,,,,,White,Dark,Score,Score,,,White,Dark,Score,Score,,,La Jolla United,,,
,,,8:00 AM,9,C4 - Los Al Opal,C3 - 680 WPC,4,14,8:00 AM,24,B1 - Lamorinda Blue,B2 - SD Shores,2,9,,,,,,
,,,8:45 AM,10,A1 - Newport Blue,A2 - Stanford,6,0,8:45 AM,25,D4 - La Jolla United,D2 - Greenwich,4,13,,,,,,
,,,9:30 AM,11,C1 - San Clem Red,C2 - Back Bay,5,9,9:30 AM,26,D1 - Commerce,D3 - Foothill,12,3,,,,,,
,,,10:15 AM,,BREAK,BREAK,,,10:15 AM,27,B4 - South Coast Red,B3 - Santa Barbara,5,6,,,,,,
,,,11:00 AM,12,J2 - 680 WPC,J3 - Lamorinda Blue,11,1,11:00 AM,28,I1 - SD Shores,I2 - Greenwich,12,8,,,,,,
,,,11:45 AM,13,J1 - OCWPC,J4 - La Jolla United,8,7,,,,,,,,,,,,
,,,12:30 PM,14,E1 - Newport Blue,E2 - San Clem Red,10,3,,,,,,,,,,,,
,,,1:15 PM,15,G1 - Back Bay,G2 - Stanford,5,3,,,,,,,,,,,,
,,,2:00 PM,16,H1 - Commerce,H2 - South Coast Red,10,4,,,,,,,,,,,,
,,,2:45 PM,17,F1 - Santa Barbara,F2 - Foothill,4,1,,,,,,,,,,,,
,,,3:30 PM,18,I2 - Greenwich,I3 - Los Al Opal,12,4,,,,,,,,,,,,
,,,4:15 PM,19,J3 - Lamorinda Blue,J4 - La Jolla United,2,5,,,,,,,,,,,,
,,,5:00 PM,20,J2 - 680 WPC,J1 - OCWPC,9,7,,,,,,,,,,,,
,,,5:45 PM,21,I1 - SD Shores,I3 - Los Al Opal,14,5,,,,,,,,,,,,
,,,6:30 PM,22,San Clem Red,South Coast Red,15,5,,,,,,,,,,,,
,,,7:15 PM,23,Stanford,Foothill,12,3,,,,,,,,,,,,
