"Day 1","HOT! RESULTS","SUBMIT SCORES!","Quarter Lengths by Day","BRACKET BREAKER","","","","","","","","","","","","","","","","","","","","",""
"Sat, July 18","","","5-5-5-5","","","","","","","","","","","","","","","","","","","","","",""
"18-Jul","6:40 PM","Cross","CAPISTRANO VALLEY HS 2","24","2nd_D-DAVIS","10","3rd_C-LA JOLLA UNITED","3","pt_M3","pt_R2","10G-024","","","","","","","","","","","","","",""
"Sun, July 19","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","N","O","","","","","","","","","","","","","","","","","","","","","",""
"","","1st_B-SOCAL","1st_C-680 RED","","","","","","","","","","","","","","","","","","","","","",""
"","","W20-LAMORINDA BLUE","1st_F-908 PINK","","","","","","","","","","","","","","","","","","","","","",""
"","","W23-DEL MAR A","W21-STANFORD","","","","","","","","","","","","","","","","","","","","","",""
"","","S","","","","","","","","","","","","","","","","","","","","","","",""
"","","L21-YOLO FLAMINGOS","","","","","","","","","","","","","","","","","","","","","","",""
"","","L23-COMMERCE","","","","","","","","","","","","","","","","","","","","","","",""
"","","L20-LAMORINDA GOLD","","","","","","","","","","","","","","","","","","","","","","",""
"","","","EL TORO HS 2","","MSR","","","","","","pt","au","","","","","","","","","","","","",""
"","","Type","Location","","White","","Dark","","W to #","L to #","GMID","","","","","","","","","","","","","",""
"19-Jul","7:00 AM","Group","EL TORO HS 2","65","pt_R1-NEWPORT WHITE","3","pt_R2-LA JOLLA UNITED","15","","","10G-065","","pt_Group","","","","","","","","","","","",""
"19-Jul","7:50 AM","Group","EL TORO HS 2","69","pt_M1-NEWPORT BEACH BLUE","15","pt_M3-DAVIS","5","","","10G-069","","pt_Group","","","","","","","","","","","",""
"19-Jul","8:40 AM","Group","EL TORO HS 2","73","pt_N1-SOCAL","11","pt_N3-DEL MAR A","4","","","10G-073","","pt_Group","","","","","","","","","","","",""
"19-Jul","9:30 AM","Group","EL TORO HS 2","77","pt_R1-NEWPORT WHITE","14","pt_R3-DEL MAR B","12","","","10G-077","","pt_Group","","","","","","","","","","","",""
"19-Jul","10:20 AM","Group","EL TORO HS 2","79","pt_M2-SAN CLEMENTE","8","pt_M3-DAVIS","11","","","10G-079","","pt_Group","","","","","","","","","","","",""
"19-Jul","11:10 AM","Group","EL TORO HS 2","81","pt_N2-LAMORINDA BLUE","12","pt_N3-DEL MAR A","9","","","10G-081","","pt_Group","","","","","","","","","","","",""
"19-Jul","12:00 PM","Group","EL TORO HS 2","83","pt_R2-LA JOLLA UNITED","15","pt_R3-DEL MAR B","7","","","10G-083","","pt_Group","","","","","","","","","","","",""
