Day 1,HOT! RESULTS,SUBMIT SCORES!,Quarter Lengths by Day,,,,,,,,,,
31-Jul,11:20 AM,Group,CARROL ISD 1,79,pt_M2(W22),,pt_M3(W24),,,,18G-079,,pt_Group
31-Jul,12:10 PM,Group,CARROL ISD 1,81,pt_N2(W20),,pt_N3(W23),,,,18G-081,,pt_Group
31-Jul,1:00 PM,Group,CARROL ISD 1,83,pt_R2(L24),,pt_R3(L22),,,,18G-083,,pt_Group
31-Jul,1:50 PM,Group,CARROL ISD 1,85,pt_M1(1st_A),,pt_M2(W22),,,,18G-085,,pt_Group
31-Jul,2:40 PM,Group,CARROL ISD 1,89,pt_N1(1st_B),,pt_N3(W23),,,,18G-089,,pt_Group
,,,,,,,,,,,,,
31-Jul,4:20 PM,Play-in,CARROL ISD 1,109,3rd pt_M,,2nd pt_R,,133,au_W2,18G-109,,pt_Play-in
31-Jul,5:10 PM,Play-in,CARROL ISD 1,113,3rd pt_N,,1st pt_R,,125,au_V3,18G-113,,pt_Play-in
,,,,,,,,,,,,,
,,,CARROL ISD 2,,,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID,,
31-Jul,8:00 AM,Group,CARROL ISD 2,66,pt_S1(L21),,pt_S2(L23),,,,18G-066,,pt_Group
31-Jul,8:50 AM,Group,CARROL ISD 2,70,pt_O1(1st_C),,pt_O3(W21),,,,18G-070,,pt_Group
31-Jul,9:40 AM,Group,CARROL ISD 2,74,pt_P1(1st_D),,pt_P3(W19),,,,18G-074,,pt_Group
31-Jul,10:30 AM,Group,CARROL ISD 2,78,pt_S1(L21),,pt_S3(L20),,,,18G-078,,pt_Group
31-Jul,11:20 AM,Group,CARROL ISD 2,80,pt_O2(1st_F),,pt_O3(W21),,,,18G-080,,pt_Group
31-Jul,12:10 PM,Group,CARROL ISD 2,82,pt_P2(1st_E),,pt_P3(W19),,,,18G-082,,pt_Group
31-Jul,1:00 PM,Group,CARROL ISD 2,84,pt_S2(L23),,pt_S3(L20),,,,18G-084,,pt_Group
31-Jul,1:50 PM,Group,CARROL ISD 2,86,pt_O1(1st_C),,pt_O2(1st_F),,,,18G-086,,pt_Group
31-Jul,2:40 PM,Group,CARROL ISD 2,90,pt_P1(1st_D),,pt_P2(1st_E),,,,18G-090,,pt_Group
,,,,,,,,,,,,,
31-Jul,4:20 PM,Play-in,CARROL ISD 2,110,3rd pt_O,,1st pt_S,,121,au_W3,18G-110,,pt_Play-in
31-Jul,5:10 PM,Play-in,CARROL ISD 2,114,3rd pt_P,,2nd pt_S,,129,au_V2,18G-114,,pt_Play-in
,,,,,,,,,,,,,
,au_V Gold 1st-6th,au_W Gold 1st-6th,,,,,,,,,,,
1,au_V1(3rd pt_R)-,au_W1(3rd pt_S)-,,,,,,,,,,,
2,au_V2(L114),au_W2(L109),,,,,,,,,,,
3,au_V3(L113),au_W3(L110),,,,,,,,,,,
,,,,,,,,,,,,,
Day 3,,,,,,,,,,,,,
1-Aug,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,CARROL ISD 1,,,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID,,
1-Aug,8:00 AM,5-8 v 9-12,CARROL ISD 1,121,2nd pt_P,,W110,,145,153,18G-121,,pt_5-8 v 9-12
1-Aug,9:00 AM,5-8 v 9-12,CARROL ISD 1,125,2nd pt_M,,W113,,145,153,18G-125,,pt_5-8 v 9-12
1-Aug,10:00 AM,5-8 v 9-12,CARROL ISD 1,129,2nd pt_O,,W114,,149,157,18G-129,,pt_5-8 v 9-12
1-Aug,11:00 AM,1-2 v 3-4,CARROL ISD 1,137,1st pt_N,,1st pt_O,,174,161,18G-137,,pt_1-2 v 3-4
1-Aug,12:00 PM,1-2 v 3-4,CARROL ISD 1,141,1st pt_M,,1st pt_P,,173,165,18G-141,,pt_1-2 v 3-4
1-Aug,1:00 PM,5-6 v 7-8,CARROL ISD 1,145,W121,,W125,,161,178,18G-145,,pt_5-6 v 7-8
