Day 1,HOT! RESULTS,SUBMIT SCORES!,Quarter Lengths by Day,,,,,,,,
"Thu, July 30",,,6-6-7-7,,,,,,,,
,,,Seeds,,,,,,,,
BRACKETS,,SEEDS not! Snake no QF rematch,,,,,,,,,
A,B,A,B,,KAHUNA EVENTS,,,,,,
A1-WEST SUBURBAN,B1-TEAM ORLANDO,1,2,,BRACKET BREAKER PROGRAM,,,,,,
A2-SLAP,B2-HOUSTON HYDRA,3,4,,CLICK HERE,,,,,,
A3-NEW HAVEN HYDRAS,B3-SEA MONSTERS PREMIER,5,6,,,,,,,,
A4-KRAKEN SATX,B4-ALAMO,7,8,,,,,,,,
A5-DISTRICT BLOSSOMS,B5-VIPER PIGEON PINK,9,10,,,,,,,,
A6-VIPER PIGEON RED,B6-PAC,11,12,,,,,,,,16G
,,,,,,,,,,,
,,,,,,,,,,,
Day 1,,,SMU 2,,,,,,,,
1-Aug,9:30 AM,9-12 RR prelim,SMU 1,31,5thA-,,6thB-,,,,16G-031
1-Aug,10:30 AM,1v8 QF,SMU 1,33,1stA-,,4thB-,,41,39,16G-033
1-Aug,11:30 AM,4v5 QF,SMU 1,34,2ndB-,,3rdA-,,41,39,16G-034
,,,,,,,,,,,
1-Aug,2:30 PM,9-12 RR prelim,SMU 1,37,5thA-,,5thB-,,,,16G-037
,,,,,,,,,,,
1-Aug,4:30 PM,1-4 SF 1v4,SMU 1,41,W#33,,W#34,,48,47,16G-041
1-Aug,5:30 PM,1-4 SF 2v3,SMU 1,42,W#35,,W#36,,48,47,16G-042
,,,,,,,,,,,
,,,SMU 2,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID
1-Aug,9:30 AM,9-12 RR prelim,SMU 2,32,5thB-,,6thA-,,,,16G-032
1-Aug,10:30 AM,2v7 QF,SMU 2,35,1stB-,,4thA-,,,,16G-035
1-Aug,11:30 AM,3v6 QF,SMU 2,36,2ndA-,,3rdB-,,,,16G-036
,,,,,,,,,,,
1-Aug,2:30 PM,9-12 RR prelim,SMU 2,38,6thA-,,6thB-,,,,16G-038
,,,,,,,,,,,
1-Aug,4:30 PM,5-8 SF 5v8,SMU 1,39,L#34,,L#33,,46,45,16G-039
1-Aug,5:30 PM,5-8 SF 6v7,SMU 1,40,L#36,,L#35,,46,45,16G-040
,,,,,,,,,,,
Day 4,,,,,,,,,,,
"Sun, August 2",,,,,,,,,,,
,,note 4/5A and 4/5B played in bracket,CARROL ISD 2,,,,,,,,
