Day 1,HOT! RESULTS,SUBMIT SCORES!,Quarter Lengths by Day,,,,,,,,,,,
30-Jul,12:30 PM,Group,DENTON ISD,22,D1(4)-NEW HAVEN HYDRAS,,D2(13)-HOUSTON HYDRA,,,,16B-022,,,
30-Jul,1:20 PM,Group,DENTON ISD,24,E1(5)-WEST SUBURBAN,,E2(12)-LOWPO,,,,16B-024,,,
,,,,,,,,,,,,,,
Day 2,,,,,,,,,,,,,,
"Fri, July 31",,,,,,,,,,,,,,
,Platinum,,,,,,,,,,,,,
,pt_M,pt_M,pt_O,pt_P,,,,,,,,,,
1,pt_M1(1stA)-,pt_N1(1stB)-,pt_O1(1stC)-,pt_P1(1stD)-,,,,,,,,,,
2,pt_M2(W13),pt_N2(1stG)-,pt_O2(1stF)-,pt_P2(1stE)-,,,,,,,,,,
3,pt_M3(W26),pt_N3(W28),pt_O3(L13),pt_P3(W25),,,,,,,,,,
,,,pt_O4(W27),,,,,,,,,,,
,,,,,,,,,,,,,,
,Gold,,,,,,,,,,,,,
,au_M,au_N,au_O,au_P,,,,,,,,,,
1,au_M1(L28),au_N1(L26),au_O1(L27),au_P1(L25),,,,,,,,,,
2,au_M2(3rdB)-,au_N2(3rdA)-,au_O2(3rdD)-,au_P2(3rdC)-,,,,,,,,,,
3,au_M3(3rdG)-,au_N3(L13A),au_O3(3rdE)-,au_P3(3rdF)-,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,GARLAND ISD 1,,,,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID,,,
31-Jul,7:30 AM,Group,GARLAND ISD 1,30,pt_N1(1stB)-,,pt_N3(W28),,,,16B-030,,,pt_Group
31-Jul,8:20 AM,Group,GARLAND ISD 1,32,pt_O2(1stF)-,,pt_O3(L13),,46,38,16B-032,,,pt_Group
31-Jul,9:10 AM,Group,GARLAND ISD 1,32A,pt_P1(1stD)-,,pt_P3(W25),,,,16B-32A,added,,pt_Group
31-Jul,10:00 AM,Group,GARLAND ISD 1,34,pt_M1(1stA)-,,pt_M3(W26),,,,16B-034,,,pt_Group
31-Jul,10:50 AM,Group,GARLAND ISD 1,36,pt_N2(1stG)-,,pt_N3(W28),,,,16B-036,,,pt_Group
31-Jul,11:40 AM,Group,GARLAND ISD 1,38,L32,,L29A,,54,52,16B-038,,,pt_Group
31-Jul,12:30 PM,Group,GARLAND ISD 1,40,pt_P2(1stE)-,,pt_P3(W25),,,,16B-040,,,pt_Group
31-Jul,1:20 PM,Group,GARLAND ISD 1,42,pt_M2(W13),,pt_M3(W26),,,,16B-042,,,pt_Group
31-Jul,2:10 PM,Group,GARLAND ISD 1,44,pt_N1(1stB)-,,pt_N2(1stG)-,,,,16B-044,,,pt_Group
31-Jul,3:00 PM,Group,GARLAND ISD 1,46,W32,,W29A,,62,58,16B-046,,,pt_Group
31-Jul,3:50 PM,Group,GARLAND ISD 1,48,pt_P1(1stD)-,,pt_P2(1stE)-,,,,16B-048,,,pt_Group
31-Jul,4:40 PM,Group,GARLAND ISD 1,50,pt_M1(1stA)-,,pt_M2(W13),,,,16B-050,,,pt_Group
31-Jul,5:30 PM,Group,GARLAND ISD 1,52,L38,,3rd_pt_N-,,56,pt_R3,16B-052,,,pt_Group
,,,,,,,,,,,,,,
,,,GARLAND ISD 2,,,,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID,,,
31-Jul,7:30 AM,Group,GARLAND ISD 2,29A,pt_O1(1stC)-,,pt_O4(W27),,46,38,16B-29A,,,pt_Group
31-Jul,8:20 AM,Group,GARLAND ISD 2,29,au_M1(L28),,au_M2(3rdB)-,,,,16B-029,,,au_Group
31-Jul,9:10 AM,Group,GARLAND ISD 2,31,au_P1(L25),,pt_P2(1stE)-,,,,16B-031,,,au_Group
31-Jul,10:00 AM,Group,GARLAND ISD 2,33,au_N1(L26),,au_N2(3rdA)-,,,,16B-033,,,au_Group
31-Jul,10:50 AM,Group,GARLAND ISD 2,35,au_O1(L27),,au_O2(3rdD)-,,,,16B-035,,,au_Group
31-Jul,11:40 AM,Group,GARLAND ISD 2,37,au_M1(L28),,au_M3(3rdG)-,,,,16B-037,,,au_Group
31-Jul,12:30 PM,Group,GARLAND ISD 2,39,au_P1(L25),,au_P3(3rdF)-,,,,16B-039,,,au_Group
31-Jul,1:20 PM,Group,GARLAND ISD 2,41,au_N1(L26),,au_N3(L13A),,,,16B-041,,,au_Group
31-Jul,2:10 PM,Group,GARLAND ISD 2,43,au_O1(L27),,au_O3(3rdE)-,,,,16B-043,,,au_Group
31-Jul,3:00 PM,Group,GARLAND ISD 2,45,au_M2(3rdB)-,,au_M3(3rdG)-,,,,16B-045,,,au_Group
31-Jul,3:50 PM,Group,GARLAND ISD 2,47,au_P2(3rdC)-,,au_P3(3rdF)-,,,,16B-047,,,au_Group
31-Jul,4:40 PM,Group,GARLAND ISD 2,49,au_N2(3rdA)-,,au_N3(L13A),,,,16B-049,,,au_Group
31-Jul,5:30 PM,Group,GARLAND ISD 2,51,au_O2(3rdD)-,,au_O3(3rdE)-,,,,16B-051,,,au_Group
,,,,,,,,,,,,,,
Day 3,,,,,,,,,,,,,,
"Sat, August 1",,,,,,,,,,,,,,
pt_R,,,,,,,,,,,,,,
pt_R1(L70),,,,,,,,,,,,,,
pt_R2(L72),,,,,,,,,,,,,,
pt_R3(L52),,,,,,,,,,,,,,
,,,LEWISVILLE ISD WESTSIDE 1,,,,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID,,,
1-Aug,7:30 AM,5-8 v 9-12,LEWISVILLE ISD WESTSIDE 1,54,2nd pt_P-,,W38,,64,70,16B-054,,,pt_5-8 v 9-12
1-Aug,8:30 AM,5-8 v 9-12,LEWISVILLE ISD WESTSIDE 1,56,2nd pt_M-,,W52,,64,70,16B-056,,,pt_5-8 v 9-12
1-Aug,9:30 AM,5-8 v 9-12,LEWISVILLE ISD WESTSIDE 1,58,L46,,3rd pt_P-,,68,72,16B-058,,,pt_5-8 v 9-12
1-Aug,10:30 AM,5-8 v 9-12,LEWISVILLE ISD WESTSIDE 1,60,2nd pt_N-,,3rd pt_M-,,68,72,16B-060,,,pt_5-8 v 9-12
1-Aug,11:30 AM,1-2 v 3-4,LEWISVILLE ISD WESTSIDE 1,62,1st pt_N-,,W46,,78,74,16B-062,,,pt_1-2 v 3-4
1-Aug,12:30 PM,5-6 v 7-8,LEWISVILLE ISD WESTSIDE 1,64,W54,,W56,,74,88,16B-064,,,pt_5-6 v 7-8
1-Aug,1:30 PM,1-2 v 3-4,LEWISVILLE ISD WESTSIDE 1,66,1st pt_M-,,1st pt_P-,,77,76,16B-066,,,pt_1-2 v 3-4
1-Aug,2:30 PM,5-6 v 7-8,LEWISVILLE ISD WESTSIDE 1,68,W58,,W60,,76,88,16B-068,,,pt_5-6 v 7-8
1-Aug,3:30 PM,9 semi,LEWISVILLE ISD WESTSIDE 1,70,L56,,L54,,83,pt_R1,16B-070,,,pt_9 semi
1-Aug,4:30 PM,9 semi,LEWISVILLE ISD WESTSIDE 1,72,L60,,L58,,83,pt_R2,16B-072,,,pt_9 semi
1-Aug,5:30 PM,qtr final,LEWISVILLE ISD WESTSIDE 1,74,L62,,W64,,77,87,16B-074,,,pt_qtr final
1-Aug,6:30 PM,qtr final,LEWISVILLE ISD WESTSIDE 1,76,L66,,W68,,78,87,16B-076,,,pt_qtr final
