Day 1,HOT! RESULTS,SUBMIT SCORES!,Quarter Lengths by Day,,,,,,,,,,
"Thu, July 30",Seeds,,6-6-7-7,,,,,,,,,,
23 teams,,,,,,,,,,,,,
A rr,B 1/4 2/3,C 1/4 2/3,,,KAHUNA EVENTS,,,,,,,,
A1-SEA MONSTERS PREMIER,B1-NEW HAVEN HYDRAS,C1-TEAM ORLANDO,,,BRACKET BREAKER PROGRAM,,,,,,,,
A2-ALAMO,B2-KRAKEN SATX,C2-KRAKEN,,,CLICK HERE,,,,,,,,
A3-BCWP,B3-DAISY,C3-GATEWAY,,,,,,,,,,,
,B4-ZENITH ALL STARS,C4-VIPER PIGEON BLACK,,,,,,,,,,,
,,,,,,,,,,,,,
D 1/4 2/3,E 1/4 2/3,F 1/4 2/3,,,,,,,,,,,
D1-GLADIATORS,E1-ORLANDO THUNDER,F1-CWPC,,,,,,,,,,,
D2-SOUTHSIDE,E2-STORM HURRICANES,F2-HOUSTON HYDRA,,,,,,,,,,,
D3-VIPER PIGEON BLUE,E3-KRAKEN CVU,F3-ZOO,,,,,,,,,,,
D4-BCWP BLUE,E4-THUNDER,F4-LONGHORN WHITE,,,,,,,,,18B,,
31-Jul,9:10 AM,Group,SMU 1,33,pt_N1(W18),,pt_N2(W27),,,,18B-033,,pt_Group
31-Jul,10:00 AM,Group,SMU 1,35,pt_O1(W13),,pt_O2(W16),,,,18B-035,,pt_Group
31-Jul,10:50 AM,Group,SMU 1,37,au_M1(1stA),,pt_M3(W99),,,,18B-037,,pt_Group
31-Jul,11:40 AM,Group,SMU 1,39,pt_P1(W17),,pt_P3(W28),,,,18B-039,,pt_Group
31-Jul,12:30 PM,Group,SMU 1,41,pt_N1(W18),,pt_N3(W24),,,,18B-041,,pt_Group
31-Jul,1:20 PM,Group,SMU 1,43,pt_O1(W13),,pt_O3(W26),,,,18B-043,,pt_Group
31-Jul,2:10 PM,Group,SMU 1,45,pt_M2(W25),,pt_M3(W99),,,,18B-045,,pt_Group
31-Jul,3:00 PM,Group,SMU 1,47,pt_P2(W21),,pt_P3(W28),,,,18B-047,,pt_Group
31-Jul,3:50 PM,Group,SMU 1,49,pt_N2(W27),,pt_N3(W24),,,,18B-049,,pt_Group
31-Jul,4:40 PM,Group,SMU 1,51,pt_O2(W16),,pt_O3(W26),,,,18B-051,,pt_Group
,,,,,,,,,,,,,
,,,SMU 2,,,,,,,,au_,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID,,
31-Jul,7:30 AM,Group,SMU 2,30,cu_M2(L24),,cu_M4(L23),,,,18B-030,,au_Group
31-Jul,8:20 AM,Group,SMU 2,32,cu_M3(L25),,cu_M5(L15),,,,18B-032,,au_Group
31-Jul,9:10 AM,Group,SMU 2,34,cu_N1(L26),,cu_N3(L27),,,,18B-034,,au_Group
31-Jul,10:00 AM,Group,SMU 2,36,cu_N2(L99),,cu_N5(L19),,,,18B-036,,au_Group
31-Jul,10:50 AM,Group,SMU 2,38,cu_N4(L14),,cu_N6(L22),,,,18B-038,,au_Group
31-Jul,11:40 AM,Group,SMU 2,40,cu_M4(L23),,cu_M1(L28),,,,18B-040,,au_Group
31-Jul,12:30 PM,Group,SMU 2,42,cu_M5(L15),,cu_M2(L24),,,,18B-042,,au_Group
31-Jul,1:20 PM,Group,SMU 2,44,cu_N3(L27),,cu_N5(L19),,,,18B-044,,au_Group
31-Jul,2:10 PM,Group,SMU 2,46,cu_N1(L26),,cu_N4(L14),,,,18B-046,,au_Group
31-Jul,3:00 PM,Group,SMU 2,48,cu_N2(L99),,cu_N6(L22),,,,18B-048,,au_Group
31-Jul,3:50 PM,Group,SMU 2,50,cu_M1(L28),,cu_M3(L25),,,,18B-050,,au_Group
,,,,,,,,,,,,,
Day 3,,,,,,,,,,,,,
"Sat, August 1",,,,,,,,,,,,,
,,,GARLAND ISD 1,,,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID,,
1-Aug,7:30 AM,5-8 v 9-12,GARLAND ISD 1,53,2nd pt_P,,3rd pt_O,,63,69,18B-053,,pt_5-8 v 9-12
1-Aug,8:30 AM,5-8 v 9-12,GARLAND ISD 1,55,2nd pt_M,,3rd pt_N,,63,69,18B-055,,pt_5-8 v 9-12
1-Aug,9:30 AM,5-8 v 9-12,GARLAND ISD 1,57,2nd pt_O,,3rd pt_P,,67,71,18B-057,,pt_5-8 v 9-12
1-Aug,10:30 AM,5-8 v 9-12,GARLAND ISD 1,59,2nd pt_N,,3rd pt_M,,67,71,18B-059,,pt_5-8 v 9-12
1-Aug,11:30 AM,1-2 v 3-4,GARLAND ISD 1,61,1st pt_N,,1st pt_O,,80,73,18B-061,,pt_1-2 v 3-4
1-Aug,12:30 PM,5-6 v 7-8,GARLAND ISD 1,63,W#53,,W#55,,73,85,18B-063,,pt_5-6 v 7-8
1-Aug,1:30 PM,1-2 v 3-4,GARLAND ISD 1,65,1st pt_M,,1st pt_P,,79,75,18B-065,,pt_1-2 v 3-4
1-Aug,2:30 PM,5-6 v 7-8,GARLAND ISD 1,67,W#57,,W#59,,75,85,18B-067,,pt_5-6 v 7-8
1-Aug,3:30 PM,9-12 semi,GARLAND ISD 1,69,L#55,,L#53,,82,81,18B-069,,pt_9-12 semi
1-Aug,4:30 PM,9-12 semi,GARLAND ISD 1,71,L#59,,L#57,,82,81,18B-071,,pt_9-12 semi
1-Aug,5:30 PM,qtr final,GARLAND ISD 1,73,L#61,,W#63,,79,86,18B-073,,pt_qtr final
1-Aug,6:30 PM,qtr final,GARLAND ISD 1,75,L#65,,W#67,,80,86,18B-075,,pt_qtr final
1-Aug,7:30 PM,Group,GARLAND ISD 1,98,cu_M1(L28),,cu_M2(L24),,,,18B-098,,au_Group
,,,,,,,,,,,,,
,,,GARLAND ISD 2,,,,,,,,,,
Date,Time,Type,Location,Gm #,White,S,Dark,S,W to #,L to #,GMID,,
1-Aug,7:30 AM,Group,GARLAND ISD 2,54,cu_N5(L19),,cu_N1(L26),,,,18B-054,,au_Group
