"12U BOYS A A1- SD DONS A2- CDM A3- SOCAL A4- LA PREMIER DATE","16 TEAMS B B1-STANFORD B2- RANCHO TSUNAMI B3- SD SHORES B4- LAMORINDA TIME","6 min quarters C C1- MISSION C2- SAN CLEMENTE C3- ROSE BOWL C4- NSD STARS LOCATION","40 games D D1- VANGUARD D2- NORTH IRVINE D3- 908 D4- LA JOLLA GAME#","16+16+8 5 games per team CLICK HERE for TICKETS WHITE","S","CLICK HERE for APPAREL DARK","S","FOLLOW AND TAG! COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"11-Jul","2:35 PM","EDISON HS","12B30","L#4C/3D - NSD STARS","12","L#3A/4B - LAMORINDA","15","13-16 semi 14v15","12U_BOYS","","","","","","","","","","","","","","","",""
"11-Jul","3:30 PM","EDISON HS","12B32","W#3A/4B - SOCAL","7","W#4C/3D - LA JOLLA","10","9-12 semi 9v12","12U_BOYS","","","","","","","","","","","","","","","",""
"","","","","CLICK HERE for APPAREL","","CLICK HERE for TICKETS","","","","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"12-Jul","9:00 AM","MARINA HS","12B33","W#25 - STANFORD","9","W#29 - RANCHO TSUNAMI","6","5th","12U_BOYS","","","","","","","","","","","","","","","",""
"12-Jul","9:55 AM","MARINA HS","12B34","L#29 - NORTH IRVINE","9","L#25 - VANGUARD","8","7th","12U_BOYS","","","","","","","","","","","","","","","",""
"12-Jul","10:50 AM","MARINA HS","12B35","W#32 - LA JOLLA","9","W#28 - ROSE BOWL","1","9th","12U_BOYS","","","","","","","","","","","","","","","",""
"12-Jul","11:45 AM","MARINA HS","12B36","L#28 - LA PREMIER","6","L#32 - SOCAL","7","11th","12U_BOYS","","","","","","","","","","","","","","","",""
"12-Jul","12:40 PM","MARINA HS","12B37","W#26 - 908","16","W#30 - LAMORINDA","9","13th","12U_BOYS","","","","","","","","","","","","","","","",""
"12-Jul","1:35 PM","MARINA HS","12B38","L#30 - NSD STARS","11","L#26 - SD SHORES","11.1","15th","12U_BOYS","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"12-Jul","9:00 AM","GOLDENWEST COLLEGE","12B39","L#27 - CDM","9","L#31 - SAN CLEMENTE","7","3rd","12U_BOYS","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"12-Jul","10:00 AM","GOLDENWEST COLLEGE","12B40","W#31 - SD DONS","10","W#27 - MISSION","13","1st","12U_BOYS","","","","","","","","","","","","","","","",""
"","","","","CLICK HERE for APPAREL","","CLICK HERE for TICKETS","","","","","","","","","","","","","","","","","","",""
