"18U BOYS A A1-CIU A2-NORTH IRVINE A3- DIABLO ALLIANCE A4- ALAMEDA WPC DATE","16 TEAMS B B1- CC UNITED B2- IMPERIAL B3- LB SHORE B4- COMMERCE TIME","7 min quarters C C1- MISSION C2- LA JOLLA C3- SAND CANYON C4- SUPREME LOCATION","48 games D D1- SD SHORES D2- GREENWICH D3- OLYMPUS D4- FOOTHILL GAME#","8+16+16+8 - 6 games per team CLICK HERE for TICKETS WHITE","S","CLICK HERE for APPAREL DARK","S","FOLLOW AND TAG! COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"11-Jul","2:30 PM","GOLDEN WEST COLLEGE","18B33","L#3C/4D - FOOTHILL","18","L#4A/3B - ALAMEDA","10","13-16 semi 13v16","18U_BOYS","","","","","","","","","","","","","","","",""
"11-Jul","3:40 PM","GOLDEN WEST COLLEGE","18B35","W#4A/3B - LB SHORE","12","W#3C/4D - SAND CANYON","10","9-12 semi 10v11","18U_BOYS","","","","","","","","","","","","","","","",""
"11-Jul","4:50 PM","GOLDEN WEST COLLEGE","18B37","L#4C/3D - SUPREME","9","L#3A/4B - COMMERCE","14","13-16 semi 14v15","18U_BOYS","","","","","","","","","","","","","","","",""
"11-Jul","6:00 PM","GOLDEN WEST COLLEGE","18B39","W#3A/4B - DIABLO ALLIANCE","14","W#4C/3D - OLYMPUS","13","9-12 semi 9v12","18U_BOYS","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"11-Jul","8:00 AM","SERVITE HS","18B26","1stC - MISSION","11","2ndD - GREENWICH","10","1-8 QF 3v5","18U_BOYS","","","","","","","","","","","","","","","",""
"11-Jul","9:10 AM","SERVITE HS","18B28","2ndA - NORTH IRVINE","16","1stB - IMPERIAL","14","1-8 QF 8v2","18U_BOYS","","","","","","","","","","","","","","","",""
"11-Jul","10:20 AM","SERVITE HS","18B30","1stA - CIU","12","2ndB - CC UNITED","16","1-8 QF 1v7","18U_BOYS","","","","","","","","","","","","","","","",""
"11-Jul","11:30 AM","SERVITE HS","18B32","2ndC - LA JOLLA","11","1stD - SD SHORES","10","1-8 QF 6v4","18U_BOYS","","","","","","","","","","","","","","","",""
"11-Jul","2:30 PM","SERVITE HS","18B34","L#1C/2D - GREENWICH","16","L#2A/1B - IMPERIAL","13","5-8 semi  5v8","18U_BOYS","","","","","","","","","","","","","","","",""
"11-Jul","3:40 PM","SERVITE HS","18B36","W#2A/1B - NORTH IRVINE","8","W#1C/2D - MISSION","12","1-4 semi 2v3","18U_BOYS","","","","","","","","","","","","","","","",""
"11-Jul","4:50 PM","SERVITE HS","18B38","L#2C/1D - SD SHORES","16","L#1A/2B - CIU","12","5-8 semi  6v7","18U_BOYS","","","","","","","","","","","","","","","",""
"11-Jul","6:00 PM","SERVITE HS","18B40","W#1A/2B - CC UNITED","16","W#2C/1D - LA JOLLA","14","1-4 semi 1v4","18U_BOYS","","","","","","","","","","","","","","","",""
"","","","","CLICK HERE for APPAREL","","CLICK HERE for TICKETS","","","","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"12-Jul","9:00 AM","BUENA PARK HS","18B41","W#39 - DIABLO ALLIANCE","14.2","W#35 - LB SHORE","14.4","9th","18U_BOYS","","","","","","","","","","","","","","","",""
"12-Jul","10:10 AM","BUENA PARK HS","18B42","L#35 - SAND CANYON","4","L#39 - OLYMPUS","8","11th","18U_BOYS","","","","","","","","","","","","","","","",""
"12-Jul","11:10 AM","BUENA PARK HS","18B43","W#33 - FOOTHILL","10","W#37 - COMMERCE","9","13th","18U_BOYS","","","","","","","","","","","","","","","",""
"12-Jul","12:10 PM","BUENA PARK HS","18B44","L#37 - SUPREME","11","L#33 - ALAMEDA","20","15th","18U_BOYS","","","","","","","","","","","","","","","",""
"12-Jul","1:10 PM","BUENA PARK HS","18B47","L#38 - CIU","7","L#34 - IMPERIAL","10","7th","18U_BOYS","","","","","","","","","","","","","","","",""
"12-Jul","2:10 PM","BUENA PARK HS","18B48","W#34 - GREENWICH","12","W#38 - SD SHORES","10","5th","18U_BOYS","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"12-Jul","12:30 PM","SERVITE HS","18B45","L#36 - NORTH IRVINE","8","L#40 - LA JOLLA","13","3rd","18U_BOYS","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"12-Jul","1:40 PM","SERVITE HS","18B46","W#40 - CC UNITED","17","W#36 - MISSION","12","1st","18U_BOYS","","","","","","","","","","","","","","","",""
"","","","","","","","","1st","CC UNITED","","","","","","","","","","","","","","","",""
"","","","","","","","","2nd","MISSION","","","","","","","","","","","","","","","",""
"","","","","CLICK HERE for APPAREL","","CLICK HERE for TICKETS","","3rd","LA JOLLA","","","","","","","","","","","","","","","",""
