"14U BOYS A A1- LA JOLLA UNITED A2- 908 A3- LAMORINDA A4- ROUTE 66 DATE","16 TEAMS B B1- NORCAL B2- NEWPORT B3- CC UNITED B4- CDM TIME","7 min quarters C C1- MISSION C2- CIU C3- SD SHORES C4- RANCHO TSUNAMI LOCATION","40 games D D1- SD DONS D2- LA PREMIER D3- COMMERCE D4- NORTH IRVINE GAME#","16+16+8 5 games per team CLICK HERE for TICKETS WHITE","S","CLICK HERE for APPAREL DARK","S","FOLLOW AND TAG! COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"11-Jul","2:00 PM","YORBA LINDA HS","14B28","W#4A/3B - CC UNITED","5","W#3C/4D - SD SHORES","22","9-12 semi 10v11","14U_BOYS","","","","","","","","","","","","","","","",""
"11-Jul","3:00 PM","YORBA LINDA HS","14B30","L#4C/3D - RANCHO TSUNAMI","9","L#3A/4B -CDM","11","13-16 semi 14v15","14U_BOYS","","","","","","","","","","","","","","","",""
"11-Jul","4:00 PM","YORBA LINDA HS","14B32","W#3A/4B - LAMORINDA","12","W#4C/3D - COMMERCE","15","9-12 semi 9v12","14U_BOYS","","","","","","","","","","","","","","","",""
"","","","","CLICK HERE for APPAREL","","CLICK HERE for TICKETS","","","","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"12-Jul","9:00 AM","YORBA LINDA HS","14B33","L#28 - CC UNITED","7.5","L#32 - LAMORINDA","7.4","11th","14U_BOYS","","","","","","","","","","","","","","","",""
"12-Jul","10:00 AM","YORBA LINDA HS","14B34","W#32 - COMMERCE","6","W#28 - SD SHORES","10","9th","14U_BOYS","","","","","","","","","","","","","","","",""
"12-Jul","11:00 AM","YORBA LINDA HS","14B35","W#26 - SD DONS","9.4","W#30 - CDM","9.5","13th","14U_BOYS","","","","","","","","","","","","","","","",""
"12-Jul","12:00 PM","YORBA LINDA HS","14B36","L#30 - RANCHO TSUNAMI","7.5","L#26 - LA JOLLA UNITED","7.6","15th","14U_BOYS","","","","","","","","","","","","","","","",""
"12-Jul","1:00 PM","YORBA LINDA HS","14B37","L#29 - 908","11","L#25 - ROUTE 66","7","7th","14U_BOYS","","","","","","","","","","","","","","","",""
"12-Jul","2:00 PM","YORBA LINDA HS","14B38","W#25 - NORTH IRVINE","6","W#29 - CIU","10","5th","14U_BOYS","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"12-Jul","11:20 AM","GOLDENWEST COLLEGE","14B39","L#27 - MISSION","7","L#31 - LA PREMIER","6","3rd","14U_BOYS","","","","","","","","","","","","","","","",""
"","","LOCATION","GAME#","WHITE","","DARK","","COMMENTS","DIVISION","","","","","","","","","","","","","","","",""
"12-Jul","9:00 AM","SERVITE HS","14B40","W#31 - NORCAL","7","W#27 - NEWPORT","6","1st","14U_BOYS","","","","","","","","","","","","","","","",""
"","","","","CLICK HERE for APPAREL","","CLICK HERE for TICKETS","","1st","NORCAL","","","","","","","","","","","","","","","",""
"","","","","","","","","2nd","NEWPORT","","","","","","","","","","","","","","","",""
"","","","","","","","","3rd","MISSION","","","","","","","","","","","","","","","",""
"","","","","",""," ","","","","","","","","","","","","","","","","","","",""
